body,pmn_body_id,notice_id,notice_url,notice_title,date,notice_date,audio_url,pmn_file_id,audio_filename,media_type,category
Planning Commission,1561,311543,https://www.utah.gov/pmn/sitemap/notice/311543.html,Kearns Township Planning Commission,2016-02-08,2016-02-08,https://www.utah.gov/pmn/files/725939.MP3,725939,160208_KearnsTPC_MtgRecording4of5.MP3,mp3,Audio Recording
Council,5823,371805,https://www.utah.gov/pmn/sitemap/notice/371805.html,Agenda,2017-01-18,2017-01-18,https://www.utah.gov/pmn/files/282699.mp3,282699,Kearns Metro Meeting 01-18-17.mp3,mp3,Audio Recording
Council,5823,371801,https://www.utah.gov/pmn/sitemap/notice/371801.html,Agenda,2017-01-18,2017-01-18,https://www.utah.gov/pmn/files/282697.MP3,282697,Kearns Pre-meeting 01-18-17.MP3,mp3,Audio Recording
Council,5823,377737,https://www.utah.gov/pmn/sitemap/notice/377737.html,Agenda,2017-02-15,2017-02-15,https://www.utah.gov/pmn/files/283023.MP3,283023,02-15-17.MP3,mp3,Audio Recording
Council,5823,380241,https://www.utah.gov/pmn/sitemap/notice/380241.html,Agenda,2017-02-28,2017-02-28,https://www.utah.gov/pmn/files/283101.wav,283101,STE-000.wav,wav,Audio Recording
Council,5823,383321,https://www.utah.gov/pmn/sitemap/notice/383321.html,Agenda,2017-03-15,2017-03-15,https://www.utah.gov/pmn/files/286417.MP3,286417,Recording - Sarah - 3-15-17.MP3,mp3,Audio Recording
Council,5823,384873,https://www.utah.gov/pmn/sitemap/notice/384873.html,Agenda,2017-03-22,2017-03-22,https://www.utah.gov/pmn/files/288261.MP3,288261,Recording - Sarah - 3-22-17.MP3,mp3,Audio Recording
Council,5823,385481,https://www.utah.gov/pmn/sitemap/notice/385481.html,Public Hearing,2017-04-05,2017-04-05,https://www.utah.gov/pmn/files/291055.MP3,291055,RecordingS - Special Public Meeting - 4-5-17.MP3,mp3,
Council,5823,387037,https://www.utah.gov/pmn/sitemap/notice/387037.html,Agenda,2017-04-05,2017-04-05,https://www.utah.gov/pmn/files/291059.MP3,291059,RecordingS - Special Public Meeting - 4-5-17.MP3,mp3,
Council,5823,385481,https://www.utah.gov/pmn/sitemap/notice/385481.html,Public Hearing,2017-04-05,2017-04-05,https://www.utah.gov/pmn/files/291053.MP3,291053,RecordingS - Staff Meeting-Public Hearing 4-5-17.MP3,mp3,
Council,5823,387037,https://www.utah.gov/pmn/sitemap/notice/387037.html,Agenda,2017-04-05,2017-04-05,https://www.utah.gov/pmn/files/291057.MP3,291057,RecordingS - Staff Meeting-Public Hearing 4-5-17.MP3,mp3,
Council,5823,390161,https://www.utah.gov/pmn/sitemap/notice/390161.html,Agenda,2017-04-19,2017-04-19,https://www.utah.gov/pmn/files/295597.wav,295597,04-19-17.wav,wav,Audio Recording
Council,5823,391195,https://www.utah.gov/pmn/sitemap/notice/391195.html,Notice,2017-05-09,2017-05-09,https://www.utah.gov/pmn/files/324451.MP3,324451,05-09-17 Meeting.MP3,mp3,Audio Recording
Council,5823,393855,https://www.utah.gov/pmn/sitemap/notice/393855.html,Agenda,2017-05-09,2017-05-09,https://www.utah.gov/pmn/files/299307.MP3,299307,05-09-17 Meeting.MP3,mp3,Audio Recording
Council,5823,391195,https://www.utah.gov/pmn/sitemap/notice/391195.html,Notice,2017-05-09,2017-05-09,https://www.utah.gov/pmn/files/324453.MP3,324453,05-09-17 Staff.MP3,mp3,Audio Recording
Council,5823,393855,https://www.utah.gov/pmn/sitemap/notice/393855.html,Agenda,2017-05-09,2017-05-09,https://www.utah.gov/pmn/files/299305.MP3,299305,05-09-17 Staff.MP3,mp3,Audio Recording
Council,5823,400713,https://www.utah.gov/pmn/sitemap/notice/400713.html,Agenda,2017-06-13,2017-06-13,https://www.utah.gov/pmn/files/308787.MP3,308787,06-13-17 (1).MP3,mp3,1
Council,5823,400713,https://www.utah.gov/pmn/sitemap/notice/400713.html,Agenda,2017-06-13,2017-06-13,https://www.utah.gov/pmn/files/308789.MP3,308789,06-13-17 (2).MP3,mp3,2
Council,5823,400713,https://www.utah.gov/pmn/sitemap/notice/400713.html,Agenda,2017-06-13,2017-06-13,https://www.utah.gov/pmn/files/308785.MP3,308785,06-13-17 Staff Meeting.MP3,mp3,Audio Recording
Council,5823,404167,https://www.utah.gov/pmn/sitemap/notice/404167.html,Kearns,2017-06-29,2017-06-29,https://www.utah.gov/pmn/files/312523.MP3,312523,06-29-17.MP3,mp3,Audio Recording
Council,5823,405499,https://www.utah.gov/pmn/sitemap/notice/405499.html,Agenda,2017-07-11,2017-07-11,https://www.utah.gov/pmn/files/314083.MP3,314083,170711_0008.MP3,mp3,Audio Recording
Council,5823,405499,https://www.utah.gov/pmn/sitemap/notice/405499.html,Agenda,2017-07-11,2017-07-11,https://www.utah.gov/pmn/files/314085.MP3,314085,170711_0009.MP3,mp3,Audio Recording
Council,5823,407935,https://www.utah.gov/pmn/sitemap/notice/407935.html,Kearns,2017-07-18,2017-07-18,https://www.utah.gov/pmn/files/315761.MP3,315761,170718_0010.MP3,mp3,Audio Recording
Council,5823,410557,https://www.utah.gov/pmn/sitemap/notice/410557.html,Agenda,2017-08-08,2017-08-08,https://www.utah.gov/pmn/files/320513.MP3,320513,170808_0012.MP3,mp3,Audio Recording
Council,5823,415273,https://www.utah.gov/pmn/sitemap/notice/415273.html,Agenda,2017-09-12,2017-09-12,https://www.utah.gov/pmn/files/328333.MP3,328333,170912_0013.MP3,mp3,Audio Recording
