date,packet_url,had_comments,n_comments,pages,size_bytes,from_blocks,note
2020-01-07,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1913_Agenda_Packet_1_7_2020_5_30_00_PM.pdf?documentType=5&meetingId=1913,false,0,158,28118129,0,
2020-01-21,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1950_Agenda_Packet_1_21_2020_5_30_00_PM.pdf?documentType=5&meetingId=1950,false,0,232,13782714,0,
2020-02-04,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1939_Agenda_Packet_2_4_2020_5_30_00_PM.pdf?documentType=5&meetingId=1939,false,0,272,209783470,0,
2020-02-18,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1951_Agenda_Packet_2_18_2020_5_30_00_PM.pdf?documentType=5&meetingId=1951,true,5,215,24217969,8,
2020-03-10,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1940_Agenda_Packet_3_10_2020_5_30_00_PM.pdf?documentType=5&meetingId=1940,false,0,509,69992835,0,
2020-03-31,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1952_Agenda_Packet_3_31_2020_5_30_00_PM.pdf?documentType=5&meetingId=1952,false,0,212,31009747,0,
2020-04-14,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1941_Agenda_Packet_4_14_2020_5_30_00_PM.pdf?documentType=5&meetingId=1941,false,0,368,79036505,2,
2020-04-21,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1953_Agenda_Packet_4_21_2020_5_30_00_PM.pdf?documentType=5&meetingId=1953,false,0,195,50394130,4,
2020-05-05,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1942_Agenda_Packet_5_5_2020_5_30_00_PM.pdf?documentType=5&meetingId=1942,true,11,255,35966114,13,
2020-05-19,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1954_Agenda_Packet_5_19_2020_5_30_00_PM.pdf?documentType=5&meetingId=1954,true,11,691,57831250,11,
2020-06-02,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1943_Agenda_Packet_6_2_2020_5_30_00_PM.pdf?documentType=5&meetingId=1943,true,16,347,26038994,16,
2020-06-16,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1955_Agenda_Packet_6_16_2020_5_30_00_PM.pdf?documentType=5&meetingId=1955,true,40,646,65260958,40,
2020-07-07,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1944_Agenda_Packet_7_7_2020_5_30_00_PM.pdf?documentType=5&meetingId=1944,false,0,340,21991546,0,
2020-07-21,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1956_Agenda_Packet_7_21_2020_5_30_00_PM.pdf?documentType=5&meetingId=1956,false,0,77,21602015,0,
2020-08-04,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1945_Agenda_Packet_8_4_2020_5_30_00_PM.pdf?documentType=5&meetingId=1945,false,0,119,14147385,0,
2020-08-18,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1957_Agenda_Packet_8_18_2020_5_30_00_PM.pdf?documentType=5&meetingId=1957,false,0,218,44093709,0,
2020-08-20,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1970_Agenda_Packet_8_20_2020_5_30_00_PM.pdf?documentType=5&meetingId=1970,false,0,8,530090,0,
2020-08-25,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1971_Agenda_Packet_8_25_2020_5_30_00_PM.pdf?documentType=5&meetingId=1971,false,0,11,473307,0,
2020-08-27,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1972_Agenda_Packet_8_27_2020_6_00_00_PM.pdf?documentType=5&meetingId=1972,false,0,11,457976,0,
2020-09-01,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1946_Agenda_Packet_9_1_2020_5_30_00_PM.pdf?documentType=5&meetingId=1946,false,0,147,36383392,0,
2020-09-15,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1958_Agenda_Packet_9_15_2020_5_30_00_PM.pdf?documentType=5&meetingId=1958,false,0,66,10921273,0,
2020-10-06,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1947_Agenda_Packet_10_6_2020_5_30_00_PM.pdf?documentType=5&meetingId=1947,true,1,573,32343279,1,
2020-10-20,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1959_Agenda_Packet_10_20_2020_5_30_00_PM.pdf?documentType=5&meetingId=1959,true,5,288,26269683,5,
2020-11-10,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1948_Agenda_Packet_11_10_2020_5_30_00_PM.pdf?documentType=5&meetingId=1948,true,29,963,82911553,29,
2020-12-01,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1949_Agenda_Packet_12_1_2020_5_30_00_PM.pdf?documentType=5&meetingId=1949,true,3,696,64768799,3,
2020-12-15,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1961_Agenda_Packet_12_15_2020_5_30_00_PM.pdf?documentType=5&meetingId=1961,true,4,250,31588506,4,
2021-01-05,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1991_Agenda_Packet_1_5_2021_5_30_00_PM.pdf?documentType=5&meetingId=1991,false,0,109,24950833,0,
2021-01-19,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2014_Agenda_Packet_1_19_2021_5_30_00_PM.pdf?documentType=5&meetingId=2014,false,0,229,38536599,0,
2021-02-02,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1992_Agenda_Packet_2_2_2021_5_30_00_PM.pdf?documentType=5&meetingId=1992,true,22,398,75387852,22,
2021-02-16,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2015_Agenda_Packet_2_16_2021_5_30_00_PM.pdf?documentType=5&meetingId=2015,true,6,215,39952353,7,
2021-03-02,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1993_Agenda_Packet_3_2_2021_5_30_00_PM.pdf?documentType=5&meetingId=1993,false,0,88,24289760,0,
2021-03-16,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2016_Agenda_Packet_3_16_2021_5_30_00_PM.pdf?documentType=5&meetingId=2016,true,5,172,18218108,5,
2021-03-30,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1994_Agenda_Packet_3_30_2021_5_30_00_PM.pdf?documentType=5&meetingId=1994,true,5,275,37422680,5,
2021-04-20,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2017_Agenda_Packet_4_20_2021_5_30_00_PM.pdf?documentType=5&meetingId=2017,true,2,198,28039693,2,
2021-05-04,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1995_Agenda_Packet_5_4_2021_5_30_00_PM.pdf?documentType=5&meetingId=1995,false,0,121,14745089,0,
2021-05-18,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2018_Agenda_Packet_5_18_2021_5_30_00_PM.pdf?documentType=5&meetingId=2018,false,0,593,56145144,0,
2021-06-01,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1996_Agenda_Packet_6_1_2021_5_30_00_PM.pdf?documentType=5&meetingId=1996,false,0,140,15125139,0,
2021-06-15,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2019_Agenda_Packet_6_15_2021_5_30_00_PM.pdf?documentType=5&meetingId=2019,true,7,727,58002097,7,
2021-07-06,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1997_Agenda_Packet_7_6_2021_5_30_00_PM.pdf?documentType=5&meetingId=1997,true,7,246,23762938,7,
2021-08-03,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1998_Agenda_Packet_8_3_2021_5_30_00_PM.pdf?documentType=5&meetingId=1998,true,12,209,31753154,12,
2021-08-24,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2021_Agenda_Packet_8_24_2021_5_45_00_PM.pdf?documentType=5&meetingId=2021,false,0,192,11925942,0,
2021-09-07,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1999_Agenda_Packet_9_7_2021_5_30_00_PM.pdf?documentType=5&meetingId=1999,false,0,267,7684489,0,
2021-09-21,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2022_Agenda_Packet_9_21_2021_5_30_00_PM.pdf?documentType=5&meetingId=2022,false,0,23,1165277,0,
2021-10-12,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2000_Agenda_Packet_10_12_2021_5_30_00_PM.pdf?documentType=5&meetingId=2000,false,0,25,11689115,0,
2021-10-26,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2023_Agenda_Packet_10_26_2021_5_30_00_PM.pdf?documentType=5&meetingId=2023,false,0,13,1665112,0,
2021-11-16,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2024_Agenda_Packet_11_16_2021_6_00_00_PM.pdf?documentType=5&meetingId=2024,true,2,1733,126080773,2,
2021-11-30,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2001_Agenda_Packet_11_30_2021_5_30_00_PM.pdf?documentType=5&meetingId=2001,true,1,255,27627773,1,
2021-12-14,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2036_Agenda_Packet_12_14_2021_5_30_00_PM.pdf?documentType=5&meetingId=2036,true,2,802,106345760,2,
2022-01-04,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2049_Agenda_Packet_1_4_2022_6_00_00_PM.pdf?documentType=5&meetingId=2049,true,1,60,34788817,1,
2022-01-18,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2073_Agenda_Packet_1_18_2022_5_30_00_PM.pdf?documentType=5&meetingId=2073,true,1,324,39848678,1,
2022-02-01,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2050_Agenda_Packet_2_1_2022_5_30_00_PM.pdf?documentType=5&meetingId=2050,false,0,375,65374680,0,
2022-02-15,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2074_Agenda_Packet_2_15_2022_5_30_00_PM.pdf?documentType=5&meetingId=2074,false,0,444,57646779,0,
2022-03-01,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2051_Agenda_Packet_3_1_2022_5_30_00_PM.pdf?documentType=5&meetingId=2051,false,0,80,15523609,0,
2022-03-15,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2075_Agenda_Packet_3_15_2022_5_30_00_PM.pdf?documentType=5&meetingId=2075,false,0,583,178788913,0,
2022-03-29,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2052_Agenda_Packet_3_29_2022_5_30_00_PM.pdf?documentType=5&meetingId=2052,false,0,160,48661132,0,
2022-04-19,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2076_Agenda_Packet_4_19_2022_5_30_00_PM.pdf?documentType=5&meetingId=2076,true,1,415,26111507,1,
2022-05-03,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2053_Agenda_Packet_5_3_2022_5_30_00_PM.pdf?documentType=5&meetingId=2053,false,0,131,17344843,0,
2022-05-17,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2077_Agenda_Packet_5_17_2022_5_30_00_PM.pdf?documentType=5&meetingId=2077,false,0,147,5327747,0,
2022-06-07,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2054_Agenda_Packet_6_7_2022_5_30_00_PM.pdf?documentType=5&meetingId=2054,false,0,223,43009172,0,
2022-06-21,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_2078_Agenda_Packet_6_21_2022_5_30_00_PM.pdf?documentType=5&meetingId=2078,false,0,374,69459793,0,
