date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,meeting_type,raw_path,status
2025-10-21,2025,City Council Meeting,2025-10-21_council-meeting,council,text/council_2025-10-21_council-meeting.txt,pmn,https://www.utah.gov/pmn/files/1346003.pdf,https://www.utah.gov/pmn/sitemap/notice/1035255.html,1788,1346003,2026-07-05,text,pdftotext -layout,regular,nephi_city_council/pmn_backfill/raw/1346003.pdf,recovered
2026-01-06,2026,City Council Meeting,2026-01-06_council-meeting,council,text/council_2026-01-06_council-meeting.txt,pmn,https://www.utah.gov/pmn/files/1380339.pdf,https://www.utah.gov/pmn/sitemap/notice/1053945.html,1788,1380339,2026-07-05,text,pdftotext -layout,regular,nephi_city_council/pmn_backfill/raw/1380339.pdf,recovered
2026-01-13,2026,City Council Work Session,2026-01-13_work-session,council,text/council_2026-01-13_work-session.txt,pmn,https://www.utah.gov/pmn/files/1380355.pdf,https://www.utah.gov/pmn/sitemap/notice/1053947.html,1788,1380355,2026-07-05,text,pdftotext -layout,work-session,nephi_city_council/pmn_backfill/raw/1380355.pdf,recovered
2026-02-03,2026,City Council Meeting,2026-02-03_council-meeting,council,text/council_2026-02-03_council-meeting.txt,pmn,https://www.utah.gov/pmn/files/1393289.pdf,https://www.utah.gov/pmn/sitemap/notice/1056607.html,1788,1393289,2026-07-05,text,pdftotext -layout,regular,nephi_city_council/pmn_backfill/raw/1393289.pdf,recovered
2026-02-10,2026,City Council Work Session,2026-02-10_work-session,council,text/council_2026-02-10_work-session.txt,pmn,https://www.utah.gov/pmn/files/1393295.pdf,https://www.utah.gov/pmn/sitemap/notice/1058375.html,1788,1393295,2026-07-05,text,pdftotext -layout,work-session,nephi_city_council/pmn_backfill/raw/1393295.pdf,recovered
2026-03-24,2026,City Council Work Session,2026-03-24_work-session,council,text/council_2026-03-24_work-session.txt,pmn,https://www.utah.gov/pmn/files/1419795.pdf,https://www.utah.gov/pmn/sitemap/notice/1068239.html,1788,1419795,2026-07-05,text,pdftotext -layout,work-session,nephi_city_council/pmn_backfill/raw/1419795.pdf,recovered
2026-04-07,2026,City Council Meeting,2026-04-07_council-meeting,council,text/council_2026-04-07_council-meeting.txt,pmn,https://www.utah.gov/pmn/files/1428903.pdf,https://www.utah.gov/pmn/sitemap/notice/1070963.html,1788,1428903,2026-07-05,text,pdftotext -layout,regular,nephi_city_council/pmn_backfill/raw/1428903.pdf,recovered
2026-04-14,2026,City Council Work Session,2026-04-14_work-session,council,text/council_2026-04-14_work-session.txt,pmn,https://www.utah.gov/pmn/files/1428905.pdf,https://www.utah.gov/pmn/sitemap/notice/1072719.html,1788,1428905,2026-07-05,text,pdftotext -layout,work-session,nephi_city_council/pmn_backfill/raw/1428905.pdf,recovered
2021-08-11,2021,Planning Commission Meeting,2021-08-11_planning-commission,pc,text/pc_2021-08-11_planning-commission.txt,pmn,https://www.utah.gov/pmn/files/770863.pdf,https://www.utah.gov/pmn/sitemap/notice/709379.html,1869,770863,2026-07-05,text,pdftotext -layout,regular,nephi_city_council/pmn_backfill/raw/770863.pdf,recovered
2020-11-24,2020,Work Session,2020-11-24_work-session,council,text/council_2020-11-24_work-session.txt,pmn,https://www.utah.gov/pmn/files/671045.docx,https://www.utah.gov/pmn/sitemap/notice/648493.html,1788,671045,2026-07-17,text,textutil -convert txt,work-session,nephi_city_council/pmn_backfill/raw/671045.docx,promoted
2021-10-12,2021,Work Session,2021-10-12_work-session,council,text/council_2021-10-12_work-session.txt,pmn,https://www.utah.gov/pmn/files/789517.docx,https://www.utah.gov/pmn/sitemap/notice/720709.html,1788,789517,2026-07-17,text,textutil -convert txt,work-session,nephi_city_council/pmn_backfill/raw/789517.docx,promoted
2022-02-22,2022,Work Session,2022-02-22_work-session,council,text/council_2022-02-22_work-session.txt,pmn,https://www.utah.gov/pmn/files/837353.docx,https://www.utah.gov/pmn/sitemap/notice/749613.html,1788,837353,2026-07-17,text,textutil -convert txt,work-session,nephi_city_council/pmn_backfill/raw/837353.docx,promoted
2022-04-26,2022,Work Session,2022-04-26_work-session,council,text/council_2022-04-26_work-session.txt,pmn,https://www.utah.gov/pmn/files/856255.docx,https://www.utah.gov/pmn/sitemap/notice/760655.html,1788,856255,2026-07-17,text,textutil -convert txt,work-session,nephi_city_council/pmn_backfill/raw/856255.docx,promoted
2022-07-26,2022,Work Session,2022-07-26_work-session,council,text/council_2022-07-26_work-session.txt,pmn,https://www.utah.gov/pmn/files/876545.docx,https://www.utah.gov/pmn/sitemap/notice/772915.html,1788,876545,2026-07-17,text,textutil -convert txt,work-session,nephi_city_council/pmn_backfill/raw/876545.docx,promoted
2023-03-07,2023,City Council Meeting,2023-03-07_council-meeting,council,text/council_2023-03-07_council-meeting.txt,pmn,https://www.utah.gov/pmn/files/963179.docx,https://www.utah.gov/pmn/sitemap/notice/823891.html,1788,963179,2026-07-17,text,textutil -convert txt,regular,nephi_city_council/pmn_backfill/raw/963179.docx,promoted
2024-06-25,2024,Work Session,2024-06-25_work-session,council,text/council_2024-06-25_work-session.txt,pmn,https://www.utah.gov/pmn/files/1152995.docx,https://www.utah.gov/pmn/sitemap/notice/931023.html,1788,1152995,2026-07-17,text,textutil -convert txt,work-session,nephi_city_council/pmn_backfill/raw/1152995.docx,promoted
