date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,district,source,in_election_results,matched_election_candidate,join_confidence,date_precision,docid,note
2017-10-31,Dale M. Cox,Council,2017,interim,Pre-General,2017 Dale M. Cox - Pre-General,https://www.murray.utah.gov/DocumentCenter/View/7757,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201710_Dale-M-Cox_7757.pdf,2,wayback_recovered_index,below_floor,,,archived_page_stated,7757,cycle recovered via Wayback (retired /1460 page + 20211215 /1903 capture); bytes fetched live from city DocumentCenter
2017-12-07,Dale M. Cox,Council,2017,summary,Year-end final,2017 Dale M. Cox - Year-end final,https://www.murray.utah.gov/DocumentCenter/View/7884,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201712_Dale-M-Cox_7884.pdf,2,wayback_recovered_index,below_floor,,,archived_page_stated,7884,cycle recovered via Wayback (retired /1460 page + 20211215 /1903 capture); bytes fetched live from city DocumentCenter
2017-11-03,Darrell Pehrson,Council,2017,interim,Pre-General,2017 Darrell Pehrson - Pre-General,https://www.murray.utah.gov/DocumentCenter/View/7760,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201711_Darrell-Pehrson_7760.pdf,2,wayback_recovered_index,below_floor,,,archived_page_stated,7760,cycle recovered via Wayback (retired /1460 page + 20211215 /1903 capture); bytes fetched live from city DocumentCenter
2017-12-07,Darrell Pehrson,Council,2017,summary,Year-end final,2017 Darrell Pehrson - Year-end final,https://www.murray.utah.gov/DocumentCenter/View/7881,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201712_Darrell-Pehrson_7881.pdf,2,wayback_recovered_index,below_floor,,,archived_page_stated,7881,cycle recovered via Wayback (retired /1460 page + 20211215 /1903 capture); bytes fetched live from city DocumentCenter
2017-10-31,Diane Turner,Council,2017,interim,Pre-General,2017 Diane Turner - Pre-General,https://www.murray.utah.gov/DocumentCenter/View/7759,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201710_Diane-Turner_7759.pdf,4,wayback_recovered_index,below_floor,,,archived_page_stated,7759,cycle recovered via Wayback (retired /1460 page + 20211215 /1903 capture); bytes fetched live from city DocumentCenter
2017-12-07,Diane Turner,Council,2017,summary,Year-end final,2017 Diane Turner - Year-end final,https://www.murray.utah.gov/DocumentCenter/View/7882,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201712_Diane-Turner_7882.pdf,4,wayback_recovered_index,below_floor,,,archived_page_stated,7882,cycle recovered via Wayback (retired /1460 page + 20211215 /1903 capture); bytes fetched live from city DocumentCenter
2017-08-08,D. Blair Camp,Mayor,2017,interim,Pre-Primary,2017 D. Blair Camp - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/7565,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201708_D-Blair-Camp_7565.pdf,,wayback_recovered_index,below_floor,,,archived_page_stated,7565,cycle recovered via Wayback (retired /1460 page + 20211215 /1903 capture); bytes fetched live from city DocumentCenter
2017-10-31,D. Blair Camp,Mayor,2017,interim,Pre-General,2017 D. Blair Camp - Pre-General,https://www.murray.utah.gov/DocumentCenter/View/7756,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201710_D-Blair-Camp_7756.pdf,,wayback_recovered_index,below_floor,,,archived_page_stated,7756,cycle recovered via Wayback (retired /1460 page + 20211215 /1903 capture); bytes fetched live from city DocumentCenter
2017-12-07,D. Blair Camp,Mayor,2017,summary,Year-end final,2017 D. Blair Camp - Year-end final,https://www.murray.utah.gov/DocumentCenter/View/7883,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201712_D-Blair-Camp_7883.pdf,,wayback_recovered_index,below_floor,,,archived_page_stated,7883,cycle recovered via Wayback (retired /1460 page + 20211215 /1903 capture); bytes fetched live from city DocumentCenter
2017-08-07,Daniel C. Snarr,Mayor,2017,interim,Pre-Primary,2017 Daniel C. Snarr - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/7563,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201708_Daniel-C-Snarr_7563.pdf,,wayback_recovered_index,below_floor,,,archived_page_stated,7563,cycle recovered via Wayback (retired /1460 page + 20211215 /1903 capture); bytes fetched live from city DocumentCenter
2017-10-31,Daniel C. Snarr,Mayor,2017,interim,Pre-General,2017 Daniel C. Snarr - Pre-General,https://www.murray.utah.gov/DocumentCenter/View/7758,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201710_Daniel-C-Snarr_7758.pdf,,wayback_recovered_index,below_floor,,,archived_page_stated,7758,cycle recovered via Wayback (retired /1460 page + 20211215 /1903 capture); bytes fetched live from city DocumentCenter
2017-12-07,Daniel C. Snarr,Mayor,2017,summary,Year-end final,2017 Daniel C. Snarr - Year-end final,https://www.murray.utah.gov/DocumentCenter/View/7880,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201712_Daniel-C-Snarr_7880.pdf,,wayback_recovered_index,below_floor,,,archived_page_stated,7880,cycle recovered via Wayback (retired /1460 page + 20211215 /1903 capture); bytes fetched live from city DocumentCenter
2017-08-07,Richard Snelgrove,Mayor,2017,interim,Pre-Primary,2017 Richard Snelgrove - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/7562,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201708_Richard-Snelgrove_7562.pdf,,wayback_recovered_index,below_floor,,,archived_page_stated,7562,cycle recovered via Wayback (retired /1460 page + 20211215 /1903 capture); bytes fetched live from city DocumentCenter
2017-09-18,Richard Snelgrove,Mayor,2017,summary,Final (eliminated in primary),2017 Richard Snelgrove - Final (eliminated in primary),https://www.murray.utah.gov/DocumentCenter/View/7684,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201709_Richard-Snelgrove_7684.pdf,,wayback_recovered_index,below_floor,,,archived_page_stated,7684,cycle recovered via Wayback (retired /1460 page + 20211215 /1903 capture); bytes fetched live from city DocumentCenter
2017-08-08,Verl Greenhalgh,Mayor,2017,interim,Pre-Primary,2017 Verl Greenhalgh - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/7564,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201708_Verl-Greenhalgh_7564.pdf,,wayback_recovered_index,below_floor,,,archived_page_stated,7564,cycle recovered via Wayback (retired /1460 page + 20211215 /1903 capture); bytes fetched live from city DocumentCenter
2017-09-18,Verl Greenhalgh,Mayor,2017,summary,Final (eliminated in primary),2017 Verl Greenhalgh - Final (eliminated in primary),https://www.murray.utah.gov/DocumentCenter/View/7683,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201709_Verl-Greenhalgh_7683.pdf,,wayback_recovered_index,below_floor,,,archived_page_stated,7683,cycle recovered via Wayback (retired /1460 page + 20211215 /1903 capture); bytes fetched live from city DocumentCenter
2019-08-02,David Nicponski,Council,2019,interim,Pre-Primary,2019 David Nicponski - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/10055,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/201908_David-Nicponski_10055.pdf,1,city_cf_page,below_floor,,,page_stated,10055,
