candidate,election_year,raised,spent,reason,added
Adam Kent Fitzgerald,2021,0.00,567.01,"contributions UNREPORTED on all filings (blank Schedule-A cover both period reports — raised=0 = none reported, not verified). per-period filer (regime: incremental — each of the 2 live reports Covers a disjoint date range); its summary/final-typed report is itself a period report, so cycle_totals' summary-vs-interims max() drops the final period. cycle = sum of the 2 live filings' period covers: raised 0+0=0; spent 413.53+153.48=567.01",2026-07-17
Alexander Teemsma,2021,64.98,64.98,"per-period filer (regime: incremental — each of the 2 live reports Covers a disjoint date range); its summary/final-typed report is itself a period report, so cycle_totals' summary-vs-interims max() drops the final period. cycle = sum of the 2 live filings' period covers: raised 35.92+29.06=64.98; spent 35.92+29.06=64.98",2026-07-17
Brett A. Hales,2021,34688.00,28020.53,"per-period filer (regime: incremental — each of the 3 live reports Covers a disjoint date range); its summary/final-typed report is itself a period report, so cycle_totals' summary-vs-interims max() drops the final period. cycle = sum of the 3 live filings' period covers: raised 21313+12025+1350=34688; spent 20003.6+7402.08+614.85=28020.5",2026-07-17
Clark Bullen,2021,16900.00,16700.00,"per-period filer (regime: incremental — each of the 3 live reports Covers a disjoint date range); its summary/final-typed report is itself a period report, so cycle_totals' summary-vs-interims max() drops the final period. cycle = sum of the 3 live filings' period covers: raised 8041+8019+840=16900; spent 5404.52+10041.7+1253.8=16700",2026-07-17
Diane Turner,2021,17140.38,11290.43,"per-period filer (regime: incremental — each of the 3 live reports Covers a disjoint date range); its summary/final-typed report is itself a period report, so cycle_totals' summary-vs-interims max() drops the final period. cycle = sum of the 3 live filings' period covers: raised 7792.21+8848.17+500=17140.4; spent 1799.1+4618.63+4872.7=11290.4",2026-07-17
Joe Silverzweig,2021,18262.13,16501.82,"per-period filer (regime: incremental — each of the 2 live reports Covers a disjoint date range); its summary/final-typed report is itself a period report, so cycle_totals' summary-vs-interims max() drops the final period. cycle = sum of the 2 live filings' period covers: raised 18162.1+100=18262.1; spent 16501.8+0=16501.8",2026-07-17
Adam Hock,2023,23126.55,21358.87,"per-period filer (regime: incremental — each of the 3 live reports Covers a disjoint date range); its summary/final-typed report is itself a period report, so cycle_totals' summary-vs-interims max() drops the final period. cycle = sum of the 3 live filings' period covers: raised 20320.5+2806.03+0=23126.5; spent 9776.92+7461.45+4120.5=21358.9",2026-07-17
Clark Bullen,2023,5860.69,5827.29,"per-period filer (regime: incremental — each of the 4 live reports Covers a disjoint date range); its summary/final-typed report is itself a period report, so cycle_totals' summary-vs-interims max() drops the final period. cycle = sum of the 4 live filings' period covers: raised 3431.27+1300+1129.42+0=5860.69; spent 3363.87+1363.46+1084.97+14.99=5827.29",2026-07-17
David W. Rodgers,2023,4201.89,3766.58,"per-period filer (regime: incremental — each of the 4 live reports Covers a disjoint date range); its summary/final-typed report is itself a period report, so cycle_totals' summary-vs-interims max() drops the final period. cycle = sum of the 4 live filings' period covers: raised 1741.89+1653+704+103=4201.89; spent 1389.62+16+2307.24+53.72=3766.58",2026-07-17
Garry Hrechkosy,2023,28519.98,27047.32,"per-period filer (regime: incremental — each of the 3 live reports Covers a disjoint date range); its summary/final-typed report is itself a period report, so cycle_totals' summary-vs-interims max() drops the final period. cycle = sum of the 3 live filings' period covers: raised 25390+1915+1214.98=28520; spent 17963.9+5853.74+3229.71=27047.3",2026-07-17
Leann Parker-Reed,2023,814.28,814.28,"per-period filer (regime: incremental — each of the 2 live reports Covers a disjoint date range); its summary/final-typed report is itself a period report, so cycle_totals' summary-vs-interims max() drops the final period. cycle = sum of the 2 live filings' period covers: raised 764.93+49.35=814.28; spent 764.93+49.35=814.28",2026-07-17
Paul Pickett,2023,10192.00,6682.05,"per-period filer (regime: incremental — each of the 4 live reports Covers a disjoint date range); its summary/final-typed report is itself a period report, so cycle_totals' summary-vs-interims max() drops the final period. cycle = sum of the 4 live filings' period covers: raised 3314+3489+3389+0=10192; spent 1731.39+1815.51+2135.15+1000=6682.05",2026-07-17
Rosalba Dominguez,2023,20595.62,20384.44,"per-period filer (regime: incremental — each of the 4 live reports Covers a disjoint date range); its summary/final-typed report is itself a period report, so cycle_totals' summary-vs-interims max() drops the final period. cycle = sum of the 4 live filings' period covers: raised 9669.01+5667.28+3586+1673.33=20595.6; spent 9505.95+2816.02+5161.06+2901.41=20384.4",2026-07-17
Ben Peck,2025,14706.26,14706.36,"per-period filer (regime: incremental — each of the 4 live reports Covers a disjoint date range); its summary/final-typed report is itself a period report, so cycle_totals' summary-vs-interims max() drops the final period. cycle = sum of the 4 live filings' period covers: raised 5700+6309+2172.26+525=14706.3; spent 4002.81+3603.36+4047.62+3052.57=14706.4",2026-07-17
Brett A. Hales,2025,20034.36,12061.33,"per-period filer (regime: incremental — each of the 4 live reports Covers a disjoint date range); its summary/final-typed report is itself a period report, so cycle_totals' summary-vs-interims max() drops the final period. cycle = sum of the 4 live filings' period covers: raised 8520.64+7863.72+1150+2500=20034.4; spent 8545.66+1963.72+0+1551.95=12061.3",2026-07-17
Bruce E Turner,2025,28280.00,28279.98,"per-period filer (regime: incremental — each of the 4 live reports Covers a disjoint date range); its summary/final-typed report is itself a period report, so cycle_totals' summary-vs-interims max() drops the final period. cycle = sum of the 4 live filings' period covers: raised 12935+15300+45+0=28280; spent 11103+10128.2+6040.9+1007.96=28280",2026-07-17
