folder_id,folder_label,reporting_year,report_id,report_label,dead_url,folder_wayback
251,"Alvord, David (2020 Council-District 2)",2020,1984,2020 - Interim Report through March 31st,https://disclosure.saltlakecounty.gov/Search/PublicSearch/Report/1984,https://web.archive.org/web/2025/https://disclosure.saltlakecounty.gov/Search/PublicSearch/FolderDetails/251
251,"Alvord, David (2020 Council-District 2)",2020,1985,2020 - Interim Report Prior to Primary Election,https://disclosure.saltlakecounty.gov/Search/PublicSearch/Report/1985,https://web.archive.org/web/2025/https://disclosure.saltlakecounty.gov/Search/PublicSearch/FolderDetails/251
251,"Alvord, David (2020 Council-District 2)",2020,1986,2020 - Interim Report Deadline through September 10th,https://disclosure.saltlakecounty.gov/Search/PublicSearch/Report/1986,https://web.archive.org/web/2025/https://disclosure.saltlakecounty.gov/Search/PublicSearch/FolderDetails/251
251,"Alvord, David (2020 Council-District 2)",2020,1987,2020 - Interim Report Prior to General Election,https://disclosure.saltlakecounty.gov/Search/PublicSearch/Report/1987,https://web.archive.org/web/2025/https://disclosure.saltlakecounty.gov/Search/PublicSearch/FolderDetails/251
251,"Alvord, David (2020 Council-District 2)",2020,1988,2020 - Year End/Summary,https://disclosure.saltlakecounty.gov/Search/PublicSearch/Report/1988,https://web.archive.org/web/2025/https://disclosure.saltlakecounty.gov/Search/PublicSearch/FolderDetails/251
146,"Andrus, Tyler (2015 Assessor-Salt Lake County)",2015,1162,2015 - Year End/Summary,https://disclosure.saltlakecounty.gov/Search/PublicSearch/Report/1162,https://web.archive.org/web/2025/https://disclosure.saltlakecounty.gov/Search/PublicSearch/FolderDetails/146
146,"Andrus, Tyler (2015 Assessor-Salt Lake County)",2015,1163,2015 - Interim Report,https://disclosure.saltlakecounty.gov/Search/PublicSearch/Report/1163,https://web.archive.org/web/2025/https://disclosure.saltlakecounty.gov/Search/PublicSearch/FolderDetails/146
146,"Andrus, Tyler (2015 Assessor-Salt Lake County)",2016,1161,2016 - Year End/Summary,https://disclosure.saltlakecounty.gov/Search/PublicSearch/Report/1161,https://web.archive.org/web/2025/https://disclosure.saltlakecounty.gov/Search/PublicSearch/FolderDetails/146
146,"Andrus, Tyler (2015 Assessor-Salt Lake County)",2018,1419,2018 - Year End/Summary,https://disclosure.saltlakecounty.gov/Search/PublicSearch/Report/1419,https://web.archive.org/web/2025/https://disclosure.saltlakecounty.gov/Search/PublicSearch/FolderDetails/146
146,"Andrus, Tyler (2015 Assessor-Salt Lake County)",2019,1792,2019 - Year End/Summary,https://disclosure.saltlakecounty.gov/Search/PublicSearch/Report/1792,https://web.archive.org/web/2025/https://disclosure.saltlakecounty.gov/Search/PublicSearch/FolderDetails/146
146,"Andrus, Tyler (2015 Assessor-Salt Lake County)",2020,1858,2020 - Year End/Summary,https://disclosure.saltlakecounty.gov/Search/PublicSearch/Report/1858,https://web.archive.org/web/2025/https://disclosure.saltlakecounty.gov/Search/PublicSearch/FolderDetails/146
146,"Andrus, Tyler (2015 Assessor-Salt Lake County)",2021,2092,2021 - Year End/Summary,https://disclosure.saltlakecounty.gov/Search/PublicSearch/Report/2092,https://web.archive.org/web/2025/https://disclosure.saltlakecounty.gov/Search/PublicSearch/FolderDetails/146
214,"Berry, Pamela (2018 Council-District 5)",2018,1652,2018 - Interim Report through March 31st,https://disclosure.saltlakecounty.gov/Search/PublicSearch/Report/1652,https://web.archive.org/web/2025/https://disclosure.saltlakecounty.gov/Search/PublicSearch/FolderDetails/214
214,"Berry, Pamela (2018 Council-District 5)",2018,1653,2018 - Interim Report Prior to Primary Election,https://disclosure.saltlakecounty.gov/Search/PublicSearch/Report/1653,https://web.archive.org/web/2025/https://disclosure.saltlakecounty.gov/Search/PublicSearch/FolderDetails/214
214,"Berry, Pamela (2018 Council-District 5)",2018,1654,2018 - Interim Report Deadline through September 10th,https://disclosure.saltlakecounty.gov/Search/PublicSearch/Report/1654,https://web.archive.org/web/2025/https://disclosure.saltlakecounty.gov/Search/PublicSearch/FolderDetails/214
