precinct,district,source_year
OGD01,2,2025
OGD02,2,2025
OGD03,2,2025
OGD04,2,2025
OGD05,2,2025
OGD06,2,2025
OGD07,2,2025
OGD08,2,2025
OGD09,2,2025
OGD10,3,2025
OGD11,3,2025
OGD12,3,2025
OGD13,3,2025
OGD14,3,2025
OGD15,1,2025
OGD16,3,2025
OGD17,3,2025
OGD18,1,2025
OGD19,3,2025
OGD20,1,2025
OGD21,1,2025
OGD22,1,2025
OGD23,3,2025
OGD24,4,2025
OGD25,3,2025
OGD26,3,2025
OGD27,1,2025
OGD28,4,2025
OGD29,4,2025
OGD30,4,2025
OGD31,1,2025
OGD32,1,2025
OGD33,1,2025
OGD34,4,2025
OGD35,1,2025
OGD36,4,2025
OGD37,4,2025
OGD38,4,2025
OGD39,4,2025
OGD40,4,2025
OGD41,4,2025
