ordinance_no,title,adoption_date,land_use_type,planning_district,matter_id,motion_id,match_confidence,path,text_path,format,source_url,notes
,Title 10 - Snyderville Basin Development Code,,development_code,Snyderville Basin,,,,,,html,https://library.municode.com/ut/summit_county/codes/code?nodeId=TIT10SNBADECO,"The Basin land-use/zoning code (continuously amended; no single adoption date). LIVE authoritative text on Municode; individual chapters also on the county DocumentCenter. Contains the 20% inclusionary-zoning affordable set-aside. Not mirrored - link-only; amending ordinances (e.g. 912, 1003) catalogued as their own rows."
,Title 11 - Eastern Summit County Development Code,,development_code,Eastern Summit County,,,,raw/title_11_eastern_summit_county_development_code.pdf,text/title_11_eastern_summit_county_development_code.txt,pdf,https://www.summitcountyutah.gov/DocumentCenter/View/428/Eastern-Development-Code-PDF,"The East Side land-use/zoning code. County-published consolidated PDF (born-digital, 184 pp) retained; LIVE authoritative version on Municode at nodeId=TIT11EASUCODECO."
912,An Ordinance Creating Section 10-2-17 the Neighborhood Mixed Use Zone (NMU-1) in the Snyderville Basin Development Code,,land_use,Snyderville Basin,,,,raw/ord_912_nmu1_zone_basin.pdf,text/ord_912_nmu1_zone_basin.txt,pdf,https://www.utah.gov/pmn/files/719527.pdf,"Creates the NMU-1 mixed-use zone in Title 10. Born-digital PDF (11 pp) from Utah Public Notice. Signature date line BLANK (pre-signature/noticed draft) - adoption_date left blank per no-fabrication rule; body dates: PC 2020-06-05, Council 2020-08-19."
936,An Ordinance Amending the Landscaping Regulations,,land_use,Countywide (both development codes),,,,raw/ord_936_landscaping_regulations.pdf,text/ord_936_landscaping_regulations.txt,pdf,https://www.summitcountyutah.gov/DocumentCenter/View/19293/Staff-Report-and-Ordinance-936-Landscaping-Regulations,"Water-wise/sustainable landscaping regulation update. Staff report + ordinance PDF (born-digital, 12 pp). Signature date line BLANK (pre-signature draft) - adoption_date blank; body dates: PC 2021-11-09, Council 2022-05-25."
1003,An Ordinance Amending the Snyderville Basin General Plan Creating Chapter 8 Sustainable Development Water Use and Agriculture,2025-12-17,land_use,Snyderville Basin,,1633,high,raw/ord_1003_basin_gp_ch8_sustainable_water_ag.pdf,text/ord_1003_basin_gp_ch8_sustainable_water_ag.txt,pdf,https://water.utah.gov/wp-content/uploads/2026/05/Summit-County-Basin-Ordinance.pdf,"Adds Chapter 8 (Sustainable Development, Water Use, Agriculture) to the Basin General Plan. Born-digital PDF (30 pp). Enacted this __ day of December 2025 (body date 2025-12-04). Growth/water-relevant. | adoption_date CORRECTED 2026-07-25: was 2025-12-04, which appears only in unrelated prose ('with comments as of December 4, 2025', text line 209); the enactment clause (line 26) reads 'Enacted this 17th day of December, 2025' and the enacting roll call (motion_id 1633) is 2025-12-17."
839,An Ordinance Adopting the Snyderville Basin General Plan,2015-06-17,land_use,Snyderville Basin,,,,,,pdf,https://www.summitcountyutah.gov/DocumentCenter/View/481/General-Plan-PDF,Adopting ordinance for the Snyderville Basin General Plan. Plan text lives in the plans/ module (snyderville_basin_general_plan_2015). Signed ordinance instrument not separately catalogued here - source_url points to the adopted plan.
950,An Ordinance Adopting the Moderate Income Housing Plan into the Snyderville Basin General Plan,2022-09-19,land_use,Snyderville Basin,,,,,,pdf,https://www.summitcountyutah.gov/DocumentCenter/View/20239/Ordinance-No-950-Snyderville-Basin-Moderate-Income-Housing-Plan,MIH plan adoption. Full signed ordinance text (OCR'd) lives in the plans/ module (snyderville_basin_mih_plan_ord950_2022). Enacted September 2022 (companion to Ord 951).
951,An Ordinance Amending Chapter 7 Moderate Income Housing of the Eastern Summit County General Plan,2022-09-19,land_use,Eastern Summit County,,,,,,pdf,https://www.summitcountyutah.gov/DocumentCenter/View/20240/Ordinance-No-951-Eastern-Summit-County-Moderate-Income-Housing-Plan,MIH element amendment. Full signed ordinance text (OCR'd) lives in the plans/ module (eastern_summit_mih_plan_ord951_2022). Enacted 2022-09-19.
962,Amended Ordinance 962 - Moderate Income Housing Plan,2023-07-26,land_use,Countywide,,302,high,,,pdf,https://www.summitcountyutah.gov/DocumentCenter/View/21754/Amended-Ord-962-Moderate-Income-Housing-Plan,Amended MIH plan. Full text (OCR'd) in the plans/ module (mih_plan_amended_ord962_2023). Enacted 2023-07-26.
968,Ordinance 968 - Moderate Income Housing,,land_use,Countywide,,402,high,,,pdf,https://www.summitcountyutah.gov/DocumentCenter/View/21986/Ord-968-Moderate-Income-Housing,"MIH ordinance. Full text (OCR'd) in the plans/ module (mih_plan_ord968_2023). Enacted September 2023 (day OCR-uncertain). | adoption_date BLANKED 2026-07-25: the prior 2023-09-12 had no source — the signature block is OCR-unreadable ('Enacted this)"" day of Guplumdpentoos,') and the enacting roll call (motion_id 402) is 2023-09-20. Blank per the 912/936 precedent rather than assert an unevidenced day."
980,Ordinance 980 - Moderate Income Housing,2024-07-17,land_use,Countywide,,874,high,,,pdf,https://www.summitcountyutah.gov/DocumentCenter/View/23711/Ordinance-980-PDF,Most recent MIH ordinance. Full text (OCR'd) in the plans/ module (mih_plan_ord980_2024). Enacted July 2024.
