year,election_type,office,district,contest,candidate,voting_method,round1_votes,round1_pct,final_votes,rank,is_winner
2019,municipal general,Council,At-Large,Lehi City Council,PAIGE ALBRECHT,plurality,5250,21.49,,1,True
2019,municipal general,Council,At-Large,Lehi City Council,MIKE V SOUTHWICK,plurality,4135,16.93,,2,True
2019,municipal general,Council,At-Large,Lehi City Council,KATIE KOIVISTO,plurality,3969,16.25,,3,True
2019,municipal general,Council,At-Large,Lehi City Council,MATTHEW WYNN HEMMERT,plurality,3763,15.4,,4,False
2019,municipal general,Council,At-Large,Lehi City Council,CODY BLACK,plurality,3711,15.19,,5,False
2019,municipal general,Council,At-Large,Lehi City Council,JOHNNY REVILL,plurality,3602,14.74,,6,False
2021,municipal general,Mayor,,Lehi Mayor,MARK I. JOHNSON,RCV,6994,61.95,6994,1,True
2021,municipal general,Mayor,,Lehi Mayor,JESSE L. RIDDLE,RCV,4295,38.05,,2,False
2021,municipal general,Council,At-Large,Lehi City Council,CHRIS CONDIE,RCV,2300,21.1,3073,1,True
2021,municipal general,Council,At-Large,Lehi City Council,PAUL HANCOCK,RCV,1811,16.61,2583,2,True
2021,municipal general,Council,At-Large,Lehi City Council,MICHELLE MILES,RCV,1376,12.62,,3,False
2021,municipal general,Council,At-Large,Lehi City Council,NICOLE KUNZE,RCV,1291,11.84,,4,False
2021,municipal general,Council,At-Large,Lehi City Council,AARON BULLEN,RCV,1134,10.4,,5,False
2021,municipal general,Council,At-Large,Lehi City Council,LORI MCINTOSH LE,RCV,1108,10.16,,6,False
2021,municipal general,Council,At-Large,Lehi City Council,CAMI PURTSCHERT,RCV,1003,9.2,,7,False
2021,municipal general,Council,At-Large,Lehi City Council,MONTANE C HAMILTON,RCV,524,4.81,,8,False
2021,municipal general,Council,At-Large,Lehi City Council,ETHAN M. ERICKSON,RCV,355,3.26,,9,False
2023,municipal primary,Council,At-Large,Lehi City Council,PAIGE ALBRECHT,RCV,732,20.29,,1,True
2023,municipal primary,Council,At-Large,Lehi City Council,HEATHER NEWALL,RCV,525,14.55,,2,True
2023,municipal primary,Council,At-Large,Lehi City Council,MICHELLE STALLINGS,RCV,489,13.55,,3,True
2023,municipal primary,Council,At-Large,Lehi City Council,COREY ASTILL,RCV,371,10.28,,4,False
2023,municipal primary,Council,At-Large,Lehi City Council,NICOLE KUNZE,RCV,345,9.56,,5,True
2023,municipal primary,Council,At-Large,Lehi City Council,KENNETH ROBERTS,RCV,221,6.13,,6,True
2023,municipal primary,Council,At-Large,Lehi City Council,K. CASEY GLADE,RCV,169,4.68,,7,True
2023,municipal primary,Council,At-Large,Lehi City Council,JASON HILL,RCV,148,4.1,,8,False
2023,municipal primary,Council,At-Large,Lehi City Council,IELI CHARLIE TAUTUAA,RCV,145,4.02,,9,False
2023,municipal primary,Council,At-Large,Lehi City Council,HALEY SOUSA,RCV,134,3.71,,10,False
2023,municipal primary,Council,At-Large,Lehi City Council,R. CURTIS PAYNE,RCV,106,2.94,,11,False
2023,municipal primary,Council,At-Large,Lehi City Council,JEREMY K BAKER,RCV,105,2.91,,12,False
2023,municipal primary,Council,At-Large,Lehi City Council,JASON HARRIS,RCV,51,1.41,,13,False
2023,municipal primary,Council,At-Large,Lehi City Council,TYLER R. LINDSAY,RCV,38,1.05,,14,False
2023,municipal primary,Council,At-Large,Lehi City Council,BRENT SUMMERS,RCV,29,0.8,,15,False
2023,municipal general,Council,At-Large,Lehi City Council,MICHELLE STALLINGS,RCV,2096,25.61,2917,1,True
2023,municipal general,Council,At-Large,Lehi City Council,PAIGE ALBRECHT,RCV,1754,21.43,2973,2,True
2023,municipal general,Council,At-Large,Lehi City Council,HEATHER NEWALL,RCV,1467,17.92,2863,3,True
