year,election_type,office,district,contest,precinct,candidate,votes
2021,municipal general,Mayor,,Lehi Mayor,25LE01,JESSE L. RIDDLE,257
2021,municipal general,Mayor,,Lehi Mayor,25LE01,MARK I. JOHNSON,226
2021,municipal general,Mayor,,Lehi Mayor,25LE01S,JESSE L. RIDDLE,0
2021,municipal general,Mayor,,Lehi Mayor,25LE01S,MARK I. JOHNSON,0
2021,municipal general,Mayor,,Lehi Mayor,25LE02,JESSE L. RIDDLE,111
2021,municipal general,Mayor,,Lehi Mayor,25LE02,MARK I. JOHNSON,283
2021,municipal general,Mayor,,Lehi Mayor,25LE03,JESSE L. RIDDLE,161
2021,municipal general,Mayor,,Lehi Mayor,25LE03,MARK I. JOHNSON,413
2021,municipal general,Mayor,,Lehi Mayor,25LE04,JESSE L. RIDDLE,156
2021,municipal general,Mayor,,Lehi Mayor,25LE04,MARK I. JOHNSON,342
2021,municipal general,Mayor,,Lehi Mayor,25LE05,JESSE L. RIDDLE,156
2021,municipal general,Mayor,,Lehi Mayor,25LE05,MARK I. JOHNSON,318
2021,municipal general,Mayor,,Lehi Mayor,25LE06,JESSE L. RIDDLE,217
2021,municipal general,Mayor,,Lehi Mayor,25LE06,MARK I. JOHNSON,352
2021,municipal general,Mayor,,Lehi Mayor,25LE06S,JESSE L. RIDDLE,0
2021,municipal general,Mayor,,Lehi Mayor,25LE06S,MARK I. JOHNSON,0
2021,municipal general,Mayor,,Lehi Mayor,25LE07,JESSE L. RIDDLE,131
2021,municipal general,Mayor,,Lehi Mayor,25LE07,MARK I. JOHNSON,210
2021,municipal general,Mayor,,Lehi Mayor,25LE08,JESSE L. RIDDLE,201
2021,municipal general,Mayor,,Lehi Mayor,25LE08,MARK I. JOHNSON,379
2021,municipal general,Mayor,,Lehi Mayor,25LE09,JESSE L. RIDDLE,112
2021,municipal general,Mayor,,Lehi Mayor,25LE09,MARK I. JOHNSON,224
2021,municipal general,Mayor,,Lehi Mayor,25LE10,JESSE L. RIDDLE,257
2021,municipal general,Mayor,,Lehi Mayor,25LE10,MARK I. JOHNSON,425
2021,municipal general,Mayor,,Lehi Mayor,25LE11,JESSE L. RIDDLE,210
2021,municipal general,Mayor,,Lehi Mayor,25LE11,MARK I. JOHNSON,327
2021,municipal general,Mayor,,Lehi Mayor,25LE12,JESSE L. RIDDLE,242
2021,municipal general,Mayor,,Lehi Mayor,25LE12,MARK I. JOHNSON,422
