motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file,provenance
1,1,2,1,"Approve the formal meeting minutes of Tuesday, November 10, 2020; Tuesday, November 17, 2020; and Tuesday, December 1, 2020.",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,5,10,1,minutes/2021/2021-01-04/2021-01-05_council-formal-meeting.md,minutes
2,2,2,1,"Motion to Enter into Closed Session to discuss strategy sessions to discuss the purchase, exchange, or lease of real property, pursuant to Utah Code 52-4-205(1)(d).",Procedural/Administrative,6-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,5,19,1,minutes/2021/2021-01-04/2021-01-05_council-work-session.md,minutes
3,1,2,2,"Continue the public hearing on Budget Amendment No. 6 for Fiscal Year 2020-21 until January 19, 2021.",Public Hearing Action,6-0 Pass,Pass,council_vote,,continue,keyword,high,,,,20,19,1,minutes/2021/2021-01-04/2021-01-05_council-formal-meeting.md,minutes
4,1,2,3,"Approve the ratification of Councilmember Fowler to serve as Council Chair, and Councilmember Rogers to serve as Vice Chair for calendar year 2021.",Procedural/Administrative,6-0 Pass,Pass,council_vote,,approve,keyword,high,,,,19,6,1,minutes/2021/2021-01-04/2021-01-05_council-formal-meeting.md,minutes
5,1,2,4,Approve the ratification of the determination for the Council to continue meeting remotely and without an anchor location under HB5002.,Procedural/Administrative,6-0 Pass,Pass,council_vote,,approve,keyword,high,,,,19,5,1,minutes/2021/2021-01-04/2021-01-05_council-formal-meeting.md,minutes
6,1,2,5,"Adopt Resolution 2 of 2021 entering into Amendment Number 1 to Addendum Number 2, and Addendum Number 3 to the Interlocal Agreement with the Utah Transit Authority, and place the remaining $979,545.19 into a holding account reserved for future Funding Our Future transit expenses.",Interlocal/Agreement,6-0 Pass,Pass,council_vote,,approve,keyword,high,,,,10,5,1,minutes/2021/2021-01-04/2021-01-05_council-formal-meeting.md,minutes
7,1,2,6,"Adopt the Consent agenda, including the reappointment of Jessica Andrew to the Police Civilian Review Board for a term ending November 21, 2021.",Appointment/Advice & Consent,6-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,5,6,1,minutes/2021/2021-01-04/2021-01-05_council-formal-meeting.md,minutes
8,3,2,1,"Move to enter into Closed Session to discuss deployment of security personnel, devices, or systems pursuant to Utah Code S52-4-205(i)(c) and Attorney-Client matters that are privileged pursuant to Utah Code §78B-1-137 of the Utah Open and Public Meetings Act.",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,17,6,1,minutes/2021/2021-01-11/2021-01-12_council-work-session.md,minutes
9,4,2,1,"Approve work session meeting minutes of Tuesday, May 5, 2020; Tuesday, June 11, 2020; Tuesday, July 7, 2020; and Tuesday, August 11, 2020 as well as the formal meeting minutes of Tuesday, December 8, 2020 and the special formal meeting minutes of Friday, December 11, 2020.",Procedural/Administrative,7-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,41,19,1,minutes/2021/2021-01-18/2021-01-19_council-formal-meeting.md,minutes
10,4,2,2,Close and refer items B1-B3 to a future Consent agenda for action.,Public Hearing Action,7-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,17,6,1,minutes/2021/2021-01-18/2021-01-19_council-formal-meeting.md,minutes
11,4,2,3,Close the public hearing on the ordinance requiring notice for permits to work in the public way and defer action to a future Council meeting.,Public Hearing Action,7-0 Pass,Pass,council_vote,,continue,keyword,high,,,,41,17,1,minutes/2021/2021-01-18/2021-01-19_council-formal-meeting.md,minutes
12,4,2,4,"Close the hearing and adopt Ordinance 1 of 2021, Budget Amendment No. 6 in its entirety.",Budget Amendment,7-0 Pass,Pass,council_vote,,approve,keyword,high,,,,17,41,1,minutes/2021/2021-01-18/2021-01-19_council-formal-meeting.md,minutes
13,4,2,5,Lift the hiring freeze within Budget Amendment No. 6 to fill the 40% vacancy in the Police Department.,Budget Amendment,7-0 Pass,Pass,council_vote,,,unclassified,low,,,,17,41,1,minutes/2021/2021-01-18/2021-01-19_council-formal-meeting.md,minutes
14,4,2,6,Adopt Resolution 1 of 2021 authorizing the issuance of subordinate airport revenue short-term revolving obligations not to exceed $300 million for the Salt Lake City Department of Airports.,Resolution,7-0 Pass,Pass,council_vote,,approve,keyword,high,,,,10,41,1,minutes/2021/2021-01-18/2021-01-19_council-formal-meeting.md,minutes
15,4,2,7,Approve the Consent agenda.,Procedural/Administrative,7-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,17,10,1,minutes/2021/2021-01-18/2021-01-19_council-formal-meeting.md,minutes
16,5,2,1,Ratify the determination that the Council continue meeting remotely and without an anchor location under HB5002.,Procedural/Administrative,7-0 Pass,Pass,council_vote,,approve,keyword,high,,,,17,19,1,minutes/2021/2021-02-01/2021-02-02_council-formal-meeting.md,minutes
17,5,2,2,"Adopt Resolution 3 of 2021, extending a proclamation declaring a local emergency relating to the COVID-19 (Coronavirus) pandemic, until May 5, 2021.",Resolution,7-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,17,20,1,minutes/2021/2021-02-01/2021-02-02_council-formal-meeting.md,minutes
18,5,2,3,"Adopt Resolution 4 of 2021, extending a proclamation declaring a local emergency relating to a magnitude 5.7 earthquake, until May 5, 2021.",Resolution,7-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,17,19,1,minutes/2021/2021-02-01/2021-02-02_council-formal-meeting.md,minutes
19,5,2,4,"Adopt Resolution 5 of 2021, extending a proclamation declaring a local emergency relating to the Windstorm until May 5, 2021.",Resolution,7-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,20,17,1,minutes/2021/2021-02-01/2021-02-02_council-formal-meeting.md,minutes
20,5,2,5,Approve the Consent Agenda.,Procedural/Administrative,7-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,17,19,1,minutes/2021/2021-02-01/2021-02-02_council-formal-meeting.md,minutes
21,6,2,1,Motion to enter into Closed Session to discuss collective bargaining strategies pursuant to Utah Code §52-4-205(1)(b).,Procedural/Administrative,7-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,70,36,1,minutes/2021/2021-02-08/2021-02-09_council-work-session.md,minutes
22,7,5,1,"Approve minutes from May 5, 2020 and January 12, 2021",Procedural/Administrative,7-0 Pass,Pass,rda_vote,,procedural,keyword,high,1,singleton,high,26,25,1,minutes/2021/2021-02-08/2021-02-09_redevelopment-agency-rda-meeting.md,minutes
23,7,5,2,"Adopt and confirm RDA Resolution 3 of 2021, Adopting an Updated RDA Art Policy",Resolution,7-0 Pass,Pass,rda_vote,,approve,keyword,high,2,singleton,high,26,28,1,minutes/2021/2021-02-08/2021-02-09_redevelopment-agency-rda-meeting.md,minutes
24,7,5,3,"Adopt and confirm RDA Resolution 4 of 2021, Housing Allocation Funds Policy",Resolution,7-0 Pass,Pass,rda_vote,,approve,keyword,high,3,singleton,high,25,26,1,minutes/2021/2021-02-08/2021-02-09_redevelopment-agency-rda-meeting.md,minutes
25,7,5,4,Ratify the determination that the Board will continue to meet remotely and without an anchor location under HB5002,Procedural/Administrative,7-0 Pass,Pass,rda_vote,,approve,keyword,high,,,,26,28,1,minutes/2021/2021-02-08/2021-02-09_redevelopment-agency-rda-meeting.md,minutes
26,7,5,5,Approve the Consent Agenda (Resolution: Amending the 9 Line Community Reinvestment Project Area Budget),Resolution,7-0 Pass,Pass,rda_vote,,procedural,keyword,high,4,name,medium,25,32,1,minutes/2021/2021-02-08/2021-02-09_redevelopment-agency-rda-meeting.md,minutes
27,7,5,6,Adjourn the meeting,Procedural/Administrative,7-0 Pass,Pass,rda_vote,,procedural,keyword,high,,,,26,23,1,minutes/2021/2021-02-08/2021-02-09_redevelopment-agency-rda-meeting.md,minutes
28,8,2,1,"Approve the work session meeting minutes of Tuesday, June 9, 2020",Procedural/Administrative,7-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,41,6,1,minutes/2021/2021-02-15/2021-02-16_council-formal-meeting.md,minutes
29,8,2,2,Adopt Joint Ceremonial Resolution 6 of 2021 Designating the First Monday in March as COVID-19 Victims and Survivors Memorial Day in Salt Lake City,Ceremonial Resolution,7-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,17,6,1,minutes/2021/2021-02-15/2021-02-16_council-formal-meeting.md,minutes
30,8,2,3,Close the public hearings and refer Items 1-8 to a future Consent Agenda for action,Public Hearing Action,7-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,17,6,1,minutes/2021/2021-02-15/2021-02-16_council-formal-meeting.md,minutes
31,8,2,4,Close the public hearing on the Bond Resolution for the Department of Airports short-term borrowing program,Public Hearing Action,7-0 Pass,Pass,council_vote,,procedural,keyword,medium,,,,17,19,1,minutes/2021/2021-02-15/2021-02-16_council-formal-meeting.md,minutes
32,8,2,5,"Adopt Ordinance 2 of 2021, adopting changes related to modular building construction and inspections",Ordinance,7-0 Pass,Pass,council_vote,,approve,keyword,high,,,,41,6,1,minutes/2021/2021-02-15/2021-02-16_council-formal-meeting.md,minutes
33,8,2,6,Approve an appropriations resolution (Resolution 8 of 2021) updating the 2020-2021 action plan as set forth in Exhibit A for Volunteers of America application ESG #4,Grant/Funding,6-0 Pass,Pass,council_vote,,approve,keyword,high,,,,41,19,1,minutes/2021/2021-02-15/2021-02-16_council-formal-meeting.md,minutes
34,8,2,7,"Authorize an interlocal agreement between the City and HUD and approve an appropriations resolution (Resolution 8 of 2021) updating the 2020-2021 action plan as set forth in Exhibit A awarding CDBG, ESG, and HOPWA funds except for ESG #4",Grant/Funding,7-0 Pass,Pass,council_vote,,approve,keyword,high,,,,41,19,1,minutes/2021/2021-02-15/2021-02-16_council-formal-meeting.md,minutes
35,8,2,8,Adopt joint Resolution 7 of 2021 applauding the work of the Salt Lake City Hostage Negotiation Team and Director Jessica Waters,Ceremonial Resolution,7-0 Pass,Pass,council_vote,,approve,keyword,high,,,,41,19,1,minutes/2021/2021-02-15/2021-02-16_council-formal-meeting.md,minutes
36,8,2,9,Approve the Consent Agenda,Procedural/Administrative,7-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,17,20,1,minutes/2021/2021-02-15/2021-02-16_council-formal-meeting.md,minutes
37,9,2,1,"Approve Work Session Meeting Minutes for Tuesday, December 1, 2020 and the Airport Bond Minutes for Tuesday, January 19, 2021",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,19,20,1,minutes/2021/2021-03-01/2021-03-02_council-formal-meeting.md,minutes
38,9,2,2,Close the Public Hearing and defer action to a future Council meeting (West End Alley Vacation adjacent to properties at 740 West and 746 West 900 South),Public Hearing Action,6-0 Pass,Pass,council_vote,,continue,keyword,high,5,singleton,high,41,19,1,minutes/2021/2021-03-01/2021-03-02_council-formal-meeting.md,minutes
39,9,2,3,Close the public hearing and defer action to a future Council meeting (Zoning Map Amendment at 706-740 West 900 South and 710-739 West Genesee Avenue),Public Hearing Action,6-0 Pass,Pass,council_vote,,continue,keyword,high,6,singleton,high,41,17,1,minutes/2021/2021-03-01/2021-03-02_council-formal-meeting.md,minutes
40,9,2,4,Close the public hearing and defer action to a future Council meeting (Zoning Amendments at approximately 2903 South Highland Drive),Public Hearing Action,6-0 Pass,Pass,council_vote,,continue,keyword,high,,,,17,20,1,minutes/2021/2021-03-01/2021-03-02_council-formal-meeting.md,minutes
41,9,2,5,Close the public hearing and defer action to a future Council meeting (Rezone at 1301 and 1321 South State Street),Public Hearing Action,6-0 Pass,Pass,council_vote,,continue,keyword,high,7,singleton,high,41,19,1,minutes/2021/2021-03-01/2021-03-02_council-formal-meeting.md,minutes
42,9,2,6,Close the public hearing and defer action to a future Council meeting (Zoning Amendments at Lincoln Street and 200 South),Public Hearing Action,6-0 Pass,Pass,council_vote,,continue,keyword,high,,,,41,6,1,minutes/2021/2021-03-01/2021-03-02_council-formal-meeting.md,minutes
43,9,2,7,Continue to meet remotely without an anchor location under HB5002,Procedural/Administrative,6-0 Pass,Pass,council_vote,,,unclassified,low,,,,19,20,1,minutes/2021/2021-03-01/2021-03-02_council-formal-meeting.md,minutes
44,9,2,8,"Approve the consent agenda, including setting a public hearing date for RMF-30 text amendments and approving the appointment of David Wirthlin to the Library Board",Procedural/Administrative,6-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,41,17,1,minutes/2021/2021-03-01/2021-03-02_council-formal-meeting.md,minutes
45,10,2,1,"Approve the Work Session minutes of Tuesday, May 12, 2020; Tuesday, May 26, 2020; Tuesday, May 28, 2020 and Formal Meeting minutes of Tuesday, January 5, 2021 and Tuesday, January 19, 2021.",Procedural/Administrative,7-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,40,70,1,minutes/2021/2021-03-15/2021-03-16_council-formal-meeting.md,minutes
46,11,2,1,"Enter into Closed Session for §52-4-205(l)(c) strategy sessions to discuss pending or reasonably imminent litigation; and for Attorney-Client matters that are privileged pursuant to Utah Code §78B-1-137, and for other lawful purposes that satisfy the pertinent requirements of the Utah Open and Public Meetings Act.",Procedural/Administrative,7-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,17,6,1,minutes/2021/2021-03-15/2021-03-16_council-work-session.md,minutes
47,10,2,2,Close the public hearing and refer items B1-B3 to a future consent agenda for action.,Public Hearing Action,7-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,70,40,1,minutes/2021/2021-03-15/2021-03-16_council-formal-meeting.md,minutes
48,10,2,3,Close the Public Hearing and defer action to a later date (Library Budget Amendment No. 1 for Fiscal Year 2020-21).,Public Hearing Action,7-0 Pass,Pass,council_vote,,continue,keyword,high,,,,62,70,1,minutes/2021/2021-03-15/2021-03-16_council-formal-meeting.md,minutes
49,10,2,4,Close the Public Hearing and defer action to a later date (Zoning Text Amendments for Off-street Parking).,Public Hearing Action,7-0 Pass,Pass,council_vote,,continue,keyword,high,8,singleton,high,62,40,1,minutes/2021/2021-03-15/2021-03-16_council-formal-meeting.md,minutes
50,10,2,5,Close the Public Hearing and defer action until related amendments such as the Affordable Housing Overlay or Residential Housing Loss Mitigation Plan are brought to the Council for consideration and potential adoption (RMF-30 Text Amendment).,Public Hearing Action,7-0 Pass,Pass,council_vote,,continue,keyword,high,9,singleton,high,40,36,1,minutes/2021/2021-03-15/2021-03-16_council-formal-meeting.md,minutes
