role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,4,2020-09-30,2022-09-28,174
2,2,4,2021-10-27,2026-06-24,478
3,3,1,2025-01-21,2026-06-16,87
4,3,2,2022-01-04,2026-06-16,1307
5,3,3,2022-04-19,2026-06-16,35
6,3,5,2022-01-18,2024-12-10,165
7,4,4,2020-01-08,2026-05-13,573
8,5,2,2021-01-05,2023-06-13,688
9,5,3,2021-05-18,2023-06-13,21
10,5,5,2021-02-09,2023-06-13,139
11,6,2,2021-01-05,2023-12-12,832
12,6,3,2021-05-18,2023-06-13,21
13,6,5,2021-02-09,2023-12-12,158
14,7,4,2023-01-25,2024-10-23,182
15,8,4,2021-10-13,2023-11-08,234
16,9,4,2020-01-08,2023-06-14,306
17,10,2,2021-01-05,2021-04-20,74
18,10,5,2021-02-09,2021-04-13,16
19,11,4,2026-02-25,2026-06-24,21
20,12,4,2023-07-26,2025-05-28,203
21,13,4,2020-01-08,2023-07-12,280
22,14,4,2023-12-13,2026-06-24,200
23,15,4,2023-09-13,2024-05-22,70
24,16,4,2020-01-08,2021-09-22,148
25,17,1,2025-01-21,2026-06-16,87
26,17,2,2021-01-05,2026-06-16,1577
27,17,3,2021-05-18,2026-06-16,43
28,17,5,2021-02-09,2024-12-10,213
29,18,4,2020-04-08,2021-06-23,101
30,19,1,2025-01-21,2026-06-16,87
31,19,2,2021-01-05,2026-06-16,1577
32,19,3,2021-05-18,2026-06-16,43
33,19,5,2021-02-09,2024-12-10,213
34,20,1,2025-01-21,2025-12-09,57
35,20,2,2021-01-05,2026-03-24,1412
36,20,3,2021-05-18,2025-12-09,36
37,20,4,2020-01-08,2020-01-08,5
38,20,5,2021-02-09,2024-12-10,213
39,21,2,2021-05-18,2021-12-14,194
40,21,3,2021-05-18,2021-12-07,8
41,21,5,2021-05-18,2021-12-14,30
42,37,1,2026-01-13,2026-06-16,30
43,37,2,2026-01-13,2026-06-16,164
44,37,3,2026-04-21,2026-06-16,7
45,38,1,2025-01-21,2026-05-05,76
46,38,2,2024-01-09,2026-05-05,682
47,38,3,2024-05-07,2026-05-05,18
48,38,5,2024-01-09,2024-12-10,55
49,41,2,2021-01-05,2021-09-21,208
50,41,3,2021-05-18,2021-06-15,4
51,41,5,2021-02-09,2021-08-24,39
52,42,4,2025-05-28,2026-06-10,62
53,43,1,2026-06-16,2026-06-16,2
54,43,2,2026-06-09,2026-06-16,29
55,43,3,2026-06-16,2026-06-16,1
56,44,4,2020-01-22,2023-07-12,355
57,45,4,2023-12-13,2025-10-08,146
58,46,4,2022-04-27,2023-06-14,107
59,48,4,2025-06-11,2026-06-24,50
60,51,4,2020-01-08,2021-06-23,164
61,52,4,2020-01-08,2023-08-09,407
62,53,4,2024-10-23,2025-01-08,12
63,54,4,2021-09-22,2025-08-27,457
64,55,4,2025-05-28,2026-03-25,59
65,59,4,2022-04-13,2024-07-10,303
66,60,4,2025-03-12,2026-06-24,80
67,61,4,2022-05-25,2022-05-25,4
68,64,4,2020-01-08,2021-11-10,177
69,65,1,2025-01-21,2026-06-16,87
70,65,2,2023-07-18,2026-06-16,879
71,65,3,2024-05-07,2026-06-16,22
72,65,5,2023-08-08,2024-12-10,73
73,66,4,2023-09-13,2023-11-29,43
74,68,1,2025-01-21,2026-06-16,87
75,68,2,2022-05-03,2026-06-16,1183
76,68,3,2022-05-03,2026-06-16,34
77,68,5,2022-05-03,2024-12-10,121
78,69,2,2021-11-16,2022-11-10,160
79,69,3,2021-11-16,2022-04-19,3
80,69,5,2021-12-14,2022-11-10,50
