vote_id,motion_id,person_id,vote_value,note
1,1,3,Aye,
2,1,18,Aye,
3,1,20,Aye,
4,1,25,Aye,
5,1,27,Aye,
6,2,3,Aye,
7,2,18,Aye,
8,2,20,Aye,
9,2,25,Aye,
10,2,27,Aye,
11,3,3,Aye,
12,3,18,Aye,
13,3,20,Aye,
14,3,25,Aye,
15,3,27,Aye,
16,4,3,Aye,
17,4,18,Aye,
18,4,20,Aye,
19,4,25,Aye,
20,4,27,Aye,
21,5,3,Aye,
22,5,18,Abstain,
23,5,20,Aye,
24,5,25,Aye,
25,5,27,Aye,
26,6,3,Aye,
27,6,18,Aye,
28,6,20,Aye,
29,6,25,Aye,
30,6,27,Aye,
31,7,3,Aye,
32,7,18,Aye,
33,7,20,Aye,
34,7,25,Aye,
35,7,27,Aye,
36,8,3,Aye,
37,8,18,Aye,
38,8,20,Nay,
39,8,25,Aye,
40,8,27,Aye,
41,9,3,Aye,
42,9,18,Aye,
43,9,20,Aye,
44,9,25,Aye,
45,9,27,Aye,
46,10,3,Aye,
47,10,18,Aye,
48,10,20,Aye,
49,10,25,Aye,
50,10,27,Aye,
51,11,3,Aye,
52,11,18,Aye,
53,11,20,Aye,
54,11,25,Aye,
55,11,27,Aye,
56,12,3,Aye,
57,12,18,Abstain,
58,12,20,Aye,
59,12,25,Aye,
60,12,27,Aye,
61,13,3,Aye,
62,13,18,Aye,
63,13,20,Aye,
64,13,25,Aye,
65,13,27,Aye,
66,14,3,Aye,
67,14,18,Aye,
68,14,20,Aye,
69,14,25,Aye,
70,14,27,Aye,
71,15,3,Aye,
72,15,18,Aye,
73,15,20,Aye,
74,15,25,Aye,
75,15,27,Aye,
76,16,3,Aye,
77,16,18,Aye,
78,16,20,Aye,
79,16,25,Aye,
80,16,27,Aye,
81,17,3,Aye,
82,17,18,Aye,
83,17,20,Aye,
84,17,25,Aye,
85,17,27,Aye,
86,18,3,Aye,
87,18,18,Aye,
88,18,20,Aye,
89,18,25,Aye,
90,18,27,Aye,
91,19,3,Aye,
92,19,18,Aye,
93,19,20,Aye,
94,19,25,Aye,
95,19,27,Aye,
96,20,3,Aye,
97,20,18,Aye,
98,20,20,Aye,
99,20,25,Aye,
100,20,27,Aye,
101,21,3,Aye,
102,21,18,Aye,
103,21,20,Aye,
104,21,25,Aye,
105,21,27,Aye,
106,22,3,Aye,
107,22,18,Aye,
108,22,20,Aye,
109,22,25,Aye,
110,22,27,Aye,
111,23,3,Aye,
112,23,18,Aye,
113,23,20,Aye,
114,23,25,Aye,
115,23,27,Aye,
116,24,3,Aye,
117,24,18,Aye,
118,24,20,Aye,
119,24,25,Aye,
120,24,27,Aye,
121,25,3,Aye,
122,25,18,Aye,
123,25,20,Aye,
124,25,25,Aye,
125,25,27,Aye,
126,26,3,Aye,
127,26,18,Aye,
128,26,20,Aye,
129,26,25,Aye,
130,26,27,Aye,
131,27,3,Aye,
132,27,18,Aye,
133,27,20,Aye,
134,27,25,Aye,
135,27,27,Aye,
136,28,3,Aye,
137,28,18,Aye,
138,28,20,Aye,
139,28,25,Aye,
140,28,27,Aye,
141,29,3,Aye,
142,29,18,Aye,
143,29,20,Aye,
144,29,25,Aye,
145,29,27,Aye,
146,30,3,Aye,
147,30,18,Aye,
148,30,20,Aye,
149,30,25,Aye,
150,30,27,Aye,
151,31,3,Aye,
152,31,18,Aye,
153,31,20,Aye,
154,31,25,Aye,
155,31,27,Aye,
156,32,3,Aye,
157,32,18,Aye,
158,32,20,Aye,
159,32,25,Aye,
160,32,27,Aye,
161,33,3,Aye,
162,33,18,Aye,
163,33,20,Aye,
164,33,25,Aye,
165,33,27,Aye,
166,34,3,Aye,
167,34,18,Aye,
168,34,20,Aye,
169,34,25,Aye,
170,34,27,Aye,
171,35,3,Aye,
172,35,18,Aye,
173,35,20,Aye,
174,35,25,Aye,
