role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,3,2026-04-08,2026-05-27,6
2,2,1,2020-06-25,2020-06-25,1
3,3,1,2020-01-09,2026-06-11,973
4,3,2,2020-02-27,2023-01-05,12
5,3,4,2020-01-09,2023-12-14,30
6,4,1,2024-01-04,2026-07-09,550
7,4,2,2024-05-02,2026-01-08,6
8,4,4,2024-01-04,2026-06-11,19
9,5,3,2021-07-28,2025-11-12,53
10,6,3,2021-07-28,2025-03-26,35
11,7,1,2026-01-08,2026-07-09,110
12,7,2,2026-01-08,2026-01-08,1
13,7,4,2026-01-08,2026-06-11,7
14,8,3,2021-10-13,2022-01-26,16
15,9,1,2024-01-04,2026-07-09,549
16,9,2,2024-05-02,2026-01-08,6
17,9,4,2024-01-04,2026-06-11,19
18,10,3,2026-04-22,2026-04-22,1
19,11,3,2022-10-12,2025-04-09,20
20,12,1,2022-01-06,2026-06-11,959
21,12,2,2022-01-06,2025-02-06,11
22,12,4,2022-01-06,2025-06-12,23
23,13,3,2022-09-14,2025-11-12,26
24,14,3,2021-07-28,2023-03-08,25
25,15,3,2021-11-10,2022-07-27,4
26,16,3,2020-03-11,2025-05-28,50
27,18,1,2020-01-09,2026-06-11,969
28,18,2,2020-02-27,2023-01-05,12
29,18,4,2020-01-09,2023-12-14,30
30,19,1,2026-01-20,2026-07-09,98
31,19,4,2026-04-30,2026-06-11,5
32,20,1,2020-01-09,2024-08-22,454
33,20,2,2020-02-27,2021-09-02,6
34,20,4,2020-01-09,2021-12-16,19
35,21,3,2023-08-23,2026-04-22,12
36,22,1,2022-01-27,2025-12-18,948
37,22,2,2022-10-06,2025-02-06,9
38,22,4,2022-03-17,2025-06-12,22
39,23,3,2021-07-28,2023-03-08,36
40,24,3,2025-07-23,2025-07-23,1
41,25,1,2020-01-09,2021-12-16,453
42,25,2,2020-02-27,2021-09-02,6
43,25,4,2020-01-09,2021-12-16,19
44,26,1,2022-01-06,2026-07-09,1070
45,26,2,2022-01-06,2026-01-08,12
46,26,4,2022-01-06,2026-06-11,30
47,27,1,2020-01-09,2021-12-16,453
48,27,2,2020-02-27,2021-09-02,6
49,27,4,2020-01-09,2021-12-16,19
