motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file
1,1,1,1,Council Member Joyce moved to close the meeting to discuss property and personnel at 4:15 p.m,Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,25,3,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
2,1,1,2,Council Member Joyce moved to adjourn from Closed Meeting at 5:00 p.m,Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,25,20,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
3,1,1,3,Council Member Henney moved to appoint Council Member Joyce as Mayor Pro Tem and Council Member Doilney as Alternate Mayor Pro Tem for Calendar Year 2020,Appointment,5-0 Pass,Pass,council_vote,,,unclassified,low,,,,27,20,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
4,1,1,4,Council Member Gerber moved to appoint Matt Dias as the City Manager of Park City Municipal Corporation,Appointment,5-0 Pass,Pass,council_vote,,,unclassified,low,,,,3,20,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
5,1,1,5,Council Member Joyce moved to approve the City Council meeting minutes from,Procedural/Administrative,4-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,25,,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
6,1,1,6,Council Member Worel moved to remove Item Three from the Consent Agenda for further discussion,Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,20,25,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
7,1,1,7,"Council Member Gerber moved to approve Consent Agenda Items One, Two, Four and Five",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,3,25,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
8,1,1,8,Council Member Joyce moved to approve the Single Event Temporary Liquor Licenses for operation during the 2020 Sundance Film Festival,Other,4-1 Pass,Pass,council_vote,,approve,keyword,high,,,,25,3,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
9,1,1,9,Council Member Worel moved to approve the first addendum to the City Services Agreement in a form approved by the City Attorney for a two year extension of the Park Silly Sunday Market (PSSM) Contract for 2021 and 2022,Contract/Purchase,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,20,18,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
10,1,1,10,Council Member Gerber moved to approve an exchange agreement with Girl Scouts of Utah for property located within Bonanza Flat in a form approved by the City Attorney,Contract/Purchase,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,3,20,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
11,1,1,11,"Council Member Gerber moved to approve the Bonanza Flat Conservation Easement and Bonanza Flat Adaptive Management Plan, and grant the easement to Utah Open Lands",Land-Use/Zoning,5-0 Pass,Pass,council_vote,,approve,keyword,high,1,singleton,high,3,20,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
12,1,1,12,Council Member Joyce moved to ratify the findings of fact and conclusions of law for the Denial of the Proposed Conditional Use Permit located at 901 Woodside Avenue as amended,Land-Use/Zoning,4-0 Pass,Pass,council_vote,,deny,keyword,high,2,singleton,high,25,20,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
13,1,1,13,"Council Member Gerber moved to approve Ordinance 2020-01, an ordinance approving the 2020 Regular Meeting schedule for City Council as amended",Ordinance,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,3,20,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
14,1,1,14,"Council Member Joyce moved to approve Ordinance 2020-02, an ordinance approving the Lilac Hill Subdivision located at 729, 741, 747, 751, 755 Rossie Hill Drive",Land-Use/Zoning,5-0 Pass,Pass,council_vote,,approve,keyword,high,3,name,medium,25,27,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
15,1,1,15,"Council Member Worel moved to approve Ordinance 2020-03, an ordinance approving the two-lot Silver Rail Subdivision located at 2080 Gold Dust Lane and 2211 Sidewinder Drive, Park City, Utah",Land-Use/Zoning,5-0 Pass,Pass,council_vote,,approve,keyword,high,4,name,medium,20,3,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
16,1,1,16,"Council Member Doilney moved to continue an ordinance amending the zoning map from Residential Development to General Commercial for 2080 Gold Dust Lane and 2211 Sidewinder Drive, Park City, Utah to a date uncertain",Land-Use/Zoning,5-0 Continued,Continued,council_vote,,continue,keyword,high,5,singleton,high,18,25,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
17,1,1,17,"Council Member Joyce moved to approve Ordinance No. 2020-04, an ordinance approving a zoning map amendment for seven tracts of land zoned Residential Development, Estate, Historic Residential-Low Density, and Residential Development- Medium Density to Recreation and Open Space (ROS), including Bureau of Land Management Parcel 17 Tracts 1, 2, 4 and Parcel 18 Tracts 1, 2, 6 and 7, Park City, Utah",Land-Use/Zoning,5-0 Pass,Pass,council_vote,,approve,keyword,high,6,singleton,high,25,3,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
18,2,4,18,"Board Member Gerber moved to approve Resolution HA 01-2020, a resolution establishing a regular meeting date, time, and location for 2020 meetings and appointing officers of the Board of Directors of the Housing Authority of Park City, Utah",Appointment,5-0 Pass,Pass,rda_vote,,approve,keyword,high,,,,3,20,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
19,2,4,19,"Board Member Joyce moved to approve Resolution RDA 01-2020, a resolution establishing a regular meeting date, time, and location for 2020 meetings and appointing Officers of the Board of Directors of the Redevelopment Agency of Park City, Utah",Appointment,5-0 Pass,Pass,rda_vote,,approve,keyword,high,,,,25,27,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
20,2,4,20,"Council Member Gerber moved to approve Resolution WSD 01-2020, a resolution establishing a regular meeting date, time, and location for 2020 meetings and appointing the governing body of the Park City Water Service District",Appointment,5-0 Pass,Pass,rda_vote,,approve,keyword,high,,,,3,18,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
21,1,1,21,"Council Member Worel moved to approve the Water Right Purchase and Sale Agreement among National Ability Center, Park City Municipal Corporation, and Park City Water Service District",Contract/Purchase,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,20,3,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
22,2,4,22,"Board Member Gerber moved to approve Resolution MBA 01-2020, a resolution establishing a regular meeting date, time, and location for 2020 meetings and appointing officers of the Board of Directors of the Municipal Building Authority of Park City, Utah",Appointment,5-0 Pass,Pass,rda_vote,,approve,keyword,high,,,,3,27,1,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
23,3,1,1,Council Member Joyce moved to close the meeting to discuss property and litigation at 3:20 p.m,Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,25,3,1,minutes/2020/2020-01-13/2020-01-16_city-council-meeting.md
24,3,1,2,Council Member Doilney moved to adjourn from Closed Meeting at 3:45 p.m,Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,18,20,1,minutes/2020/2020-01-13/2020-01-16_city-council-meeting.md
25,3,1,3,Council Member Gerber moved to approve the Consent Agenda,Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,3,25,1,minutes/2020/2020-01-13/2020-01-16_city-council-meeting.md
26,3,1,4,"Council Member Joyce moved to approve Ordinance 2020-05, an ordinance approving the Fairway Meadows Subdivision Lot 11 Amended Plat, located at 2784 American Saddler Drive, Park City, Utah",Land-Use/Zoning,5-0 Pass,Pass,council_vote,,approve,keyword,high,7,name,medium,25,18,1,minutes/2020/2020-01-13/2020-01-16_city-council-meeting.md
27,3,1,5,"Council Member Worel moved to continue an ordinance approving the Alpine Retreat @ Utah, to a date uncertain. Council Member Steve",Ordinance,5-0 Continued,Continued,council_vote,,continue,keyword,high,,,,20,25,1,minutes/2020/2020-01-13/2020-01-16_city-council-meeting.md
28,3,1,6,"Council Member Joyce moved to approve Ordinance 2020-07, an ordinance approving Evergreen Lot 1 Amended Plat, located at 7058 Silver Lake Drive, Park City, Utah, as amended",Land-Use/Zoning,5-0 Pass,Pass,council_vote,,approve,keyword,high,8,singleton,high,25,20,1,minutes/2020/2020-01-13/2020-01-16_city-council-meeting.md
