date,reason,agenda_url
2017-03-09,PC agenda published; minutes never published to Streamline site,https://whitecity.utah.gov/files/49ae9a41f/03-09-2017_pc_meeting.pdf
2017-04-25,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/387115.html
2017-05-23,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/395421.html
2017-06-01,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/395001.html
2017-06-27,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/403247.html
2017-07-13,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/406227.html
2017-08-01,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/408833.html
2017-08-03,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/409611.html
2017-09-26,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/419635.html
2017-10-24,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/424305.html
2017-11-28,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/427505.html
2017-12-19,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/433831.html
2018-01-09,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/438373.html
2018-01-23,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/438721.html
2018-02-01,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/443351.html
2018-02-27,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/448423.html
2018-03-14,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/452331.html
2018-03-17,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/452897.html
2018-03-21,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/452901.html
2018-03-27,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/454309.html
2018-04-24,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/459007.html
2018-05-22,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/464943.html
2018-07-17,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/472987.html
2018-09-22,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/487373.html
2019-01-17,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/509609.html
2019-04-24,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/529567.html
2019-11-14,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/568389.html
2023-02-23,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/812041.html
2025-06-24,PC meeting noticed with agenda on PMN body 5879; no minutes attachment was ever posted to any notice (the PC minutes series on PMN is sporadic),https://www.utah.gov/pmn/sitemap/notice/1002609.html
