precinct,district
WVC001,3
WVC002,3
WVC003,3
WVC004,3
WVC005,2
WVC006,3
WVC007,4
WVC008,4
WVC009,4
WVC010,4
WVC011,4
WVC012,4
WVC013,4
WVC014,4
WVC015,3
WVC016,3
WVC017,3
WVC018,3
WVC019,3
WVC020,3
WVC021,3
WVC022,3
WVC023,3
WVC024,3
WVC025,3
WVC026,2
WVC027,2
WVC028,1
WVC029,3
WVC030,1
WVC031,1
WVC032,2
WVC033,2
WVC034,2
WVC035,1
WVC036,3
WVC037,1
WVC038,2
WVC039,2
WVC040,1
WVC041,1
WVC042,1
WVC043,1
WVC044,1
WVC045,1
WVC046,1
WVC047,1
WVC049,1
WVC051,4
WVC052,4
WVC053,4
WVC054,4
WVC055,4
WVC056,4
WVC057,4
WVC058,4
WVC059,4
WVC060,4
WVC061,2
WVC062,2
WVC063,2
WVC065,2
WVC066,2
WVC067,2
