precinct,district,source_year
WVC001,3,2023
WVC002,3,2023
WVC003,1,2023
WVC004,1,2023
WVC005,1,2023
WVC006,2,2025
WVC007,3,2023
WVC008,1,2023
WVC009,3,2023
WVC010,3,2023
WVC011,3,2023
WVC012,3,2023
WVC013,3,2023
WVC014,3,2023
WVC015,3,2023
WVC016,1,2023
WVC017,1,2023
WVC018,4,2025
WVC019,4,2025
WVC020,4,2025
WVC021,4,2025
WVC022,3,2023
WVC023,3,2023
WVC024,2,2025
WVC025,2,2025
WVC026,2,2025
WVC027,2,2025
WVC028,1,2023
WVC029,1,2023
WVC030,1,2023
WVC031,1,2023
WVC032,1,2023
WVC033,4,2025
WVC034,4,2025
WVC035,2,2025
WVC036,2,2025
WVC037,2,2025
WVC038,2,2025
WVC039,2,2025
WVC040,2,2025
WVC041,1,2023
WVC042,1,2023
WVC043,1,2023
WVC044,4,2025
WVC045,4,2025
WVC046,4,2025
WVC047,4,2025
WVC048,2,2025
WVC049,2,2025
WVC050,2,2025
WVC051,2,2025
WVC052,2,2025
WVC053,4,2025
WVC054,4,2025
WVC055,4,2025
WVC056,2,2025
WVC057,3,2023
WVC058,2,2025
WVC059,2,2025
WVC060,4,2025
WVC061,4,2025
WVC062,4,2025
WVC063,4,2025
WVC064,4,2025
WVC065,4,2025
WVC066,3,2023
WVC901,4,2025
WVC902,4,2025
WVC903,1,2023
WVC904,4,2025
