motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file,provenance
1,1,3,1,A motion was made by Councilmember Randall to adjourn.,Procedural/Administrative,5-0 Pass (The vote was unanimous and the motion carried.),Pass,council_vote,,procedural,keyword,high,,,,43,31,1,meeting_minutes/minutes/2020/2020-01-06/2020-01-06_city-council-regular-meeting.md,minutes
2,2,3,1,A motion was made by Councilmember Randall to approve the consent calendar as presented.,Procedural/Administrative,5-0 Pass (The vote was unanimous and the motion carried.),Pass,council_vote,,procedural,keyword,high,,,,43,31,1,meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,minutes
3,2,3,2,A motion was made by Councilmember Randall to approve the ordinance the zone from C-3 to PD-C on approximately 2.54 acres for development of a professional office building.,Land-Use/Zoning,5-0 Pass (The vote was unanimous and the motion carried.),Pass,council_vote,,approve,keyword,high,1,singleton,high,43,9,1,meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,minutes
4,2,3,3,A motion was made by Councilmember Larkin to approve the fee waivers as presented with the caveat shared by City Manager Adam Lenhard.,Other,5-0 Pass (The vote was unanimous and the motion carried.),Pass,council_vote,,approve,keyword,high,,,,14,43,1,meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,minutes
5,2,3,4,"A motion was made by Councilmember Hughes to approve the request so sponsor the Winter Roundup for Sky Nine Ranch, LLC.",Other,5-0 Pass (The vote was unanimous and the motion carried.),Pass,council_vote,,approve,keyword,high,,,,31,43,1,meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,minutes
6,2,3,5,A motion was made by Councilmember Randall to approve the request as presented.,Other,5-0 Pass (The vote was unanimous and the motion carried.),Pass,council_vote,,approve,keyword,high,,,,43,14,1,meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,minutes
7,2,3,6,Councilmember Randall amended her motion to include the note from City Manager Adam Lenhard.,Other,5-0 Pass (The vote was unanimous and the motion carried.),Pass,council_vote,,,unclassified,low,,,,,14,1,meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,minutes
8,2,3,7,A motion was made by Councilmember Hughes to approve the amended final plat for Ancestor Square Condominiums Amended for units 38 & 39.,Land-Use/Zoning,5-0 Pass (The vote was unanimous and the motion carried.),Pass,council_vote,,approve,keyword,high,2,singleton,high,31,9,1,meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,minutes
9,2,3,8,A motion was made by Councilmember Randall to approve the amended final plat for Canyon Terrace Estates Phase 2.,Land-Use/Zoning,5-0 Pass (The vote was unanimous and the motion carried.),Pass,council_vote,,approve,keyword,high,3,singleton,high,43,31,1,meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,minutes
10,2,3,9,A motion was made by Councilmember Smethurst to approve the amended final subdivision plat for Crimson Cliffs Phase 3 by increasing the size of Lot 7 and vacating the public utilities and drainage easement at the Northeast corner of the existing lot.,Land-Use/Zoning,4-0 Pass (The vote was unanimous and the motion carried.),Pass,council_vote,,approve,keyword,high,4,singleton,high,9,31,1,meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,minutes
