person_id,full_name,name_key
1,Anderson Made A Motion,andersonmadeamotion
2,Anderson Moves,andersonmoves
3,Approve,approve
4,Austin Anderson,austinanderson
5,Ben Rogers,benrogers
6,Brader,brader
7,Brandon Anderson,brandonanderson
8,Bryan,bryan
9,Bryan Smethurst,bryansmethurst
10,Casey Forward A Positive Recommendation,caseyforwardapositiverecommendation
11,Commissioner,commissioner
12,Continue,continue
13,Dannielle,dannielle
14,Dannielle Larkin,danniellelarkin
15,David Brager,davidbrager
16,Davis,davis
17,Draper For Positive Recommendation,draperforpositiverecommendation
18,Draper Forward A Positive Recommendation,draperforwardapositiverecommendation
19,Draper Forward A Positive Recommendation For The Zone Change For Crimson Heights Behavioral Health,draperforwardapositiverecommendationforthezonechangeforcrimsonheightsbehavioralhealth
20,Draper Recommend This Change,draperrecommendthischange
21,Edwards,edwards
22,Elise West,elisewest
23,Emily Andrus,emilyandrus
24,Fish,fish
25,Fisher Made A Motion,fishermadeamotion
26,Fisher Recommend,fisherrecommend
27,Fisher That We Recommend,fisherthatwerecommend
28,Gregg,gregg
29,Gregg McArthur,greggmcarthur
30,Griffith,griffith
31,Jimmie Hughes,jimmiehughes
32,Jon Pike,jonpike
33,Kelly Casey,kellycasey
34,Kelly Taysom,kellytaysom
35,Kem,kem
36,Kessler,kessler
37,Lakin,lakin
38,Laresn,laresn
39,Lori,lori
40,Lori Chapman,lorichapman
41,Mast,mast
42,Mc,mc
43,Michele Randall,michelerandall
44,Michelle Tanner,michelletanner
45,Natalie,natalie
46,Natalie Larsen,natalielarsen
47,Nathan Fisher,nathanfisher
48,Nelson,nelson
49,Planning Commission Member,planningcommissionmember
50,Ray Draper,raydraper
51,Roger,roger
52,Roger Nelson,rogernelson
53,Rogers Made A Motion,rogersmadeamotion
54,Rogers Moved,rogersmoved
55,Rogers Recommend Forwarding A Positive Recommendation,rogersrecommendforwardingapositiverecommendation
56,Scharf,scharf
57,Schmidt,schmidt
58,Steve Kemp,stevekemp
59,Tannert,tannert
60,Teri Draper,teridraper
61,Vardell Curtis,vardellcurtis
62,Webb,webb
63,Wilson,wilson
64,Wilson-Spooner,wilsonspooner
