precinct,district,method,source_year
SSL001,2,district_election_contest,2025
SSL002,2,district_election_contest,2025
SSL003,1,district_election_contest,2023
SSL004,1,district_election_contest,2023
SSL005,3,district_election_contest,2025
SSL006,3,district_election_contest,2025
SSL007,2,district_election_contest,2025
SSL008,2,district_election_contest,2025
SSL009,5,district_election_contest,2023
SSL010,4,district_election_contest,2023
SSL011,4,district_election_contest,2023
SSL012,4,district_election_contest,2023
SSL013,1,district_election_contest,2023
SSL014,3,district_election_contest,2025
SSL015,3,district_election_contest,2025
SSL016,3,district_election_contest,2025
SSL017,3,district_election_contest,2025
SSL018,5,district_election_contest,2023
SSL019,5,district_election_contest,2023
SSL020,5,district_election_contest,2023
SSL901,1,district_election_contest,2023
