vote_id,motion_id,person,vote_value
1,2,Larry A. Ellertson,Aye
2,2,William C. Lee,Aye
3,2,Greg Graves,Aye
4,3,Larry A. Ellertson,Aye
5,3,Greg Graves,Aye
6,3,William C. Lee,Nay
7,4,Larry A. Ellertson,Aye
8,4,William C. Lee,Aye
9,4,Greg Graves,Aye
10,5,Larry A. Ellertson,Aye
11,5,William C. Lee,Aye
12,5,Greg Graves,Aye
13,6,Larry A. Ellertson,Aye
14,6,William C. Lee,Aye
15,6,Greg Graves,Aye
16,7,Larry A. Ellertson,Aye
17,7,William C. Lee,Aye
18,7,Greg Graves,Aye
19,8,Larry A. Ellertson,Aye
20,8,William C. Lee,Aye
21,8,Greg Graves,Aye
22,9,Larry A. Ellertson,Aye
23,9,William C. Lee,Aye
24,9,Greg Graves,Aye
25,10,Larry A. Ellertson,Aye
26,10,William C. Lee,Aye
27,10,Greg Graves,Aye
28,11,Larry A. Ellertson,Aye
29,11,William C. Lee,Aye
30,11,Greg Graves,Aye
31,12,Larry A. Ellertson,Aye
32,12,William C. Lee,Aye
33,12,Greg Graves,Aye
34,13,Larry A. Ellertson,Aye
35,13,William C. Lee,Aye
36,13,Greg Graves,Aye
37,14,Larry A. Ellertson,Aye
38,14,William C. Lee,Aye
39,14,Greg Graves,Aye
40,15,Larry A. Ellertson,Aye
41,15,William C. Lee,Aye
42,15,Greg Graves,Aye
43,16,Larry A. Ellertson,Aye
44,16,William C. Lee,Aye
45,16,Greg Graves,Aye
46,17,Larry A. Ellertson,Aye
47,17,William C. Lee,Aye
48,17,Greg Graves,Aye
49,18,Larry A. Ellertson,Aye
50,18,William C. Lee,Aye
51,18,Greg Graves,Aye
52,19,Larry A. Ellertson,Aye
53,19,William C. Lee,Aye
54,19,Greg Graves,Aye
55,20,Larry A. Ellertson,Aye
56,20,William C. Lee,Aye
57,20,Greg Graves,Aye
58,21,Larry A. Ellertson,Aye
59,21,William C. Lee,Aye
60,21,Greg Graves,Aye
61,22,Larry A. Ellertson,Aye
62,22,William C. Lee,Aye
63,22,Greg Graves,Aye
64,23,Larry A. Ellertson,Aye
65,23,Greg Graves,Aye
66,23,William C. Lee,Nay
67,24,Larry A. Ellertson,Aye
68,24,William C. Lee,Aye
69,24,Greg Graves,Aye
70,25,Larry A. Ellertson,Aye
71,25,William C. Lee,Aye
72,25,Greg Graves,Aye
73,26,Larry A. Ellertson,Aye
74,26,William C. Lee,Aye
75,26,Greg Graves,Aye
76,27,Larry A. Ellertson,Aye
77,27,William C. Lee,Aye
78,27,Greg Graves,Aye
79,28,Larry A. Ellertson,Aye
80,28,William C. Lee,Aye
81,28,Greg Graves,Aye
82,29,Larry A. Ellertson,Aye
83,29,William C. Lee,Aye
84,29,Greg Graves,Aye
85,30,Larry A. Ellertson,Aye
86,30,William C. Lee,Aye
87,30,Greg Graves,Aye
88,31,Larry A. Ellertson,Aye
89,31,William C. Lee,Aye
90,31,Greg Graves,Aye
91,32,Larry A. Ellertson,Aye
92,32,William C. Lee,Aye
93,32,Greg Graves,Aye
94,33,Larry A. Ellertson,Aye
95,33,William C. Lee,Aye
96,33,Greg Graves,Aye
97,34,Larry A. Ellertson,Aye
98,34,William C. Lee,Aye
99,34,Greg Graves,Aye
100,35,Larry A. Ellertson,Aye
101,35,William C. Lee,Aye
102,35,Greg Graves,Aye
103,36,Larry A. Ellertson,Aye
104,36,William C. Lee,Aye
105,36,Greg Graves,Aye
106,37,Larry A. Ellertson,Aye
107,37,William C. Lee,Aye
108,37,Greg Graves,Aye
109,38,Larry A. Ellertson,Aye
110,38,William C. Lee,Aye
111,38,Greg Graves,Aye
112,39,Larry A. Ellertson,Aye
113,39,William C. Lee,Aye
114,39,Greg Graves,Aye
115,40,Larry A. Ellertson,Aye
116,40,William C. Lee,Aye
117,40,Greg Graves,Aye
118,41,Larry A. Ellertson,Aye
119,41,William C. Lee,Aye
120,41,Greg Graves,Aye
121,42,Larry A. Ellertson,Aye
122,42,William C. Lee,Aye
123,42,Greg Graves,Aye
124,43,Larry A. Ellertson,Aye
125,43,William C. Lee,Aye
126,43,Greg Graves,Aye
127,44,Larry A. Ellertson,Aye
128,44,William C. Lee,Aye
129,44,Greg Graves,Aye
130,45,Larry A. Ellertson,Aye
131,45,William C. Lee,Aye
132,45,Greg Graves,Aye
133,46,Larry A. Ellertson,Aye
134,46,William C. Lee,Aye
135,46,Greg Graves,Aye
136,47,Larry A. Ellertson,Aye
137,47,William C. Lee,Aye
138,47,Greg Graves,Aye
139,48,Larry A. Ellertson,Aye
140,48,William C. Lee,Aye
141,48,Greg Graves,Aye
142,50,Larry A. Ellertson,Aye
143,50,William C. Lee,Aye
144,50,Greg Graves,Aye
145,51,Larry A. Ellertson,Aye
146,51,William C. Lee,Aye
147,51,Greg Graves,Aye
148,52,Larry A. Ellertson,Aye
149,52,William C. Lee,Aye
150,52,Greg Graves,Aye
151,53,Larry A. Ellertson,Aye
152,53,William C. Lee,Aye
153,53,Greg Graves,Aye
154,54,Larry A. Ellertson,Aye
155,54,William C. Lee,Aye
156,54,Greg Graves,Aye
157,55,Larry A. Ellertson,Aye
158,55,William C. Lee,Aye
159,55,Greg Graves,Aye
160,56,Larry A. Ellertson,Aye
161,56,William C. Lee,Aye
162,56,Greg Graves,Aye
163,57,Larry A. Ellertson,Aye
164,57,William C. Lee,Aye
165,57,Greg Graves,Aye
166,59,Larry A. Ellertson,Aye
167,59,William C. Lee,Aye
168,59,Greg Graves,Aye
169,60,Larry A. Ellertson,Aye
170,60,William C. Lee,Aye
171,60,Greg Graves,Aye
