motion_id,meeting_id,body,motion_no,motion_text,subject,result_raw,outcome,mover,seconder,names_recorded,provenance,source_file,kind
1,1,Board of Commissioners,1,elect Larry A. Ellertson as the Chair and Bill Lee as the Vice-Chair of the Board of County,ELECT A CHAIR AND VICE-CHAIR OF THE BOARD OF COUNTY COMMISSIONERS OF UTAH,Lee and carried with the following vote:,Pass,Graves,Lee,0,poppler,legislative/minutes/2015/2015-01-06_board_of_commissioners.md,motion
2,1,Board of Commissioners,2,"approve and authorize the renewal Class ‘B’ Retail Beer License (on-premise consumption) Applications for Sundance Partners, LTD, at various establishments as specified in Consent Agenda Item Nos. 4 through 9, subject to completion of all necessary information as discussed",APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN THE RENEWAL CLASS B,Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-01-06_board_of_commissioners.md,motion
3,1,Board of Commissioners,3,"approve and authorize the agreement with the UVU Foundation, with the changes specified in Regular Agenda Item No. 1. Because there was lack of a second,",APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN AN AGREEMENT WITH THE,The motion was seconded by Commissioner Ellertson and carried with the following vote:,Pass,Graves,Ellertson,1,poppler,legislative/minutes/2015/2015-01-06_board_of_commissioners.md,motion
4,1,Board of Commissioners,4,"adjourn the January 6, 2015 meeting of the Utah County Board of",PROJECT SANUS OVERVIEW BY RON HARRIS,carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-01-06_board_of_commissioners.md,motion
5,2,Board of Commissioners,1,"approve and authorize the Substitution of Trustee, Request for Partial Reconveyance and Deed of Partial Reconveyance concerning Utah County’s beneficial interest in a Trust Deed secured by property in the Soldier Summit Estates Subdivision as identified in Regular Agenda Item No. 12",APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN A SUBSTITUTION OF,seconded by Commissioner Lee and carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-01-13_board_of_commissioners.md,motion
6,2,Board of Commissioners,2,"strike Regular Agenda Item No. 20 to set a date, time, and location for a closed meeting to discuss commercial information as defined in Section 59-1-404, U.C.A., as amended","SET A DATE, TIME AND LOCATION FOR A CLOSED MEETING TO DISCUSS COMMERCIAL",carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-01-13_board_of_commissioners.md,motion
7,2,Board of Commissioners,3,"set a date, time and location for a closed meeting for a strategy session to discuss the purchase, exchange, or lease of real property to immediately follow the previously scheduled closed meetings today in Room 1400 of the County Administration Building","SET A DATE, TIME AND LOCATION FOR A CLOSED MEETING FOR A STRATEGY SESSION TO",carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-01-13_board_of_commissioners.md,motion
8,2,Board of Commissioners,4,"adjourn the January 13, 2015 meeting of the Utah County Board of",,carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-01-13_board_of_commissioners.md,motion
9,3,Board of Commissioners,1,"approve the Compliance Agreement and Bond for Open Pit Mining Operations for an existing mining operation with Kilgore Contracting, LLC, and to approve the release of the Compliance Agreement and Bond for Open Pit Mining Operations (Agreement No. 2008-3) Bond in the amount of $19, 686 for Altaview Concrete Mining Operation as detailed in Consent Agenda Item Nos. 2 and 3, respectively",APPROVE THE RELEASE OF THE COMPLIANCE AGREEMENT AND BOND FOR OPEN PIT,The motion was seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-01-20_board_of_commissioners.md,motion
10,3,Board of Commissioners,2,approve the agreement with Copper Grill Catering to provide breakfast for a training meeting of the Utah County Storm Water Coalition as defined in Consent Agenda Item No. 6. UTAH COUNTY BOARD OF,APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN AN AGREEMENT WITH,The motion was seconded by Commissioner Lee and carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-01-20_board_of_commissioners.md,motion
11,3,Board of Commissioners,3,approve and authorize the Utah County Clerk/Auditor to sign a Quit Claim Deed for Property Tax Serial No. 38:008:0003 as specified in Consent Agenda Item No. 7,APPROVE AND AUTHORIZE THE UTAH COUNTY CLERK/AUDITOR TO SIGN A QUIT CLAIM,and carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-01-20_board_of_commissioners.md,motion
12,3,Board of Commissioners,4,approve an agreement with Nebo School District for Prevention Services and Activities as outlined in Consent Agenda Item No. 9,APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN AN AGREEMENT BETWEEN,was seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-01-20_board_of_commissioners.md,motion
13,3,Board of Commissioners,5,"authorize the Staffing Plan changes for the Criminal and Investigation Divisions of the Attorney’s Office as outlined, with the changes as discussed in Regular Agenda Item No. 1",AUTHORIZE STAFFING PLAN CHANGES FOR THE CRIMINAL AND INVESTIGATION,and carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-01-20_board_of_commissioners.md,motion
14,3,Board of Commissioners,6,approve an addendum to Pictometry License Agreement No. 2006-101 as identified in Regular Agenda Item No. 3,APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN AN ADDENDUM TO,seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-01-20_board_of_commissioners.md,motion
15,3,Board of Commissioners,7,approve the bid agreement with Lawmen & Shooters’ for the purchase of 42 Max Pro Armor Gunfighter Helmets as specified in Regular Agenda Item No. 19,APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN A BID AGREEMENT WITH,carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-01-20_board_of_commissioners.md,motion
