meeting_id,date,body,md_path,provenance,kind,source_url
1,2015-01-06,Board of Commissioners,legislative/minutes/2015/2015-01-06_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/010615-CommissionMinutes.pdf
2,2015-01-13,Board of Commissioners,legislative/minutes/2015/2015-01-13_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/011315-CommissionMinutes.pdf
3,2015-01-20,Board of Commissioners,legislative/minutes/2015/2015-01-20_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/012015-CommissionMinutes.pdf
4,2015-01-27,Board of Commissioners,legislative/minutes/2015/2015-01-27_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/012715-CommissionMinutes.pdf
5,2015-02-03,Board of Commissioners,legislative/minutes/2015/2015-02-03_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/020315-CommissionMinutes.pdf
6,2015-02-10,Board of Commissioners,legislative/minutes/2015/2015-02-10_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/021015-CommissionMinutes.pdf
7,2015-02-17,Board of Commissioners,legislative/minutes/2015/2015-02-17_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/021715-CommissionMinutes.pdf
8,2015-03-03,Board of Commissioners,legislative/minutes/2015/2015-03-03_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/030315-CommissionMinutes.pdf
9,2015-03-10,Board of Commissioners,legislative/minutes/2015/2015-03-10_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/031015-CommissionMinutes.pdf
10,2015-03-17,Board of Commissioners,legislative/minutes/2015/2015-03-17_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/031715-CommissionMinutes_1.pdf
11,2015-03-24,Board of Commissioners,legislative/minutes/2015/2015-03-24_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/032415-CommissionMinutes.pdf
12,2015-03-31,Board of Commissioners,legislative/minutes/2015/2015-03-31_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/033115-CommMinutes1PM.pdf
13,2015-04-07,Board of Commissioners,legislative/minutes/2015/2015-04-07_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/040715-CommissionMinutes.pdf
14,2015-04-14,Board of Commissioners,legislative/minutes/2015/2015-04-14_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/041415-CommissionMinutes.pdf
15,2015-04-21,Board of Commissioners,legislative/minutes/2015/2015-04-21_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/042115-CommissionMinutes.pdf
16,2015-04-28,Board of Commissioners,legislative/minutes/2015/2015-04-28_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/042815-CommissionMinutes.pdf
17,2015-05-05,Board of Commissioners,legislative/minutes/2015/2015-05-05_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/050515-CommissionMinutes.pdf
18,2015-05-12,Board of Commissioners,legislative/minutes/2015/2015-05-12_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/051215-CommissionMinutes.pdf
19,2015-05-26,Board of Commissioners,legislative/minutes/2015/2015-05-26_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/052615-CommissionMinutes.pdf
20,2015-06-02,Board of Commissioners,legislative/minutes/2015/2015-06-02_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/060215-CommissionMinutes.pdf
21,2015-06-09,Board of Commissioners,legislative/minutes/2015/2015-06-09_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/060915-CommissionMinutes.pdf
22,2015-06-16,Board of Commissioners,legislative/minutes/2015/2015-06-16_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/061615-CommissionMinutes.pdf
23,2015-06-23,Board of Commissioners,legislative/minutes/2015/2015-06-23_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/062315-CommissionMinutes.pdf
