candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review
Tawnee McCay,Council,3,2021,2021-11-02,Single cycle report (2021 uncontested race),,SquareSpace - WebPage,SquareSpace - WebPage,,147.77,False,True,raw/2021_mccay_campaign-finance-report.pdf,8a4744cb,v1,medium,vision_cache/vision,0
Tish Buroker,Council,4,2021,2021-11-02,Single cycle report (2021 uncontested race),,Alphagraphics Invoice 99834,Alphagraphics Invoice 99834,,306.71,False,True,raw/2021_buroker_campaign-finance-report.pdf,3e93aa1f,v1,high,vision_cache/vision,0
Andy Pierucci,Council,1,2023,2023-11-14,Interim (filed 2023-11-14),,Madison Foster (Photographer),Madison Foster (Photographer),,150.00,False,True,raw/2023_pierucci_state_11-14-23.pdf,74b2bdb0,v1,high,vision_cache/text,0
Andy Pierucci,Council,1,2023,2024-01-10,"Year-End Summary (2023 cycle, filed ~Jan 2024)",,Madison Foster (Photographer),Madison Foster (Photographer),,150.00,False,True,raw/2023_pierucci_financial-2024.pdf,db076468,v1,low,vision_cache/text,1
David Gatti,Council,2,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",2023-08-14,Vista Print,Vista Print,,129.75,False,True,raw/2023_gatti_state_10-24-23.pdf,cfaed870,v1,low,vision_cache/vision,1
David Gatti,Council,2,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",2023-07-21,David Gatti,David Gatti,Godaddy.com website,128.57,False,True,raw/2023_gatti_state_10-24-23.pdf,cfaed870,v2,low,vision_cache/vision,1
David Gatti,Council,2,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",2023-07-11,David Gatti,David Gatti,More door hangers/bus cards - Vista Print,221.35,False,True,raw/2023_gatti_state_10-24-23.pdf,cfaed870,v3,low,vision_cache/vision,1
David Gatti,Council,2,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",2023-07-11,David Gatti,David Gatti,Yard sign stakes - Amazon,144.73,False,True,raw/2023_gatti_state_10-24-23.pdf,cfaed870,v4,low,vision_cache/vision,1
David Gatti,Council,2,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",2023-07-05,David Gatti,David Gatti,Reimburse checking acct startup loan,50.00,False,True,raw/2023_gatti_state_10-24-23.pdf,cfaed870,v5,low,vision_cache/vision,1
David Gatti,Council,2,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",2023-07-05,David Gatti,David Gatti,Parade candy - Amazon,569.08,False,True,raw/2023_gatti_state_10-24-23.pdf,cfaed870,v6,low,vision_cache/vision,1
David Gatti,Council,2,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",2023-06-05,David Gatti,David Gatti,signs - Renaissance Signs,876.94,False,True,raw/2023_gatti_state_10-24-23.pdf,cfaed870,v7,low,vision_cache/vision,1
David Gatti,Council,2,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",2023-10-20,Steven Powell,Steven Powell,,120.00,False,True,raw/2023_gatti_state_10-24-23.pdf,cfaed870,v8,low,vision_cache/vision,1
David Gatti,Council,2,2023,2023-11-14,Interim (filed 2023-11-14),,SL Mailing,SL Mailing,Eddm Mailer,1934.90,False,True,raw/2023_gatti_state_11-14-23.pdf,a92477bf,v1,low,vision_cache/vision,1
David Gatti,Council,2,2023,2024-01-10,"Year-End Summary (2023 cycle, filed ~Jan 2024)",,Vista Print,Vista Print,,129.75,False,True,raw/2023_gatti_financial-2024.pdf,d1f467a1,v1,low,vision_cache/vision,1
David Gatti,Council,2,2023,2024-01-10,"Year-End Summary (2023 cycle, filed ~Jan 2024)",,David Gatti (Godaddy.com website),David Gatti (Godaddy.com website),,128.57,False,True,raw/2023_gatti_financial-2024.pdf,d1f467a1,v2,low,vision_cache/vision,1
David Gatti,Council,2,2023,2024-01-10,"Year-End Summary (2023 cycle, filed ~Jan 2024)",,David Gatti (More door hangers/bus cards - Vista Print),David Gatti (More door hangers/bus cards - Vista Print),,221.35,False,True,raw/2023_gatti_financial-2024.pdf,d1f467a1,v3,low,vision_cache/vision,1
David Gatti,Council,2,2023,2024-01-10,"Year-End Summary (2023 cycle, filed ~Jan 2024)",,David Gatti (Yard sign stakes - Amazon),David Gatti (Yard sign stakes - Amazon),,144.73,False,True,raw/2023_gatti_financial-2024.pdf,d1f467a1,v4,low,vision_cache/vision,1
David Gatti,Council,2,2023,2024-01-10,"Year-End Summary (2023 cycle, filed ~Jan 2024)",,David Gatti (Reimburse checking acct startup loan),David Gatti (Reimburse checking acct startup loan),,50.00,False,True,raw/2023_gatti_financial-2024.pdf,d1f467a1,v5,low,vision_cache/vision,1
David Gatti,Council,2,2023,2024-01-10,"Year-End Summary (2023 cycle, filed ~Jan 2024)",,David Gatti (Parade (candy - Amazon)),David Gatti (Parade (candy - Amazon)),,569.08,False,True,raw/2023_gatti_financial-2024.pdf,d1f467a1,v6,low,vision_cache/vision,1
David Gatti,Council,2,2023,2024-01-10,"Year-End Summary (2023 cycle, filed ~Jan 2024)",,David Gatti (signs - Renaissance Signs),David Gatti (signs - Renaissance Signs),,876.94,False,True,raw/2023_gatti_financial-2024.pdf,d1f467a1,v7,low,vision_cache/vision,1
David Gatti,Council,2,2023,2024-01-10,"Year-End Summary (2023 cycle, filed ~Jan 2024)",,Steven Powell,Steven Powell,,120.00,False,True,raw/2023_gatti_financial-2024.pdf,d1f467a1,v8,low,vision_cache/vision,1
David Gatti,Council,2,2023,2024-01-10,"Year-End Summary (2023 cycle, filed ~Jan 2024)",,SL Mailing (Eddm Mailer),SL Mailing (Eddm Mailer),,1934.90,False,True,raw/2023_gatti_financial-2024.pdf,d1f467a1,v9,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,"Lowes - T-Posts, 1x2's, sign hanging stuff","Lowes - T-Posts, 1x2's, sign hanging stuff",,80.05,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v1,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,"Riverton Hardware, sign hanging stuff","Riverton Hardware, sign hanging stuff",,19.50,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v2,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,Sign hanging stuff - Home Depot,Sign hanging stuff - Home Depot,,10.66,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v3,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,Riverton Hardware - Sign stuff,Riverton Hardware - Sign stuff,,5.83,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v4,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,Salt Lake Elections - vote history,Salt Lake Elections - vote history,,15.00,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v5,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,Silly Rabbit - T-Shirts,Silly Rabbit - T-Shirts,,135.14,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v6,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,Sticker You,Sticker You,,173.44,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v7,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,Lowes - sign stuff for repairs - Vandals,Lowes - sign stuff for repairs - Vandals,,7.71,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v8,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,Renaisance Signs,Renaisance Signs,,1783.47,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v9,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,The Corndog Company - Independence Day Campaign,The Corndog Company - Independence Day Campaign,,23.15,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v10,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,"Abiyaki Hibachi Grill - "" "" ""","Abiyaki Hibachi Grill - "" "" """,,38.23,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v11,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,Riverton Hardware - sign stuff,Riverton Hardware - sign stuff,,10.33,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v12,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,Riverton Hardware - sign repair stuff,Riverton Hardware - sign repair stuff,,8.58,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v13,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,ODP Bus. Sol - Handouts,Odp Bus. Sol - Handouts,,167.03,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v14,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,4Imprint.com - Pens,4Imprint.com - Pens,,193.49,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v15,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,Office Max - Handouts,Office Max - Handouts,,24.80,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v16,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,Costco - Cameras for signs - Vandals,Costco - Cameras for signs - Vandals,,171.58,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v17,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,Menchies - campaign help,Menchies - campaign help,,13.81,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v18,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,Recurring Poliengine - Website,Recurring Poliengine - Website,,35.00,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v19,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,Recurring Spypoint - Camera Subc. - Vandals,Recurring Spypoint - Camera Subc. - Vandals,,15.00,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v20,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,Name Cheap.com,Name Cheap.com,,9.95,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v21,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,SQ Riverton Senior Center,SQ Riverton Senior Center,,16.00,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v22,low,vision_cache/vision,1
Spencer Haymond,Council,5,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",,Recurring Poliengine - Website,Recurring Poliengine - Website,,35.00,False,True,raw/2023_haymond_state_10-24-23.pdf,9dc93189,v23,low,vision_cache/vision,1
