ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,instrument_type,canonical_no,dup_raw,source_last_modified,linkage_note
2017-02-01,2017-02-01,2017-02-01,"AN ORDINANCE J/U TIFYJ/NG WON.I{PERFORMEJ!), PRIOR 71'0 JNCORPOJU1'JON, FOR THE FORMAL CREA 'li10N OF 'J1Jf.:J(EARNS ME1'RO TOWNSHIP.",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/ordinances/documents/Ordinance%2017-02-01.pdf,2026-07-13,text,pdftotext_layout,raw/Ordinance_17-02-01.pdf,no,,,,none,ordinance,2017-02-01,,2018-08-03,"date=YYYY-MM from instrument number, day placeholder 01 (exact adoption date not in doc)"
2017-02-01,2017-02-01,2017-02-01,"AN ORDINANCE J/U TIFYJ/NG WON.I{ PERFORMEJ!), PRIOR 71'0 JNCORPOJU1'JON, FOR THE FORMAL CREA'li10N OF 'J1Jf.: J(EARNS ME1'RO TOWNSHIP.",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/resolutions/documents/1578953956_Ordinance%2017-02-01%20%28002%29.docx,2026-07-13,text,textutil_docx,raw/Ordinance_17-02-01_(002).docx,no,,,,none,ordinance,2017-02-01,,2020-01-13,"date=YYYY-MM from instrument number, day placeholder 01 (exact adoption date not in doc)"
2017-02-01,2017-02-01,2017-02-01,"AN ORDINANCE RATIFVING WORK PERFORMED, PRIOR TO INCORPORATION, FOR THE FORMAL CREATION OF THE KEARNS METRO TOWNSHIP.",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/resolutions/documents/1578953966_Ordinance%2017-02-01.pdf,2026-07-13,scanned,ocr_tesseract,raw/Ordinance_17-02-01__3cee4c.pdf,no,,,,none,ordinance,2017-02-01,,2020-01-13,"date=YYYY-MM from instrument number, day placeholder 01 (exact adoption date not in doc)"
2017-02-01,2017-02-01,2017-02-01,"A RESOLUTION OF THE KEARNS METRO TOWNSHIP COUNCIL APPROVING AND AUTHORIZING EXECUTION OF AN INTERLOCAL COOPERATION AGREEMENT BETWEEN SALT LAKE COUNTY AND KEARNS METRO TOWNSHIP PROVIDING FOR A CONTRIBUTION OF $5,000 BY SALT LAKE COUNTY TO THE TOWNSHIP TO HELP THE TOWNSHIP COVER MUNICIPAL STARTUP COST",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/ordinances/documents/Resolution%2017-02-01%20final.pdf,2026-07-13,scanned,ocr_tesseract,raw/Resolution_17-02-01_final.pdf,no,,,,none,resolution,2017-02-01,,2019-06-26,"date=YYYY-MM from instrument number, day placeholder 01 (exact adoption date not in doc)"
2017-02-02,2017-02-01,2017-02-01,AN ORDINANCE RA 11FYING THE LETTER SENT TO THE UTAH STATE TAX COMMISSION PRIOR TO INCORPORATION ACCEPTING THE ONE-PERCENT LOCAL SALES AND USE TAX AND DIRECTING THE PROCEEDS FROM THE TAX BE REMITTED TO THE GREATER SALT LAKE MUNICIPAL SERVICES DISTRICT.,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/ordinances/documents/Ordinance%2017-02-02.pdf,2026-07-13,text,pdftotext_layout,raw/Ordinance_17-02-02.pdf,no,,,,none,ordinance,2017-02-02,,2018-06-29,"date=YYYY-MM from instrument number, day placeholder 01 (exact adoption date not in doc)"
2017-02-02,2017-02-01,2017-02-01,AN ORDINANCE RATIFYING THE LETTER SENT TO THE UTAH STATE TAX COMMISSION PRIOR TO INCORPORATION ACCEPTING THE ONE-PERCENT LOCAL SALES AND USE TAX AND DIRECTING THE PROCEEDS FROM THE TAX BE REMITTED TO THE GREATER SALT LAKE MUNICIPAL SERVICES DISTRICT.,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/resolutions/documents/1578954534_Ordinance%2017-02-02.pdf,2026-07-13,scanned,ocr_tesseract,raw/Ordinance_17-02-02__ef59dc.pdf,no,,,,none,ordinance,2017-02-02,,2020-01-13,"date=YYYY-MM from instrument number, day placeholder 01 (exact adoption date not in doc)"
2017-02-02,2017-02-01,2017-02-01,A RESOLUTION APPROVING AND ENTERING INTO AN AMENDED AND RESTATED AGREEMENT CREATING THE UTAH LOCAL GOVERNMENTS TRUST.,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/ordinances/documents/Resolution%2017-02-02%20final.pdf,2026-07-13,scanned,ocr_tesseract,raw/Resolution_17-02-02_final.pdf,no,,,,none,resolution,2017-02-02,,2019-06-26,"date=YYYY-MM from instrument number, day placeholder 01 (exact adoption date not in doc)"
2017-02-03,2017-02-01,2017-02-01,"AN ORDINANCE RA'J'JFJ/JNGACJ10N OF SENDING A J,ETTER TO 11/E GREATER SALTLAK!E MUNJl1PAJ, SERVICES J/)JS1'RIC1~PRIOR TO 1NCORPOIU710N, AIL/LOWING GSJ,MSD TO COLLECTALIL FINES, FEES, CBARGES; LEVIES, AND 0111ER PAYMEN1:r,;IMPOSED BY! THE KEARNS METRO TOWNSHIP.",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/ordinances/documents/Ordinance%2017-02-03.pdf,2026-07-13,text,pdftotext_layout,raw/Ordinance_17-02-03.pdf,no,,,,none,ordinance,2017-02-03,,2018-08-03,"date=YYYY-MM from instrument number, day placeholder 01 (exact adoption date not in doc)"
2017-02-03,2017-02-01,2017-02-01,"AN ORDINANCE RATIFYING ACTION OF SENDING A LETTER TO THE GREATER SALT LAKE MUNICIPAL SERVICES DISTRICT, PRIOR TO INCORPORATION, ALLOWING GSLMSD TO COLLECT ALL FINES, FEES, CHARGES, LEVIES, AND OTHER PAYMENTS IMPOSED BY THE KEARNS METRO TOWNSHIP.",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/resolutions/documents/1578954701_Ordinance%2017-02-03.pdf,2026-07-13,scanned,ocr_tesseract,raw/Ordinance_17-02-03__91093d.pdf,no,,,,none,ordinance,2017-02-03,,2020-01-13,"date=YYYY-MM from instrument number, day placeholder 01 (exact adoption date not in doc)"
2017-03-01,2017-03-01,2017-03-01,A RESOLUTION ESTABLISHING A MODIFIED FINANCIAL ADMINISTRATION PROCESS IN LIEU OF ORDINANCE CHANGE TO ALLOW FOR THE NECESSARY PROCESSING OF INVOICES AND PAYMENTS OF COSTS FOR THE METRO TOWNSHIP,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/ordinances/documents/Resolution%2017-03-01%20final.pdf,2026-07-13,scanned,ocr_tesseract,raw/Resolution_17-03-01_final.pdf,no,,,,none,resolution,2017-03-01,,2019-06-26,"date=YYYY-MM from instrument number, day placeholder 01 (exact adoption date not in doc)"
