url,name,etag,size,lastmodified,s3_prefix,stem
https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/resolutions/documents/1724784671_2024-08-01%20Resolution%20Authorizing%20the%20Issuance%20of%20a%20RFP%20for%20Proposals%20for%20a%20Consultant%20to%20Prepare%20an%20IFFP%20Signed.pdf,2024-08-01_Resolution_Authorizing_the_Issuance_of_a_RFP_for_Proposals_for_a_Consultant_to_Prepare_an_IFFP_Signed.pdf,bc2bd2f7548578363bd0d7590e92b105,327745,2024-08-27T18:51:12.000Z,resolutions,2024-08-01 Resolution Authorizing the Issuance of a RFP for Proposals for a Consultant to Prepare an IFFP Signed.pdf
https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/resolutions/documents/1721072633_2024-7-01%20Temporary%20Appointment%20of%20Board%20Member%20to%20Utah%20Community%20Renewable%20Energy%20Agency%20Board.pdf,2024-7-01_Temporary_Appointment_of_Board_Member_to_Utah_Community_Renewable_Energy_Agency_Board.pdf,9d2ae1c93f9b9209b3627b3e39353758,56985,2024-07-15T19:43:55.000Z,resolutions,2024-7-01 Temporary Appointment of Board Member to Utah Community Renewable Energy Agency Board.pdf
https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/resolutions/documents/1721072672_2024-7-02%20Temporary%20Appointment%20of%20Board%20Member%20to%20Wasatch%20Front%20Waste%20and%20Recycling%20Board.pdf,2024-7-02_Temporary_Appointment_of_Board_Member_to_Wasatch_Front_Waste_and_Recycling_Board.pdf,e3c0fb8a0c7cc1f113dd81ef837fa13a,56373,2024-07-15T19:44:34.000Z,resolutions,2024-7-02 Temporary Appointment of Board Member to Wasatch Front Waste and Recycling Board.pdf
https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/ordinances/documents/1724782244_Corrected%20Kearns%2019.48.040.pdf,Corrected_Kearns_19.48.040.pdf,68ae50e5bb81cd7a94709c38af35047e,70878,2024-08-27T18:10:45.000Z,ordinances,Corrected Kearns 19.48.040.pdf
https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/resolutions/documents/1629403824_Kearns%20-%20Resolution%20Approving%20Community%20Renewable%20Energy%20Program%20Interlocal%20Agreement%20-%20FINAL%20%286-14-2021%29%20%28KE033-001%29%204827-9345-2782%20v.1%204849-8992-3566%20v.2.pdf,Kearns_-_Resolution_Approving_Community_Renewable_Energy_Program_Interlocal_Agreement_-_FINAL_(6-14-2021)_(KE033-001)_4827-9345-2782_v.1_4849-8992-3566_v.2.pdf,988a7363966408524259a115dd2dc8d2,448928,2021-08-19T20:10:26.000Z,resolutions,Kearns - Resolution Approving Community Renewable Energy Program Interlocal Agreement - FINAL (6-14-2021) (KE033-001) 4827-9345-2782 v.1 4849-8992-3566 v.2.pdf
https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/ordinances/documents/1754583321_Kearns%202025-O-03%20Title%202.04.pdf,Kearns_2025-O-03_Title_2.04.pdf,d416670cef3ea5e8120e8a34002978e4,726290,2025-08-07T16:15:22.000Z,ordinances,Kearns 2025-O-03 Title 2.04.pdf
https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/ordinances/documents/1763586859_Kearns%202025-O-18%20Updating%20Titles%2018%20and%2019%20for%20HB368.pdf,Kearns_2025-O-18_Updating_Titles_18_and_19_for_HB368.pdf,9c37e3271a393aa897960f6421356b75,3286197,2025-11-19T21:14:24.000Z,ordinances,Kearns 2025-O-18 Updating Titles 18 and 19 for HB368.pdf
https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/ordinances/documents/1765313936_Kearns%202025-O-19%20Adopting%20WUI%20%28no%20map%29.pdf,Kearns_2025-O-19_Adopting_WUI_(no_map).pdf,cacf351d3795f021e3aa86562a269d1d,174707,2025-12-09T20:58:57.000Z,ordinances,Kearns 2025-O-19 Adopting WUI (no map).pdf
https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/ordinances/documents/1783366887_Kearns%202026-O-03%20Making%20Community%20Council%20Official%20City%20Committee.pdf,Kearns_2026-O-03_Making_Community_Council_Official_City_Committee.pdf,7898313651bc9d013497b0ee96bac82a,410930,2026-07-06T19:41:28.000Z,ordinances,Kearns 2026-O-03 Making Community Council Official City Committee.pdf
https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/ordinances/documents/1781213423_Kearns%202026-O-07%20Amend%20Section%2019.50.020%20Clarifying%20Exemptions%20to%20Landscape%20Requirements.pdf,Kearns_2026-O-07_Amend_Section_19.50.020_Clarifying_Exemptions_to_Landscape_Requirements.pdf,3130fffdbec9024e745776eba72bf00f,732465,2026-06-11T21:30:24.000Z,ordinances,Kearns 2026-O-07 Amend Section 19.50.020 Clarifying Exemptions to Landscape Requirements.pdf
https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/ordinances/documents/1781291114_Kearns%202026-O-07%20Amending%20Section%2019.50.020%20Landscaping%20Requirements.pdf,Kearns_2026-O-07_Amending_Section_19.50.020_Landscaping_Requirements.pdf,f5fe15957aa3230aac94c55793bef8cc,1194354,2026-06-12T19:05:16.000Z,ordinances,Kearns 2026-O-07 Amending Section 19.50.020 Landscaping Requirements.pdf
https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/resolutions/documents/1677857541_Kearns%20Planning%20Commission%20Rules%20of%20Order%20and%20Procedure%20FINAL%20SIGNED.pdf,Kearns_Planning_Commission_Rules_of_Order_and_Procedure_FINAL_SIGNED.pdf,64c6dd1823bb28db8a6b8d20d672759f,668270,2023-03-03T15:32:23.000Z,resolutions,Kearns Planning Commission Rules of Order and Procedure FINAL SIGNED.pdf
https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/kearns/resolutions/documents/1757431647_Kearns%20R2025-10%20Adopting%20SLCo%20Multi-Jurisdictional%20Hazard%20Plan.pdf,Kearns_R2025-10_Adopting_SLCo_Multi-Jurisdictional_Hazard_Plan.pdf,a7d1f0041d92f813bcc6308205705b29,70028,2025-09-09T15:27:28.000Z,resolutions,Kearns R2025-10 Adopting SLCo Multi-Jurisdictional Hazard Plan.pdf
