service_name,type,rest_url
Addressing,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Addressing/MapServer
Aerial_1953,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Aerial_1953/ImageServer
Aerial_1960,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Aerial_1960/ImageServer
Aerial_1967,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Aerial_1967/ImageServer
Aerial_1974_76,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Aerial_1974_76/ImageServer
Aerial_1977,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Aerial_1977/ImageServer
Assessor,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Assessor/MapServer
AssessorLabels,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/AssessorLabels/MapServer
BLM_Ownership1987,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/BLM_Ownership1987/ImageServer
BLM_Ownership_1987,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/BLM_Ownership_1987/MapServer
Basemap_LtGrayCanvas,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Basemap_LtGrayCanvas/MapServer
Basemap_Ownership,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Basemap_Ownership/MapServer
Basemap_Streets,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Basemap_Streets/MapServer
Boundaries,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Boundaries/MapServer
CONNECT_AssessorLabels,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/CONNECT_AssessorLabels/MapServer
CONNECT_Labels,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/CONNECT_Labels/MapServer
CONNECT_Parcels,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/CONNECT_Parcels/MapServer
CONNECT_Streets,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/CONNECT_Streets/MapServer
CommunityDevelopment,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/CommunityDevelopment/MapServer
Contours,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Contours/MapServer
DOQ_1993,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/DOQ_1993/ImageServer
Developed_Parcels,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Developed_Parcels/MapServer
Disclosure,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Disclosure/MapServer
Disclosure_Test,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Disclosure_Test/MapServer
Elections,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Elections/MapServer
Emergency,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Emergency/MapServer
