seat_type,office,jurisdiction,entity_slug,member_full_name,voting_status,term_note,source
city,Mayor,Alpine,,Carla Merrill,voting,,magutah_site 2025-11-13
city,Mayor,American Fork,,Brad Frost,voting,Vice Chair,magutah_site 2025-11-13
city,Mayor,Cedar Fort,,Wyatt Cook,voting,,magutah_site 2025-11-13
city,Mayor,Cedar Hills,,Denise Andersen,voting,,magutah_site 2025-11-13
city,Mayor,Draper,draper,Troy Walker,voting,"draper straddles SL/Utah Co; on the MPO Board for its Utah-Co area",magutah_site 2025-11-13
city,Mayor,Eagle Mountain,,Tom Westmorland,voting,,magutah_site 2025-11-13
city,Mayor,Elk Ridge,,Robert Haddock,voting,,magutah_site 2025-11-13
city,Mayor,Fairfield,,Hollie McKinney,voting,,magutah_site 2025-11-13
city,Mayor,Genola,,Neil Brown,voting,,magutah_site 2025-11-13
city,Mayor,Goshen,,Steven Staheli,voting,,magutah_site 2025-11-13
city,Mayor,Highland,,Kurt Ostler,voting,,magutah_site 2025-11-13
city,Mayor,Lehi,lehi,Mark Johnson,voting,repo entity,magutah_site 2025-11-13
city,Mayor,Lindon,,Carolyn Lundberg,voting,,magutah_site 2025-11-13
city,Mayor,Mapleton,,Dallas Hakes,voting,,magutah_site 2025-11-13
city,Mayor,Orem,orem,David Young,voting,repo entity,magutah_site 2025-11-13
city,Mayor,Payson,,Bill Wright,voting,Chair,magutah_site 2025-11-13
city,Mayor,Pleasant Grove,,Guy Fugal,voting,,magutah_site 2025-11-13
city,Mayor,Provo,provo,Michelle Kaufusi,voting,repo entity,magutah_site 2025-11-13
city,Mayor,Salem,,Kurt Christensen,voting,,magutah_site 2025-11-13
city,Mayor,Santaquin,,Daniel Olson,voting,,magutah_site 2025-11-13
city,Mayor,Saratoga Springs,,Jim Miller,voting,,magutah_site 2025-11-13
city,Councilmember,Spanish Fork,,Stacy Beck,voting,seated as city rep (councilmember),magutah_site 2025-11-13
city,Mayor,Springville,,Matt Packard,voting,,magutah_site 2025-11-13
city,Mayor,Vineyard,vineyard,Julie Fullmer,voting,repo entity,magutah_site 2025-11-13
city,Mayor,Woodland Hills,,Brent Winder,voting,,magutah_site 2025-11-13
county,Commissioner,Utah County,utah_county,Skyler Beltran,voting,repo entity (county),magutah_site 2025-11-13
county,Commissioner,Utah County,utah_county,Brandon Gordon,voting,repo entity (county),magutah_site 2025-11-13
county,Commissioner,Utah County,utah_county,Amelia Powers Gardner,voting,repo entity (county),magutah_site 2025-11-13
legislator,State Representative,Utah Legislature,,David Shallenberger,voting,,magutah_site 2025-11-13
legislator,State Senator,Utah Legislature,,Michael K. McKell,voting,,magutah_site 2025-11-13
agency,Executive Director,Utah Dept. of Transportation,,Carlos Braceras,voting,standing agency member,magutah_site 2025-11-13
agency,Trustee,Utah Transit Authority,,Jeff Acerson,voting,standing agency member,magutah_site 2025-11-13
agency,Director,Utah Division of Air Quality,,Bryce Bird,voting,standing agency member,magutah_site 2025-11-13
city,Mayor,Bluffdale,bluffdale,Natalie Hall,ex-officio-nonvoting,"starred (*) liaison; bluffdale straddles SL/Utah Co",magutah_site 2025-11-13
military,Commander,Camp Williams,,Shawn M. Fuellenbach,ex-officio-nonvoting,starred (*) liaison,magutah_site 2025-11-13
agency,Division Administrator,Federal Highway Administration,,Ivan Marrero,ex-officio-nonvoting,starred (*) federal liaison,magutah_site 2025-11-13
agency,Representative,Federal Transit Administration,,Peter Hadley,ex-officio-nonvoting,starred (*) federal liaison,magutah_site 2025-11-13
committee,MPO TAC Chair,MAG MPO Technical Advisory Committee,,Jered Johnson,ex-officio-nonvoting,starred (*) TAC chair liaison,magutah_site 2025-11-13
