ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,body,n_vote_events,independent_source,minutes_path,note
1 of 2020,2020-01-17,2020-01-17,"uncilmember Johnston seconded to adopt Ordinance 1 of 2020, enacting temporary zoning regulations authorizing overflow homeless shelter u",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-01-13/2020-01-17_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
2 of 2020,2020-03-03,2020-03-03,"ouncilmember Wharton seconded to adopt Ordinance 2 of 2020, which motion carried, all members voted aye . (T 20-2) QUESTIONS TO THE MAYO",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-03-02/2020-03-03_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
3 of 2020,2020-03-24,2020-03-24,to close the public hearing and adopt Ordinance 3 of 2020 amending the Fiscal Year 2019-2020 final budget of Salt Lake City as proposed b,https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-03-23/2020-03-24_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
4 of 2020,2020-03-24,2020-03-24,"Councilmember Rogers seconded to adopt Ordinance 4 of 2020, amending various sections of Title 21A, Salt Lake City Code, pertaining to can",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,yes,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-03-23/2020-03-24_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
5 of 2020,2020-03-24,2020-03-24,"cilmember Valdemoros seconded to adopt Ordinance 5 of 2020, amending 21A.06 and 21A.16 of the Salt Lake City Code pertaining to the appeal",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,yes,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-03-23/2020-03-24_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
6 of 2020,2020-03-24,2020-03-24,"Councilmember Rogers seconded to adopt Ordinance 6 of 2020, which motion carried, all members voted aye. (O 20-3) #2. 7:57:24 PM Adopt",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-03-23/2020-03-24_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
7 of 2020,2020-03-24,2020-03-24,"conded to clarify the motion and adopt Ordinance 7 of 2020, amending the Fiscal Year 2019-2020 final budget of Salt Lake City as proposed",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-03-23/2020-03-24_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
8 of 2020,2020-04-07,2020-04-07,"to close the public hearing and adopt Ordinance 8 of 2020, amending the Fiscal Year 2019-2020 final budget of Salt Lake City including t",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-04-06/2020-04-07_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
9 of 2020,2020-05-05,2020-05-05,"to close the public hearing and adopt Ordinance 9 of 2020, which motion carried, all members voted aye (roll call) . 20 - 4 MINUTES OF",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-05-04/2020-05-05_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
10 of 2020,2020-05-05,2020-05-05,"to close the public hearing and adopt Ordinance 10 of 2020, which motion carried, all members voted aye (roll call) . (P 20-7) #3. 8:12",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-05-04/2020-05-05_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
