name,role,bodies,first_date,last_date,n_motions
Traci Crockett,Council Member,Council|LBA|RDA,2020-02-12,2025-12-10,497
Wendy Aston,Council Member,Council|LBA|RDA,2020-04-08,2026-06-24,478
Mark Hales,Council Member,Council|LBA|RDA,2020-02-12,2023-12-14,380
Dave Kallas,Council Member,Council|LBA|RDA,2020-02-12,2023-12-14,379
Jeff Gaston,Council Member,Council|LBA|RDA,2020-02-12,2023-12-13,365
Steve Austin,Council Member,Council|LBA|RDA,2024-01-10,2026-06-24,125
Greg Wilding,Council Member,Council|LBA|RDA,2024-01-10,2026-06-24,124
Alan Lord,Council Member,Council|LBA|RDA,2024-01-10,2026-06-10,122
Natalie Hall,Mayor,Council|LBA|RDA,2022-01-12,2026-06-10,47
Mackey Smith,Council Member,Council|LBA|RDA,2026-01-14,2026-06-24,14
Derk Timothy,Mayor,RDA,2020-06-10,2021-12-08,7
