city,candidate,election_year,office,seat,raised,spent,n_filings,n_live,basis,review_flag
logan,Amy Z. Anderson,2021,Council,,4210.81,2277.23,1,1,single,
logan,Dee Jones,2021,Mayor,,10761.0,14244.0,2,2,sum-interim,
logan,Holly H. Daines,2021,Mayor,,6900.0,6825.29,1,1,single,
logan,Holly H Daines,2021,Mayor,,3600.0,3220.25,1,1,single,
logan,R Lowell Huber,2021,Mayor,,0.0,0.0,2,2,summary,
logan,Brian Seamons,2025,Council,,12060.81,20818.46,4,4,sum-interim,
logan,Melissa Dahle,2025,Council,,5783.1,5430.47,4,4,sum-interim,"MIXED: latest summary $1,296 vs summed interims $5,430 spent — took the larger; verify per-candidate incremental-vs-cumulative"
logan,Katie Lee-Koven,2025,Council,,2521.91,2490.51,4,4,summary,
logan,Ernesto Lopez,2025,Council,,1549.26,1549.26,4,4,summary,
logan,Gail B. Yost,2025,Council,,78.65,78.65,2,2,sum-interim,
logan,Joshua Michael Molitor,2025,Council,,550.0,0.0,2,2,sum-interim,
logan,Kristi Fatuesi,2025,Council,,0.0,0.0,2,2,summary,
logan,Reilly Samuel Fatuesi,2025,Council,,0.0,0.0,2,2,summary,
logan,Alanna Nafziger,2025,Mayor,,26895.35,10482.69,4,4,sum-interim,"MIXED: latest summary $1,056 vs summed interims $10,483 spent — took the larger; verify per-candidate incremental-vs-cumulative"
logan,Mark A. Anderson,2025,Mayor,,7350.0,8317.99,4,4,sum-interim,
logan,Lewis Roesberry,2025,Mayor,,904.5,904.5,2,2,sum-interim,
logan,Jerritt T. Bodrero,2025,Mayor,,0.0,0.0,2,2,summary,
logan,Matthew Paul Fatuesi,2025,Mayor,,0.0,0.0,2,2,summary,
