date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,amended,matched_election_candidate,join_confidence
2021-08-03,Dee Jones,Mayor,2021,interim,Before Primary (Aug 3),Dee Jones — 2021 Logan municipal campaign financial statement (Before Primary (Aug 3)),https://www.loganutah.org/departments/admin/council/Dee%20Jones%20-%202021August3.pdf,2026-07-05,scanned,ocr_tesseract,raw/2021/20210803_Dee_Jones_-_2021August3.pdf,no,Dee Jones,exact
2021-08-03,Holly H Daines,Mayor,2021,interim,Before Primary (Aug 3),Holly H Daines — 2021 Logan municipal campaign financial statement (Before Primary (Aug 3)),https://www.loganutah.org/departments/admin/council/Holly%20H%20Daines%20-%202021August3.pdf,2026-07-05,scanned,ocr_tesseract,raw/2021/20210803_Holly_H_Daines_-_2021August3.pdf,no,Holly H. Daines,exact
2021-08-03,R Lowell Huber,Mayor,2021,interim,Before Primary (Aug 3),R Lowell Huber — 2021 Logan municipal campaign financial statement (Before Primary (Aug 3)),https://www.loganutah.org/departments/admin/council/R%20Lowell%20Huber%20-%202021August3.pdf,2026-07-05,scanned,ocr_tesseract,raw/2021/20210803_R_Lowell_Huber_-_2021August3.pdf,no,R. Lowell Huber,exact
2021-09-09,R Lowell Huber,Mayor,2021,summary,Post-Primary / Eliminated (Sep 9),R Lowell Huber — 2021 Logan municipal campaign financial statement (Post-Primary / Eliminated (Sep 9)),https://www.loganutah.org/departments/admin/council/R%20Lowell%20Huber%20-%202021September9.pdf,2026-07-05,scanned,ocr_tesseract,raw/2021/20210909_R_Lowell_Huber_-_2021September9.pdf,no,R. Lowell Huber,exact
2021-10-26,Amy Z. Anderson,Council,2021,interim,Before General (Oct 26),Amy Z. Anderson — 2021 Logan municipal campaign financial statement (Before General (Oct 26)),https://www.loganutah.org/departments/admin/council/Amy%20Z.%20Anderson%20-%202021October26.pdf,2026-07-05,scanned,ocr_tesseract,raw/2021/20211026_Amy_Z._Anderson_-_2021October26.pdf,no,Amy Z. Anderson,exact
2021-10-26,Dee Jones,Mayor,2021,interim,Before General (Oct 26),Dee Jones — 2021 Logan municipal campaign financial statement (Before General (Oct 26)),https://www.loganutah.org/departments/admin/council/Dee%20Jones%20-2021October26.pdf,2026-07-05,scanned,ocr_tesseract,raw/2021/20211026_Dee_Jones_-2021October26.pdf,no,Dee Jones,exact
2021-10-26,Holly H. Daines,Mayor,2021,interim,Before General (Oct 26),Holly H. Daines — 2021 Logan municipal campaign financial statement (Before General (Oct 26)),https://www.loganutah.org/departments/admin/council/Holly%20H.%20Daines%20-2021October26.pdf,2026-07-05,scanned,ocr_tesseract,raw/2021/20211026_Holly_H._Daines_-2021October26.pdf,no,Holly H. Daines,exact
2025-08-04,Joshua Michael Molitor,Council,2025,interim,Before Primary (Aug 5),Joshua Michael Molitor — 2025 Logan municipal campaign financial statement (Before Primary (Aug 5)),https://www.loganutah.gov/departments/admin/council/Joshua%20Michael%20Molitor.pdf?t=20250804182540227,2026-07-05,scanned,ocr_tesseract,raw/2025/20250804_Joshua_Michael_Molitor.pdf,no,JOSHUA MICHAEL MOLITOR,exact
2025-08-05,Alanna Nafziger,Mayor,2025,interim,Before Primary (Aug 5),Alanna Nafziger — 2025 Logan municipal campaign financial statement (Before Primary (Aug 5)),https://www.loganutah.gov/departments/admin/council/Alanna%20Nafziger%20August%205%2C%202025.pdf?t=20250804182353917,2026-07-05,scanned,ocr_tesseract,raw/2025/20250805_Alanna_Nafziger_August_5__2025.pdf,no,ALANNA NAFZIGER,exact
2025-08-05,Brian Seamons,Council,2025,interim,Before Primary (Aug 5),Brian Seamons — 2025 Logan municipal campaign financial statement (Before Primary (Aug 5)),https://www.loganutah.gov/departments/admin/council/Brian%20Seamons%20August%205%2C%202025.pdf?t=20250805152420719,2026-07-05,scanned,ocr_tesseract,raw/2025/20250805_Brian_Seamons_August_5__2025.pdf,no,BRIAN SEAMONS,exact
2025-08-05,Ernesto Lopez,Council,2025,interim,Before Primary (Aug 5),Ernesto Lopez — 2025 Logan municipal campaign financial statement (Before Primary (Aug 5)),https://www.loganutah.gov/departments/admin/council/Ernesto%20Lopez%20August%205%2C%202025.pdf?t=20250804182612685,2026-07-05,scanned,ocr_tesseract,raw/2025/20250805_Ernesto_Lopez_August_5__2025.pdf,no,ERNESTO LOPEZ,exact
2025-08-05,Gail B. Yost,Council,2025,interim,Before Primary (Aug 5),Gail B. Yost — 2025 Logan municipal campaign financial statement (Before Primary (Aug 5)),https://www.loganutah.gov/departments/admin/council/Gail%20B.%20Yost%20August%205%2C%202025.pdf?t=20250805211607077,2026-07-05,scanned,ocr_tesseract,raw/2025/20250805_Gail_B._Yost_August_5__2025.pdf,no,GAIL B. YOST,exact
