candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
Dee Jones,Mayor,2021,2021-08-03,,interim,2016.00,5499.00,,,5499.00,5499.00,False,True,3483.00,0.00,4491.00,7,2,raw/2021/20210803_Dee_Jones_-_2021August3.pdf,64093127,low,vision-transcribed(claude-sonnet-5); ≤$500 aggregate stated $1008.00; contrib!=stated,
Holly H Daines,Mayor,2021,2021-08-03,,interim,3600.00,3220.25,,,3600.00,3220.25,True,True,0.00,0.00,3600.00,4,13,raw/2021/20210803_Holly_H_Daines_-_2021August3.pdf,9919cb72,medium,vision-transcribed(claude-sonnet-5),
R Lowell Huber,Mayor,2021,2021-08-03,,interim,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2021/20210803_R_Lowell_Huber_-_2021August3.pdf,83c81429,medium,vision-transcribed(claude-sonnet-5),
R Lowell Huber,Mayor,2021,2021-09-09,,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2021/20210909_R_Lowell_Huber_-_2021September9.pdf,58fa9f45,medium,vision-transcribed(claude-sonnet-5),
Amy Z. Anderson,Council,2021,2021-10-26,,interim,4210.81,2277.23,,,4210.81,2277.23,True,True,0.00,0.00,125.00,19,10,raw/2021/20211026_Amy_Z._Anderson_-_2021October26.pdf,197a45a4,medium,vision-transcribed(claude-sonnet-5),
Dee Jones,Mayor,2021,2021-10-26,,interim,8745.00,8745.00,,,8745.00,8745.00,True,True,0.00,0.00,4045.00,3,4,raw/2021/20211026_Dee_Jones_-2021October26.pdf,4f26d009,medium,vision-transcribed(claude-sonnet-5),
Holly H. Daines,Mayor,2021,2021-10-26,,interim,6900.00,6825.29,,,6900.00,6825.29,True,True,0.00,0.00,6900.00,1,5,raw/2021/20211026_Holly_H._Daines_-2021October26.pdf,7b9920a1,medium,vision-transcribed(claude-sonnet-5),
Joshua Michael Molitor,Council,2025,2025-08-04,,interim,550.00,0.00,,,550.00,0.00,True,True,0.00,0.00,0.00,1,0,raw/2025/20250804_Joshua_Michael_Molitor.pdf,ffcba54f,medium,vision-transcribed(claude-sonnet-5),
Alanna Nafziger,Mayor,2025,2025-08-05,,interim,7530.00,4729.46,,,7610.00,4729.46,False,True,80.00,0.00,20.00,45,11,raw/2025/20250805_Alanna_Nafziger_August_5__2025.pdf,cbc9e4fc,low,vision-transcribed(claude-sonnet-5); contrib!=stated,
Brian Seamons,Council,2025,2025-08-05,,interim,11210.81,11210.81,,,11210.81,11210.81,True,True,0.00,0.00,11210.81,1,1,raw/2025/20250805_Brian_Seamons_August_5__2025.pdf,0263593b,medium,vision-transcribed(claude-sonnet-5),
Ernesto Lopez,Council,2025,2025-08-05,,interim,947.77,0.00,,,965.00,0.00,False,True,17.23,0.00,0.00,9,0,raw/2025/20250805_Ernesto_Lopez_August_5__2025.pdf,021d0d96,low,vision-transcribed(claude-sonnet-5); contrib!=stated,
Gail B. Yost,Council,2025,2025-08-05,,interim,78.65,78.65,,,,,,,,,0.00,0,0,raw/2025/20250805_Gail_B._Yost_August_5__2025.pdf,96eeed88,low,vision-transcribed(claude-sonnet-5); ≤$500 aggregate stated $78.65; totals-only(no itemization); totals-only(no itemization),
Jerritt T. Bodrero,Mayor,2025,2025-08-05,,interim,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2025/20250805_Jerritt_T._Bodrero_August_5__2025.pdf,30ac7cf4,medium,vision-transcribed(claude-sonnet-5),
Katie Lee-Koven,Council,2025,2025-08-05,,interim,1020.00,809.53,,,1020.00,809.53,True,True,0.00,0.00,50.00,14,4,raw/2025/20250805_Katie_Lee_Koven_August_5__2025.pdf,d2e2d513,medium,vision-transcribed(claude-sonnet-5),
Kristi Fatuesi,Council,2025,2025-08-05,,interim,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2025/20250805_Kristi_Fatuesi_August_5__2025.pdf,fe2d3169,medium,vision-transcribed(claude-sonnet-5),
Lewis Roesberry,Mayor,2025,2025-08-05,,interim,904.50,904.50,,,904.50,904.50,True,True,0.00,0.00,79.50,6,5,raw/2025/20250805_Lewis_Roesberry_August_5__2025.pdf,df325ee9,medium,vision-transcribed(claude-sonnet-5),
Mark A. Anderson,Mayor,2025,2025-08-05,,interim,5350.00,4483.99,,,5350.00,4483.99,True,True,0.00,0.00,0.00,13,7,raw/2025/20250805_Mark_A._Anderson_August_5__2025.pdf,a149b51b,medium,vision-transcribed(claude-sonnet-5),
Matthew Paul Fatuesi,Mayor,2025,2025-08-05,,interim,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2025/20250805_Matthew_Paul_Fatuesi_August_5__2025.pdf,2de67c65,medium,vision-transcribed(claude-sonnet-5),
Melissa Dahle,Council,2025,2025-08-05,,interim,3233.00,2195.19,,,3233.00,2195.19,True,True,0.00,0.00,0.00,7,3,raw/2025/20250805_Melissa_Dahle_August_5__2025.pdf,af172930,medium,vision-transcribed(claude-sonnet-5),
Reilly Samuel Fatuesi,Council,2025,2025-08-05,,interim,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2025/20250805_Reilly_Samuel_Fatuesi_August_5__2025.pdf,eb594a96,medium,vision-transcribed(claude-sonnet-5),
Gail B. Yost,Council,2025,2025-09-11,,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2025/20250911_Gail_B._Yost_September_11__2025.pdf,215d8933,medium,vision-transcribed(claude-sonnet-5),
Jerritt T. Bodrero,Mayor,2025,2025-09-11,,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2025/20250911_Jerritt_Bodrero_September_11__2025.pdf,eb2270d0,medium,vision-transcribed(claude-sonnet-5),
Joshua Michael Molitor,Council,2025,2025-09-11,,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2025/20250911_Joshua_Michael_Molitor_September_11__2025.pdf,1c7f8489,medium,vision-transcribed(claude-sonnet-5),
Kristi Fatuesi,Council,2025,2025-09-11,,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2025/20250911_Kristi_Fatuesi_September_11__2025.pdf,f63429ea,medium,vision-transcribed(claude-sonnet-5),
Lewis Roesberry,Mayor,2025,2025-09-11,,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2025/20250911_Lewis_Roesberry_September_11__2025.pdf,7cc505a7,medium,vision-transcribed(claude-sonnet-5),
Matthew Paul Fatuesi,Mayor,2025,2025-09-11,,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2025/20250911_Matthew_Paul_Fatuesi_September_11__2025.pdf,a1692587,medium,vision-transcribed(claude-sonnet-5),
Reilly Samuel Fatuesi,Council,2025,2025-09-11,,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2025/20250911_Reilly_Samuel_Fatuesi_September_11__2025.pdf,f3d12579,medium,vision-transcribed(claude-sonnet-5),
Alanna Nafziger,Mayor,2025,2025-10-07,,interim,12483.05,8657.91,,,12483.05,8657.91,True,True,0.00,0.00,0.00,37,19,raw/2025/20251007_Alanna_Nafziger_October_7__2025.pdf,34829b87,medium,vision-transcribed(claude-sonnet-5),
Brian Seamons,Council,2025,2025-10-07,,interim,550.00,0.00,,,550.00,0.00,True,True,0.00,0.00,0.00,2,0,raw/2025/20251007_Brian_Seamons_October_7__2025.pdf,aaec58dd,medium,vision-transcribed(claude-sonnet-5); ≤$500 aggregate stated $550.00,
Ernesto Lopez,Council,2025,2025-10-07,,interim,1065.29,657.78,,,1085.00,657.78,False,True,19.71,0.00,0.00,11,3,raw/2025/20251007_Ernesto_Lopez_October_7__2025.pdf,675d43fd,low,vision-transcribed(claude-sonnet-5); ≤$500 aggregate stated $1065.29; contrib!=stated,
Katie Lee-Koven,Council,2025,2025-10-07,,interim,1220.00,931.51,,,1220.00,931.51,True,True,0.00,0.00,50.00,15,9,raw/2025/20251007_Katie_Lee-Koven_October_7__2025.pdf,0027dec9,medium,vision-transcribed(claude-sonnet-5),
Mark A. Anderson,Mayor,2025,2025-10-07,,interim,750.00,1134.00,,,750.00,1134.00,True,True,0.00,0.00,0.00,4,1,raw/2025/20251007_Mark_A._Anderson_October_7__2025.pdf,fdd688a2,medium,vision-transcribed(claude-sonnet-5),
Melissa Dahle,Council,2025,2025-10-07,,interim,800.10,1570.47,,,800.10,1570.47,True,True,0.00,0.00,600.00,6,2,raw/2025/20251007_Melissa_Dahle_October_7__2025.pdf,ec2a2a21,medium,vision-transcribed(claude-sonnet-5),
Alanna Nafziger,Mayor,2025,2025-10-28,,interim,6882.30,10482.69,,,6882.30,10482.69,True,True,0.00,0.00,0.00,19,15,raw/2025/20251028_Alanna_Nafziger_October_28__2025.pdf,15486b77,medium,vision-transcribed(claude-sonnet-5),
Brian Seamons,Council,2025,2025-10-28,,interim,300.00,9607.65,,,,9607.65,,True,,0.00,0.00,0,1,raw/2025/20251028_Brian_Seamons_October_28__2025.pdf,67777665,low,vision-transcribed(claude-sonnet-5); ≤$500 aggregate stated $300.00; totals-only(no itemization),
