date,body,title,source_url,bytes,reason
2020-01-09,PlanningCommission,Staff_Report_-_PC.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1354&ItemID=1411,>4010000,stream_exceeded_4MB_cap
2020-01-23,PlanningCommission,Nielsen_s_DA_PC_Staff_Report_1-23-20.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1385&ItemID=1468,>4010000,stream_exceeded_4MB_cap
2020-02-13,PlanningCommission,Nielsen_s_DA_PC_Staff_Report_1-23-20.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1397&ItemID=1521,>4010000,stream_exceeded_4MB_cap
2020-02-18,Council,Nielsen_s_DA_PC_Staff_Report_1-23-20.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1417&ItemID=1542,>4010000,stream_exceeded_4MB_cap
2020-02-27,PlanningCommission,Geneva_II_Staff_Report_-PC_2-27-20.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1436&ItemID=1574,>4010000,stream_exceeded_4MB_cap
2020-03-10,Council,Nielsen_s_DA_PC_Staff_Report_1-23-20.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1444&ItemID=1596,>4010000,stream_exceeded_4MB_cap
2020-03-10,Council,DA_Ord_1422.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1463&ItemID=1596,>4010000,stream_exceeded_4MB_cap
2020-03-10,Council,Alpine_cleaning_and_Restoration_Specialists_Proposal_for_Emergency_Cleanup_Services_Pt._1.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1452&ItemID=1603,>4010000,stream_exceeded_4MB_cap
2020-03-10,Council,Alpine_cleaning_and_Restoration_Specialists_Proposal_for_Emergency_Cleanup_Services_Pt._2.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1453&ItemID=1603,>4010000,stream_exceeded_4MB_cap
2020-03-10,Council,SERVPRO_Proposal_for_Emergency_Cleanup_Services.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1456&ItemID=1603,>4010000,stream_exceeded_4MB_cap
2020-03-10,Council,UDK_Proposal_for_Emergency_Cleanup_Services_Pt_1.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1458&ItemID=1603,>4010000,stream_exceeded_4MB_cap
2020-03-10,Council,UDK_Proposal_for_Emergency_Cleanup_Services_Pt._2.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1459&ItemID=1603,>4010000,stream_exceeded_4MB_cap
2020-03-19,Council,R_14-54.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1488&ItemID=1637,>4010000,stream_exceeded_4MB_cap
2020-04-02,PlanningCommission,EPG_Pony_Express_-_Staff_Report.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1492&ItemID=1591,>4010000,stream_exceeded_4MB_cap
2020-04-02,PlanningCommission,Big_Willow_2nd_DA_Staff_Report_-PC.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1494&ItemID=1598,>4010000,stream_exceeded_4MB_cap
2020-04-07,Council,EPG_Pony_Express_-_Staff_Report_updated.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1512&ItemID=1607,>4010000,stream_exceeded_4MB_cap
2020-04-09,PlanningCommission,Windsor_Mill_TH_Off_Staff_Report_2018.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1518&ItemID=1714,>4010000,stream_exceeded_4MB_cap
2020-04-21,Council,Big_Willow_2nd_DA_Staff_Report_-PC.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1530&ItemID=1736,>4010000,stream_exceeded_4MB_cap
2020-04-21,Council,Development_Agreement_Signed_.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1538&ItemID=1739,>4010000,stream_exceeded_4MB_cap
2020-04-23,PlanningCommission,Harmony_Hills_Amended_Staff_Report_-PC_4-23-20.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1550&ItemID=1745,>4010000,stream_exceeded_4MB_cap
2020-05-05,Council,Big_Willow_2nd_DA_Staff_Report_-PC.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1566&ItemID=1763,>4010000,stream_exceeded_4MB_cap
2020-05-14,PlanningCommission,The_Annex_Site_Plan_at_PC_5-23-19.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1587&ItemID=1787,>4010000,stream_exceeded_4MB_cap
2020-05-19,Council,Council_Packet_-_Adopting_FY2021_Tentative_Budget.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1607&ItemID=1786,>4010000,stream_exceeded_4MB_cap
2020-05-28,PlanningCommission,Village_Shoppes_at_Day_Dairy_SP_Staff_Report_with_Exhibits.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1624&ItemID=1820,>4010000,stream_exceeded_4MB_cap
2020-05-28,PlanningCommission,Staff_Report_PC_-_Fairfield_Inn__Suites_-_SPR-959-2020.pdf,https://draper.novusagenda.com/Agendapublic/AttachmentViewer.ashx?AttachmentID=1630&ItemID=1823,>4010000,stream_exceeded_4MB_cap
