candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review
Bradley Marlor,Council,District 2,2019,2019-12-01,,2018-04-20,Go Daddy,Go Daddy,Domain Site,30.34,False,False,raw/wayback/201910_Marlor-Bradley_PreGen-PostGen.pdf,201910_Marlor-Bradley_PreGen-PostGen,v1,medium,southjordan_form/vision,0
Bradley Marlor,Council,District 2,2019,2019-12-01,,2019-06-21,Go Daddy,Go Daddy,Web Site Marketing,51.35,False,False,raw/wayback/201910_Marlor-Bradley_PreGen-PostGen.pdf,201910_Marlor-Bradley_PreGen-PostGen,v2,medium,southjordan_form/vision,0
Bradley Marlor,Council,District 2,2019,2019-12-01,,2019-05-24,Office Max,Office Max,Marketing Supplies,19.29,False,False,raw/wayback/201910_Marlor-Bradley_PreGen-PostGen.pdf,201910_Marlor-Bradley_PreGen-PostGen,v3,medium,southjordan_form/vision,0
Bradley Marlor,Council,District 2,2019,2019-12-01,,2019-05-31,Renee's Custom Embroidery,Renee's Custom Embroidery,T-Shirts,219.47,False,False,raw/wayback/201910_Marlor-Bradley_PreGen-PostGen.pdf,201910_Marlor-Bradley_PreGen-PostGen,v4,medium,southjordan_form/vision,0
Bradley Marlor,Council,District 2,2019,2019-12-01,,2019-07-17,Majority 51,Majority 51,"Signs, Doorhangers",2023.72,False,False,raw/wayback/201910_Marlor-Bradley_PreGen-PostGen.pdf,201910_Marlor-Bradley_PreGen-PostGen,v5,medium,southjordan_form/vision,0
Bradley Marlor,Council,District 2,2019,2019-12-01,,2019-08-14,City Journals,City Journals,Newspaper Marketing,600.00,False,False,raw/wayback/201910_Marlor-Bradley_PreGen-PostGen.pdf,201910_Marlor-Bradley_PreGen-PostGen,v6,medium,southjordan_form/vision,0
Bradley Marlor,Council,District 2,2019,2019-12-01,,2019-08-23,City Journals,City Journals,Newspaper Marketing,600.00,False,False,raw/wayback/201910_Marlor-Bradley_PreGen-PostGen.pdf,201910_Marlor-Bradley_PreGen-PostGen,v7,medium,southjordan_form/vision,0
Bradley Marlor,Council,District 2,2019,2019-12-01,,2019-09-11,Josh Strand / Strand Marketing,Josh Strand / Strand Marketing,Door to Door Marketing,550.00,False,False,raw/wayback/201910_Marlor-Bradley_PreGen-PostGen.pdf,201910_Marlor-Bradley_PreGen-PostGen,v8,medium,southjordan_form/vision,0
Bradley Marlor,Council,District 2,2019,2019-12-01,,2019-09-20,City Journals,City Journals,Newspaper Marketing,600.00,False,False,raw/wayback/201910_Marlor-Bradley_PreGen-PostGen.pdf,201910_Marlor-Bradley_PreGen-PostGen,v9,medium,southjordan_form/vision,0
Bradley Marlor,Council,District 2,2019,2019-12-01,,2019-10-01,Majority 51,Majority 51,Doorhangers,269.00,False,False,raw/wayback/201910_Marlor-Bradley_PreGen-PostGen.pdf,201910_Marlor-Bradley_PreGen-PostGen,v10,medium,southjordan_form/vision,0
Bradley Marlor,Council,District 2,2019,2019-12-01,,2019-11-18,City Journals,City Journals,Newspaper Marketing,300.00,False,False,raw/wayback/201910_Marlor-Bradley_PreGen-PostGen.pdf,201910_Marlor-Bradley_PreGen-PostGen,v11,medium,southjordan_form/vision,0
Brady Quinn,Council,District 2,2019,2019-12-01,,2019-01-30,Namecheap,Namecheap,Website Domain Name,9.06,False,False,raw/wayback/201910_Quinn-Brady_PreGen-PostGen.pdf,201910_Quinn-Brady_PreGen-PostGen,v1,medium,southjordan_form/vision,0
Brady Quinn,Council,District 2,2019,2019-12-01,,2019-05-07,LogoTournament.com,LogoTournament.com,Branding,277.20,False,False,raw/wayback/201910_Quinn-Brady_PreGen-PostGen.pdf,201910_Quinn-Brady_PreGen-PostGen,v2,medium,southjordan_form/vision,0
Brady Quinn,Council,District 2,2019,2019-12-01,,2019-06-05,Wix.com,Wix.com,Website Provider,102.00,False,False,raw/wayback/201910_Quinn-Brady_PreGen-PostGen.pdf,201910_Quinn-Brady_PreGen-PostGen,v3,medium,southjordan_form/vision,0
Brady Quinn,Council,District 2,2019,2019-12-01,,2019-08-16,SignsOnTheCheap.com,SignsOnTheCheap.com,Signs,491.48,False,False,raw/wayback/201910_Quinn-Brady_PreGen-PostGen.pdf,201910_Quinn-Brady_PreGen-PostGen,v4,medium,southjordan_form/vision,0
Brady Quinn,Council,District 2,2019,2019-12-01,,2019-08-18,"My Creative Shop, Inc","My Creative Shop, Inc",Graphic Design,9.95,False,False,raw/wayback/201910_Quinn-Brady_PreGen-PostGen.pdf,201910_Quinn-Brady_PreGen-PostGen,v5,medium,southjordan_form/vision,0
