city,candidate,election_year,office,seat,raised,spent,n_filings,n_live,basis,review_flag
south_jordan,Patrick Harris,2019,Council,1,0.0,0.0,1,1,summary,
south_jordan,Bradley Marlor,2019,Council,2,5839.69,5263.17,1,1,summary,
south_jordan,Brady Quinn,2019,Council,2,3030.96,3030.96,1,1,summary,
south_jordan,Tamara Zander,2019,Council,4,13499.0,13499.0,1,1,summary,
south_jordan,Don Shelton,2021,Council,3,0.0,35.75,2,1,summary,
south_jordan,Jason McGuire,2021,Council,5,1725.0,800.0,2,1,summary,
south_jordan,Stone Fonua,2021,Mayor,,0.0,2187.16,2,1,summary,
south_jordan,Dawn R. Ramsey,2021,Mayor,,1150.0,1827.47,2,1,summary,
south_jordan,Patrick Harris,2023,Council,1,500.0,500.0,3,1,summary,
south_jordan,Kathie L. Johnson,2023,Council,2,1550.0,1796.83,3,1,summary,
south_jordan,Laurel Bevans,2023,Council,2,75.0,748.35,3,1,summary,
south_jordan,Tamara Zander,2023,Council,4,0.0,0.0,3,1,summary,
south_jordan,Don Shelton,2025,Council,3,0.0,2300.13,3,1,summary,
south_jordan,Rachel Lewis,2025,Council,3,1253.0,1253.75,3,1,summary,
south_jordan,Jason Timothy McGuire,2025,Council,5,9019.37,7077.44,3,1,summary,
south_jordan,Stacy Hughes,2025,Council,5,60.0,349.28,4,1,single,
south_jordan,Dawn R. Ramsey,2025,Mayor,,5000.0,7859.05,3,1,summary,
south_jordan,Noah Barrett,2025,Mayor,,340.0,227.18,3,1,summary,
