candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
Patrick Harris,Council,2019,2019-12-01,,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/wayback/201910_Harris-Patrick_PreGen-PostGen.pdf,201910_Harris-Patrick_PreGen-PostGen,medium,vision-transcribed(claude-code/read); YTD contributions (Column B) stated $0.00; YTD expenditures (Column B) stated $0.00,
Bradley Marlor,Council,2019,2019-12-01,,summary,5839.69,5263.17,,,5839.69,5263.17,True,True,0.00,0.00,1100.00,8,11,raw/wayback/201910_Marlor-Bradley_PreGen-PostGen.pdf,201910_Marlor-Bradley_PreGen-PostGen,medium,"vision-transcribed(claude-code/read); YTD contributions (Column B) stated $5,839.69; YTD expenditures (Column B) stated $5,263.17; contributions itemization reconciles to Column B Year-to-Date $5,839.69 (cumulative snapshot; is_incremental=False); expenditures itemization reconciles to Column B Year-to-Date $5,263.17 (cumulative snapshot; is_incremental=False)",
Brady Quinn,Council,2019,2019-12-01,,summary,3030.96,3030.96,,,3030.96,3030.96,True,True,0.00,0.00,230.96,12,14,raw/wayback/201910_Quinn-Brady_PreGen-PostGen.pdf,201910_Quinn-Brady_PreGen-PostGen,medium,"vision-transcribed(claude-code/read); YTD contributions (Column B) stated $3,030.96; YTD expenditures (Column B) stated $3,030.96; expenditures itemization reconciles to Column B Year-to-Date $3,030.96 (cumulative snapshot; is_incremental=False)",
Tamara Zander,Council,2019,2019-12-01,,summary,13499.00,13499.00,,,13499.00,13499.00,True,True,0.00,0.00,8999.00,5,15,raw/wayback/201910_Zander-Tamara_PreGen-PostGen.pdf,201910_Zander-Tamara_PreGen-PostGen,medium,"vision-transcribed(claude-code/read); YTD contributions (Column B) stated $13,499.00; YTD expenditures (Column B) stated $13,499.00",
Dawn R. Ramsey,Mayor,2021,2021-12-01,,summary,1150.00,1827.47,,,1150.00,1827.47,True,True,0.00,0.00,0.00,1,5,raw/city/2021_Ramsey-Dawn_PostGen_361.pdf,361,medium,"vision-transcribed(claude-code/read); YTD contributions (Column B) stated $38,811.19; YTD expenditures (Column B) stated $3,647.48",
Dawn R. Ramsey,Mayor,2021,2021-10-15,,interim,37661.19,1820.01,,,37661.19,1820.01,True,True,0.00,0.00,0.00,40,10,raw/city/2021_Ramsey-Dawn_PreGen_359.pdf,359,medium,"vision-transcribed(claude-code/read); YTD contributions (Column B) stated $37,661.19; YTD expenditures (Column B) stated $1,820.01; superseded by amendment/re-file (same reporting period)",
Stone Fonua,Mayor,2021,2021-12-01,,summary,0.00,2187.16,,,0.00,2187.16,True,True,0.00,0.00,0.00,0,6,raw/city/2021_Fonua-Stone_PostGen_364.pdf,364,medium,"vision-transcribed(claude-code/read); YTD contributions (Column B) stated $0.00; YTD expenditures (Column B) stated $2,187.16",
Stone Fonua,Mayor,2021,2021-10-15,,interim,0.00,2187.16,,,0.00,2187.16,True,True,0.00,0.00,0.00,0,5,raw/city/2021_Fonua-Stone_PreGen_357.pdf,357,medium,"vision-transcribed(claude-code/read); YTD contributions (Column B) stated $0.00; YTD expenditures (Column B) stated $2,187.16; superseded by amendment/re-file (same reporting period)",
Don Shelton,Council,2021,2021-12-01,,summary,0.00,35.75,,,0.00,35.75,True,True,0.00,0.00,0.00,0,1,raw/city/2021_Shelton-Don_PostGen_362.pdf,362,medium,"vision-transcribed(claude-code/read); YTD contributions (Column B) stated $7,521.01; YTD expenditures (Column B) stated $4,779.76",
Don Shelton,Council,2021,2021-10-15,,interim,7521.01,4744.01,,,7521.01,4744.01,True,True,0.00,0.00,5000.00,7,8,raw/city/2021_Shelton-Don_PreGen_360.pdf,360,medium,"vision-transcribed(claude-code/read); YTD contributions (Column B) stated $7,521.01; YTD expenditures (Column B) stated $4,744.01; superseded by amendment/re-file (same reporting period)",
