date,body,dev_type,title,matter,location,outcome,names_recorded,motion_id,minutes_path
2020-01-07,County Council,rezone,"Formal Adoption of an Ordinance Approving the Rezone of Property Located at 8700 South 700 West.  Re-zone from A-2 (Agricultural) to M-2 (Manufacturing).  The Rezone is for a 7.01 Acre-Southern Portion of the 25.51 Acre Parcel   The Public Hearing was held on January 7,2020 - File No. 19-1478",,8700 South 700 West,Pass,0,1,
2020-01-07,County Council,other_land_use,"An Ordinance Amending Chapter 3.26.020, Entitled “Apprenticeship Utilization” of the Salt Lake County Code of Ordinances, 2001, Clarifying the Definitions, Making Similar Clarifying Changes in the Ordinance, and Adding a Section Regarding Third Parties",,,Pass,0,3,
2020-01-14,County Council,planned_development,"Public Hearing to receive public comments regarding the Olympia Hills Planned Development Community, including: 1) amendment of the Southwest Community General Plan; 2) amendment of the Salt Lake County zoning ordinance to rezone property located at approximately 6300-8500 W. and 12400-13100 S. from",,approximately 6300-8500 W,Pass,0,37,
2020-01-14,County Council,rezone,"Formal Adoption of an Ordinance Approving the Rezone of Property Located at 8700 South 700 West.  Re-zone from A-2 (Agricultural) to M-2 (Manufacturing).  The Rezone is for a 7.01 Acre-Southern Portion of the 25.51 Acre Parcel   The Public Hearing was held on January 7,2020 - File No. 19-1478",,8700 South 700 West,Pass,0,41,
2020-01-15,Planning Commission,conditional_use,"To approve application #31056 with the following amended staff recommendations: 1. The Conditional Use Permit for the Concrete Mixing Plant will expire one year from this approval of February 24, 2020. Business must cease and clean up on the property should return to the original state. An extension",,,Pass,0,4229,
2020-01-28,County Council,planned_development,"Notice of Public Hearing at 6:00 PM in the Auditorium of the Copper Mountain Middle School Located at 12106 South Anthem Park Blvd. (5600 W) in Herriman, Utah  to receive public comment regarding the Olympia Hills Planned Development Community, including: 1) amendment of the Southwest Community Gene",,12106 South Anthem Park Blvd,Pass,0,18,
2020-01-28,County Council,other_land_use,"An Ordinance Amending Section 3.070.060 of the Salt Lake County Code of Ordinances, 2001, Entitled “Determination of Operating Expenses”",,,Pass,0,22,
2020-01-28,County Council,planned_development,"Public Hearing to Receive Public Comments Regarding the Olympia Hills Planned Development Community, including: 1) Amendment of the Southwest Community General Plan; 2) Amendment of the Salt Lake County Zoning Ordinance to Rezone Property Located at Approximately 6300-8500 W. and 12400-13100 S. From",,Approximately 6300-8500 W,Pass,0,110,
2020-02-25,County Council,other_land_use,"Final Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Chapter Section 2.97.050 of the Salt Lake County Code of Ordinances, 2001, Entitled “Debt Review Committee” Redefining Principal Amount Outstanding to Include Unamortized Premium",,,Pass,0,75,
2020-02-25,Committee of the Whole,other_land_use,- HB 202 Local Government Nuisance Ordinance Reform,,,Pass,0,3839,
2020-03-03,County Council,planned_development,"Three Ordinances of the Legislative Body of Salt Lake County, Utah Concerning Olympia Hills Development: 1) Amendment of the Southwest Community General Plan; 2) Amendment of the Salt Lake County Zoning Map to Rezone Property Located at Approximately 6300-8500 W. and 12400-13100 S. From A-2 (Agricul",,Approximately 6300-8500 W,Fail,1,117,
2020-03-05,Mountainous Planning District Planning Commission,general_plan_amendment,To recommend approval of the Wasatch Canyons General Plan to the County Council for approval as written with the redline changes contained and oral changes.,,,Pass,0,4238,
2020-04-28,County Council,general_plan_amendment,"Notice of Public Hearing for Tuesday, May 19, 2020 at 4:00 PM for Approval of the Wasatch Canyons General Plan",,,Pass,1,184,
