candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes
Steve Martin,County Assessor,2014,2014-12-04,Post-Election,statement,0,1178.28,,0,,,,,,,,0,0,raw/2014/1267_martin_final.pdf,1267,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten cover, legible despite the 'low' OCR sidecar; zeros written as a bare hand-drawn '0'. Unlike the filer's Pre-Election sheet (doc 1065) the balance row here is NOT struck through."
Steve Martin,County Assessor,2014,2014-10-24,Pre-Election,statement,0,1178.28,,0,,,,,,,,0,0,raw/2014/1065_martin.pdf,1065,medium,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[previous (current and cumulative cells illegible/illegible)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Campaign balance: the Current and Cumulative cells are written then struck through/scribbled over by the filer — value not readable, left null (Last Report cell reads 0). Contribution cells are a handwritten '0' (no dollar sign, no cents)."
David R. Brickey,County Attorney,2014,2014-12-04,Post-Election,statement,16800.00,15540.12,,1259.88,,,,,,,,0,0,raw/2014/1264_brickey_final.pdf,1264,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten cover, legible; cents written as superscripts. Column-order cross-check: Last Report reproduces doc 1092's Current figures exactly."
David R. Brickey,County Attorney,2014,2014-10-28,Pre-Election,statement,15600.00,12313.94,,3286.06,,,,,,,,0,0,raw/2014/1092_brickey.pdf,1092,high,form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=current (cumulative cell empty); <=$50=current (cumulative cell empty)]]; expenditures[current (cumulative cell empty)]; ending_balance[current (cumulative cell empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten cover; Last Report and Cumulative Totals columns left blank. The >$50 figure is written without a thousands comma ('15450.00') — kept verbatim.
Robert Hilder,County Attorney,2014,2014-12-03,Post-Election,statement,10125.00,9888.64,,236.36,,,,,,,,0,0,raw/2014/1265_hilder_final.pdf,1265,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten cover, legible despite the 'low' OCR sidecar. The Current Report campaign-balance cell is left EMPTY by the filer (blank, not zero). Column-order cross-check: Last Report reproduces doc 1087's Current figures."
Robert Hilder,County Attorney,2014,2014-10-27,Pre-Election,statement,9425.00,7232.57,,2192.43,,,,,,,,0,0,raw/2014/1087_hilder.pdf,1087,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten cover, legible. Filer wrote N/A in every Last Report cell; the Current Report contributions>$50 cell is written '$9,200.-' (dash for cents) — kept verbatim."
Gary S. Shumway,County Auditor,2014,2014-12-04,Post-Election,statement,34383.79,34356.55,,27.24,,,,,,,,0,0,raw/2014/1260_shumway_final.pdf,1260,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | family: cover columns: current|middle|cumulative (Summit order is Current FIRST — never the millcreek LAST|THIS|CUM); contributions = split50 line1+line2, summing only the printed lines (promoted cumulative / promoted cumulative); expenditures: promoted cumulative; balance: promoted cumulative; contributions: 4 row(s) NOT emitted — the ledger is PERIOD-scoped (Sum rows 11700.00 = the Current column) under a CUMULATIVE cover (34383.79) -- publishing them against a cycle total would state an incoherent pair; expenditures: 14 row(s) NOT emitted — the ledger is PERIOD-scoped (Sum rows 12123.09 = the Current column) under a CUMULATIVE cover (34356.55) -- publishing them against a cycle total would state an incoherent pair | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover, all three columns printed; no signature date visible in the cover crop. Column-order cross-check: Last Report reproduces doc 1089's Current figures exactly. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Gary S. Shumway,County Auditor,2014,2014-10-27,Pre-Election,statement,22683.79,22233.46,,450.33,,,,,,,,0,0,raw/2014/1089_shumway.pdf,1089,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=current (cumulative cell empty); <=$50=current (cumulative cell empty)]]; expenditures[current (cumulative cell empty)]; ending_balance[current (cumulative cell empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; Last Report and Cumulative Totals columns left blank. RECEIVED Oct 27 2014 stamp; signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Michael Howard,County Auditor,2014,2014-12-04,Post-Election,statement,2648.83,-2648.83,,0.00,,,,,,,,0,0,raw/2014/1266_howard_final.pdf,1266,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | family: cover columns: current|middle|cumulative (Summit order is Current FIRST — never the millcreek LAST|THIS|CUM); contributions = split50 line1+line2, summing only the printed lines (promoted cumulative / promoted current (cumulative cell unparseable)); expenditures: promoted cumulative; balance: promoted cumulative; contributions: 21 row(s) NOT emitted — Sum rows 2798.83 matches no printed figure (cover 2648.83) -- itemization incomplete, a short ledger is not published as complete; expenditures: 19 row(s) NOT emitted — Sum rows 2648.83 matches no printed figure (cover -2648.83) -- itemization incomplete, a short ledger is not published as complete | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; no signature date visible in the cover crop. Total expenditures printed as a NEGATIVE figure, the same sign convention as the filer's Pre-Election report (doc 1097) — retained verbatim. Note the filer restated the cumulative rather than carrying doc 1097's figures into Last Report. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Michael Howard,County Auditor,2014,2014-10-27,Pre-Election,statement,2099.09,-2099.09,,0.00,,,,,,,,0,0,raw/2014/1097_howard.pdf,1097,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover, electronically signed. Total expenditures is printed as a NEGATIVE figure (-$2,099.09) in both the Current and Cumulative columns — a filer sign convention, retained verbatim, never corrected."
