candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review,geometry
Justin Martinez,County Sheriff,,2014,2014-10-24,Pre-Election,2014-02-07,Mountain America,Mountain America,Open up checking account (Savings),25.00,False,False,raw/2014/1064_martinez.pdf,1064,134,high,summit_form/text,0,p5:l134:c86-92
Justin Martinez,County Sheriff,,2014,2014-10-24,Pre-Election,2014-02-11,Go Daddy.com,Go Daddy.com,Web domian name,1.17,False,False,raw/2014/1064_martinez.pdf,1064,135,high,summit_form/text,0,p5:l135:c87-92
Justin Martinez,County Sheriff,,2014,2014-10-24,Pre-Election,2014-02-12,Pay Pal Envato MKPL,Pay Pal Envato Mkpl,Web page,47.00,False,False,raw/2014/1064_martinez.pdf,1064,136,high,summit_form/text,0,p5:l136:c86-92
Justin Martinez,County Sheriff,,2014,2014-10-24,Pre-Election,2014-02-12,Mountain America,Mountain America,Card Fee,0.38,False,False,raw/2014/1064_martinez.pdf,1064,137,high,summit_form/text,0,p5:l137:c87-92
Justin Martinez,County Sheriff,,2014,2014-10-24,Pre-Election,2014-02-12,La Puente,La Puente,Campaign Contribution Meeting,18.44,False,False,raw/2014/1064_martinez.pdf,1064,138,high,summit_form/text,0,p5:l138:c86-92
Justin Martinez,County Sheriff,,2014,2014-10-24,Pre-Election,2014-02-25,Crown Burger,Crown Burger,Campaign Contribution Meeting,21.14,False,False,raw/2014/1064_martinez.pdf,1064,139,high,summit_form/text,0,p5:l139:c86-92
Justin Martinez,County Sheriff,,2014,2014-10-24,Pre-Election,2014-02-26,El Jalicense (Kamas),El Jalicense (Kamas),Campaign Contribution Meeting,30.94,False,False,raw/2014/1064_martinez.pdf,1064,140,high,summit_form/text,0,p5:l140:c86-92
Justin Martinez,County Sheriff,,2014,2014-10-24,Pre-Election,2014-03-03,Pay Pal,Pay Pal,Payflow. Online Monthly Fee,5.00,False,False,raw/2014/1064_martinez.pdf,1064,141,high,summit_form/text,0,p5:l141:c87-92
Justin Martinez,County Sheriff,,2014,2014-10-24,Pre-Election,2014-03-14,Summit County Clerk,Summit County Clerk,Filing Fee,605.00,False,False,raw/2014/1064_martinez.pdf,1064,142,high,summit_form/text,0,p5:l142:c84-91
Justin Martinez,County Sheriff,,2014,2014-10-24,Pre-Election,2014-03-19,David's Kitchen,David's Kitchen,Campaign Contribution Meeting,90.50,False,False,raw/2014/1064_martinez.pdf,1064,143,high,summit_form/text,0,p5:l143:c86-92
Justin Martinez,County Sheriff,,2014,2014-10-24,Pre-Election,2014-03-22,Webgate Marketing,Webgate Marketing,Web Design,1000.00,False,False,raw/2014/1064_martinez.pdf,1064,144,high,summit_form/text,0,p5:l144:c83-92
Justin Martinez,County Sheriff,,2014,2014-10-24,Pre-Election,2014-03-24,Actblue,Actblue,Donation to Summit County Democrats. Dinner,220.00,False,False,raw/2014/1064_martinez.pdf,1064,145,high,summit_form/text,0,p5:l145:c84-91
Justin Martinez,County Sheriff,,2014,2014-10-24,Pre-Election,,4/2//14,4/2//14,Pay Pal Payflow. Online Monthly Fee,5.00,False,False,raw/2014/1064_martinez.pdf,1064,146,high,summit_form/text,1,p5:l146:c87-92
