path,text_path,extraction_method,native_text_alnum,sidecar_alnum
raw/2014/1058_trussell.pdf,text/1058_trussell.txt,pdftotext -layout,2190,2190
raw/2014/1059_williams.pdf,text/1059_williams.txt,pdftotext -layout,2349,2349
raw/2014/1064_martinez.pdf,text/1064_martinez.txt,pdftotext -layout,6301,6301
raw/2014/1065_martin.pdf,text/1065_martin.txt,pdftotext -layout,1327,1327
raw/2014/1080_robinson.pdf,text/1080_robinson.txt,tesseract OCR (pdftoppm 300dpi),0,2204
raw/2014/1081_brock.pdf,text/1081_brock.txt,pdftotext -layout,1572,1572
raw/2014/1082_hendricksen.pdf,text/1082_hendricksen.txt,pdftotext -layout,4696,4696
raw/2014/1085_coleman.pdf,text/1085_coleman.txt,pdftotext -layout,2923,2923
raw/2014/1086_forsling.pdf,text/1086_forsling.txt,tesseract OCR (pdftoppm 300dpi),0,2999
raw/2014/1087_hilder.pdf,text/1087_hilder.txt,pdftotext -layout,2956,2956
raw/2014/1088_jones.pdf,text/1088_jones.txt,pdftotext -layout,1700,1700
raw/2014/1089_shumway.pdf,text/1089_shumway.txt,pdftotext -layout,5024,5024
raw/2014/1090_ure.pdf,text/1090_ure.txt,pdftotext -layout,1195,1195
raw/2014/1091_wharton.pdf,text/1091_wharton.txt,pdftotext -layout,1331,1331
raw/2014/1092_brickey.pdf,text/1092_brickey.txt,pdftotext -layout,4247,4247
raw/2014/1093_richards.pdf,text/1093_richards.txt,pdftotext -layout,1877,1877
raw/2014/1097_howard.pdf,text/1097_howard.txt,pdftotext -layout,2325,2325
raw/2014/1098_yost.pdf,text/1098_yost.txt,pdftotext -layout,2156,2156
raw/2014/1244_brock_final.pdf,text/1244_brock_final.txt,pdftotext -layout,1349,1349
raw/2014/1245_forsling_final.pdf,text/1245_forsling_final.txt,tesseract OCR (pdftoppm 300dpi),0,3203
raw/2014/1246_hendricksen_final.pdf,text/1246_hendricksen_final.txt,pdftotext -layout,4145,4145
raw/2014/1247_jones_final.pdf,text/1247_jones_final.txt,pdftotext -layout,1698,1698
raw/2014/1248_martinez_final.pdf,text/1248_martinez_final.txt,pdftotext -layout,7243,7243
raw/2014/1249_robinson_final.pdf,text/1249_robinson_final.txt,pdftotext -layout,2543,2543
raw/2014/1250_trussell_final.pdf,text/1250_trussell_final.txt,pdftotext -layout,2156,2156
raw/2014/1251_williams_final.pdf,text/1251_williams_final.txt,pdftotext -layout,2870,2870
raw/2014/1256_coleman_final.pdf,text/1256_coleman_final.txt,pdftotext -layout,3141,3141
raw/2014/1260_shumway_final.pdf,text/1260_shumway_final.txt,pdftotext -layout,2024,2024
raw/2014/1264_brickey_final.pdf,text/1264_brickey_final.txt,pdftotext -layout,1698,1698
raw/2014/1265_hilder_final.pdf,text/1265_hilder_final.txt,pdftotext -layout,1456,1456
raw/2014/1266_howard_final.pdf,text/1266_howard_final.txt,pdftotext -layout,2665,2665
raw/2014/1267_martin_final.pdf,text/1267_martin_final.txt,pdftotext -layout,1193,1193
raw/2014/1268_yost_final.pdf,text/1268_yost_final.txt,pdftotext -layout,1490,1490
raw/2014/1272_richards_final.pdf,text/1272_richards_final.txt,pdftotext -layout,1932,1932
raw/2014/1273_ure_final.pdf,text/1273_ure_final.txt,pdftotext -layout,212,212
raw/2014/1274_wharton_final.pdf,text/1274_wharton_final.txt,tesseract OCR (pdftoppm 300dpi),0,1029
raw/2016/3806_Roger-Armstrong.pdf,text/3806_Roger-Armstrong.txt,pdftotext -layout,597,597
raw/2016/3983_Kim-Carson.pdf,text/3983_Kim-Carson.txt,pdftotext -layout,1195,1195
raw/2016/4009_Genn-Wright.pdf,text/4009_Genn-Wright.txt,pdftotext -layout,3491,3491
raw/2016/4013_Colin-DeFord.pdf,text/4013_Colin-DeFord.txt,pdftotext -layout,3199,3199
raw/2016/4019_Douglas-Clyde.pdf,text/4019_Douglas-Clyde.txt,pdftotext -layout,3865,3865
raw/2016/4020_Tal-Adair.pdf,text/4020_Tal-Adair.txt,pdftotext -layout,1323,1323
raw/2016/4180_Glenn-Wright_Final.pdf,text/4180_Glenn-Wright_Final.txt,pdftotext -layout,3660,3660
raw/2016/4278_Tal-Adair-2016-Final.pdf,text/4278_Tal-Adair-2016-Final.txt,pdftotext -layout,1652,1652
raw/2016/4279_Kim-Carson-2016-Final.pdf,text/4279_Kim-Carson-2016-Final.txt,pdftotext -layout,589,589
raw/2016/4305_Doug-Clyde-General-Final.pdf,text/4305_Doug-Clyde-General-Final.txt,pdftotext -layout,4795,4795
raw/2018/8190_Chris-Robinson.pdf,text/8190_Chris-Robinson.txt,pdftotext -layout,1387,1387
raw/2018/8191_Glenn-Wright.pdf,text/8191_Glenn-Wright.txt,pdftotext -layout,1438,1438
raw/2018/8192_Joshua-Mann.pdf,text/8192_Joshua-Mann.txt,pdftotext -layout,1494,1494
raw/2018/8193_Margaret-Olson.pdf,text/8193_Margaret-Olson.txt,pdftotext -layout,1287,1287
raw/2018/8194_Michael-Howard.pdf,text/8194_Michael-Howard.txt,pdftotext -layout,1174,1174
raw/2018/8195_Kent-Jones.pdf,text/8195_Kent-Jones.txt,pdftotext -layout,1100,1100
raw/2018/8196_R-Francis.pdf,text/8196_R-Francis.txt,pdftotext -layout,1103,1103
raw/2018/8205_Justin-Martinez.pdf,text/8205_Justin-Martinez.txt,pdftotext -layout,1418,1418
raw/2018/8354_Christopher-Robinson-Final.pdf,text/8354_Christopher-Robinson-Final.txt,pdftotext -layout,1365,1365
raw/2018/8355_Glenn-Wright-Final.pdf,text/8355_Glenn-Wright-Final.txt,pdftotext -layout,1480,1480
