date,date_basis,candidate,office,seat,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,text_path,bytes,sha256,document_id,channel,listing_url,office_source,matched_election_candidate,join_confidence,text_quality,needs_review,notes
2014-10-24,pdf_creation_date (proxy),Steve Martin,County Assessor,,2014,statement,Pre-Election,Steve Martin — 2014 Summit County campaign financial report (Pre-Election),https://www.summitcountyutah.gov/DocumentCenter/View/1065/martin,2026-08-01,scanned,embedded OCR text layer (pdftotext -layout),raw/2014/1065_martin.pdf,text/1065_martin.txt,995306,75aef2b126bcffeee6c9f3c832d413983647e312df50703687d3f0074266fc28,1065,delisted_live_by_id,https://web.archive.org/web/20150303175543/http://www.co.summit.ut.us/536/Financial-Reports,elections_join,MARTIN DEM,surname+year,low,1,sidecar illegible (handwritten/scan floor) — read the raw PDF
2014-12-04,pdf_creation_date (proxy),Steve Martin,County Assessor,,2014,statement,Post-Election,Steve Martin — 2014 Summit County campaign financial report (Post-Election),https://www.summitcountyutah.gov/DocumentCenter/View/1267/martin_final,2026-08-01,scanned,embedded OCR text layer (pdftotext -layout),raw/2014/1267_martin_final.pdf,text/1267_martin_final.txt,1578204,59c4677e8bd5cb5301f3658e1f8144af95bc6ec431c3b145789defd62a84733c,1267,delisted_live_by_id,https://web.archive.org/web/20150303175543/http://www.co.summit.ut.us/536/Financial-Reports,elections_join,MARTIN DEM,surname+year,low,1,sidecar illegible (handwritten/scan floor) — read the raw PDF
2014-10-28,pdf_creation_date (proxy),David R. Brickey,County Attorney,,2014,statement,Pre-Election,David R. Brickey — 2014 Summit County campaign financial report (Pre-Election),https://www.summitcountyutah.gov/DocumentCenter/View/1092/brickey,2026-08-01,scanned,embedded OCR text layer (pdftotext -layout),raw/2014/1092_brickey.pdf,text/1092_brickey.txt,1834087,8d7a4d48b66bc8a1476ad70feeab385090c828e296d4184f72570bb4ec5f890a,1092,delisted_live_by_id,https://web.archive.org/web/20150303175543/http://www.co.summit.ut.us/536/Financial-Reports,elections_join,BRICKEY REP,surname+year,medium,1,
2014-12-04,pdf_creation_date (proxy),David R. Brickey,County Attorney,,2014,statement,Post-Election,David R. Brickey — 2014 Summit County campaign financial report (Post-Election),https://www.summitcountyutah.gov/DocumentCenter/View/1264/brickey_final,2026-08-01,scanned,embedded OCR text layer (pdftotext -layout),raw/2014/1264_brickey_final.pdf,text/1264_brickey_final.txt,674897,f476bcbeb30d5a30049d355bbd70d6bdf6fb84c7eac47346b0fe36ccfa4257f3,1264,delisted_live_by_id,https://web.archive.org/web/20150303175543/http://www.co.summit.ut.us/536/Financial-Reports,elections_join,BRICKEY REP,surname+year,medium,1,
2014-10-28,pdf_creation_date (proxy),Robert Hilder,County Attorney,,2014,statement,Pre-Election,Robert Hilder — 2014 Summit County campaign financial report (Pre-Election),https://www.summitcountyutah.gov/DocumentCenter/View/1087/hilder,2026-08-01,scanned,embedded OCR text layer (pdftotext -layout),raw/2014/1087_hilder.pdf,text/1087_hilder.txt,2917370,0f521495f084d237146e0c71ebd83ca8969d88f618a5a47d4dd0977c69ea2660,1087,delisted_live_by_id,https://web.archive.org/web/20150303175543/http://www.co.summit.ut.us/536/Financial-Reports,elections_join,HILDER DEM,surname+year,low,1,sidecar illegible (handwritten/scan floor) — read the raw PDF
2014-12-04,pdf_creation_date (proxy),Robert Hilder,County Attorney,,2014,statement,Post-Election,Robert Hilder — 2014 Summit County campaign financial report (Post-Election),https://www.summitcountyutah.gov/DocumentCenter/View/1265/hilder_final,2026-08-01,scanned,embedded OCR text layer (pdftotext -layout),raw/2014/1265_hilder_final.pdf,text/1265_hilder_final.txt,1382601,5a4aa0c36581f4e1379ebe4c40954510c8e8b37d4b006983c72c6e4b23d12d54,1265,delisted_live_by_id,https://web.archive.org/web/20150303175543/http://www.co.summit.ut.us/536/Financial-Reports,elections_join,HILDER DEM,surname+year,low,1,sidecar illegible (handwritten/scan floor) — read the raw PDF
2014-10-28,pdf_creation_date (proxy),Gary S. Shumway,County Auditor,,2014,statement,Pre-Election,Gary S. Shumway — 2014 Summit County campaign financial report (Pre-Election),https://www.summitcountyutah.gov/DocumentCenter/View/1089/shumway,2026-08-01,scanned,embedded OCR text layer (pdftotext -layout),raw/2014/1089_shumway.pdf,text/1089_shumway.txt,1995242,10d27fc58f14648be0ef64a78d31f9bdb1944d251df8db78711aee6dd43e53fa,1089,delisted_live_by_id,https://web.archive.org/web/20150303175543/http://www.co.summit.ut.us/536/Financial-Reports,filing_text,SHUMWAY REP,surname+year,high,0,
2014-12-04,pdf_creation_date (proxy),Gary S. Shumway,County Auditor,,2014,statement,Post-Election,Gary S. Shumway — 2014 Summit County campaign financial report (Post-Election),https://www.summitcountyutah.gov/DocumentCenter/View/1260/shumway_final,2026-08-01,text,pdftotext -layout,raw/2014/1260_shumway_final.pdf,text/1260_shumway_final.txt,126740,5dd8432f6182efca4429f229ad5b3eb4bd819c08ac389b9d014ff25da4a41cbb,1260,delisted_live_by_id,https://web.archive.org/web/20150303175543/http://www.co.summit.ut.us/536/Financial-Reports,filing_text,SHUMWAY REP,surname+year,high,0,
2014-10-28,pdf_creation_date (proxy),Michael Howard,County Auditor,,2014,statement,Pre-Election,Michael Howard — 2014 Summit County campaign financial report (Pre-Election),https://www.summitcountyutah.gov/DocumentCenter/View/1097/howard,2026-08-01,scanned,embedded OCR text layer (pdftotext -layout),raw/2014/1097_howard.pdf,text/1097_howard.txt,1116478,b19a3e411843877ab66fede72cc5933d7da5fb81f6fcd57a297358edb29ee287,1097,delisted_live_by_id,https://web.archive.org/web/20150303175543/http://www.co.summit.ut.us/536/Financial-Reports,filing_text,HOWARD DEM,surname+year,high,0,
2014-12-04,pdf_creation_date (proxy),Michael Howard,County Auditor,,2014,statement,Post-Election,Michael Howard — 2014 Summit County campaign financial report (Post-Election),https://www.summitcountyutah.gov/DocumentCenter/View/1266/howard_final,2026-08-01,text,pdftotext -layout,raw/2014/1266_howard_final.pdf,text/1266_howard_final.txt,131798,0a8513a0506f80b64f57208a007438d8a22ca566dfff353747a791a8cff8c42f,1266,delisted_live_by_id,https://web.archive.org/web/20150303175543/http://www.co.summit.ut.us/536/Financial-Reports,filing_text,HOWARD DEM,surname+year,high,0,
2014-10-27,pdf_creation_date (proxy),Kent Jones,County Clerk,,2014,statement,Pre-Election,Kent Jones — 2014 Summit County campaign financial report (Pre-Election),https://www.summitcountyutah.gov/DocumentCenter/View/1088/jones,2026-08-01,scanned,embedded OCR text layer (pdftotext -layout),raw/2014/1088_jones.pdf,text/1088_jones.txt,1195428,bcfcdb2b4f397c97872edf768de3d6a9f649436c4149d4ee9bc46ade9a808290,1088,delisted_live_by_id,https://web.archive.org/web/20150303175543/http://www.co.summit.ut.us/536/Financial-Reports,filing_text,JONES DEM,surname+year,high,0,
