year,election_type,source_file,contest_id,contest,vote_for,precinct,candidate,party,votes,suppressed,vote_method
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-4cbad459-5fd8-47b4-8297-f76b6ca57301.json,4cbad459-5fd8-47b4-8297-f76b6ca57301,Levan Town Council,,,BRE AAGARD,,172,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-4cbad459-5fd8-47b4-8297-f76b6ca57301.json,4cbad459-5fd8-47b4-8297-f76b6ca57301,Levan Town Council,,,ERICA JAN WANKIER,,167,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-4cbad459-5fd8-47b4-8297-f76b6ca57301.json,4cbad459-5fd8-47b4-8297-f76b6ca57301,Levan Town Council,,Levan #1,BRE AAGARD,,172,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-4cbad459-5fd8-47b4-8297-f76b6ca57301.json,4cbad459-5fd8-47b4-8297-f76b6ca57301,Levan Town Council,,Levan #1,ERICA JAN WANKIER,,167,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-94d62585-be3e-4036-baa5-df7d28803f45.json,94d62585-be3e-4036-baa5-df7d28803f45,Levan Town Council,,,ALAN M KENDALL,,148,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-94d62585-be3e-4036-baa5-df7d28803f45.json,94d62585-be3e-4036-baa5-df7d28803f45,Levan Town Council,,,CHRISTOPHER J CHIPPING,,179,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-94d62585-be3e-4036-baa5-df7d28803f45.json,94d62585-be3e-4036-baa5-df7d28803f45,Levan Town Council,,,NATHAN JAMES WASHER,,142,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-94d62585-be3e-4036-baa5-df7d28803f45.json,94d62585-be3e-4036-baa5-df7d28803f45,Levan Town Council,,,RACHEL GOATES,,162,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-94d62585-be3e-4036-baa5-df7d28803f45.json,94d62585-be3e-4036-baa5-df7d28803f45,Levan Town Council,,Levan #1,ALAN M KENDALL,,148,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-94d62585-be3e-4036-baa5-df7d28803f45.json,94d62585-be3e-4036-baa5-df7d28803f45,Levan Town Council,,Levan #1,CHRISTOPHER J CHIPPING,,179,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-94d62585-be3e-4036-baa5-df7d28803f45.json,94d62585-be3e-4036-baa5-df7d28803f45,Levan Town Council,,Levan #1,NATHAN JAMES WASHER,,142,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-94d62585-be3e-4036-baa5-df7d28803f45.json,94d62585-be3e-4036-baa5-df7d28803f45,Levan Town Council,,Levan #1,RACHEL GOATES,,162,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json,6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca,Mona City Council,,,AMY STANLEY,,318,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json,6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca,Mona City Council,,,FRANK RIDING,,246,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json,6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca,Mona City Council,,,JANA CRAWFORD,,162,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json,6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca,Mona City Council,,,KEVIN L SQUIRE,,249,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json,6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca,Mona City Council,,,KRIS KAY,,309,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json,6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca,Mona City Council,,,RUSSELL A FORSYTH,,83,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json,6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca,Mona City Council,,Mona #1,AMY STANLEY,,204,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json,6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca,Mona City Council,,Mona #1,FRANK RIDING,,164,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json,6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca,Mona City Council,,Mona #1,JANA CRAWFORD,,87,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json,6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca,Mona City Council,,Mona #1,KEVIN L SQUIRE,,164,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json,6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca,Mona City Council,,Mona #1,KRIS KAY,,202,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json,6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca,Mona City Council,,Mona #1,RUSSELL A FORSYTH,,37,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json,6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca,Mona City Council,,Mona #2,AMY STANLEY,,114,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json,6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca,Mona City Council,,Mona #2,FRANK RIDING,,82,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json,6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca,Mona City Council,,Mona #2,JANA CRAWFORD,,75,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json,6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca,Mona City Council,,Mona #2,KEVIN L SQUIRE,,85,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json,6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca,Mona City Council,,Mona #2,KRIS KAY,,107,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json,6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca,Mona City Council,,Mona #2,RUSSELL A FORSYTH,,46,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,,BART STANLEY MILLER,,572,False,Certified Total
