source_file,channel,election,url,bytes,sha256,retrieved,notes
raw/clerk/2023-09-05-primary-official.pdf,A Juab County Clerk,,https://juabcounty.gov/wp-content/uploads/2023/09/Official-Results-Prim-23.pdf,4879,33ebba1c65274670771c7d5f110b3dfc8caccc78cf23d9085502b4537ca0bbf9,2026-07-20,official canvass PDF (raw retention + reconciliation)
raw/clerk/2023-11-general-official.pdf,A Juab County Clerk,,https://juabcounty.gov/wp-content/uploads/2023/11/Gen-Election-Results-11-29.pdf,5050,9b12a2220dd3bad04a865a73da0a97d5c69fa0d26639a1a2e67e363e32b01cb2,2026-07-20,official canvass PDF (raw retention + reconciliation)
raw/clerk/2024-06-25-primary-canvass.pdf,A Juab County Clerk,,https://juabcounty.gov/wp-content/uploads/2024/07/24P-Canvass-Rpt.pdf,2585693,16c209199070c4f4e32702beaf04431687c6ee44da49291841860fe1c022fbe7,2026-07-20,official canvass PDF (raw retention + reconciliation)
raw/clerk/2024-11-05-general-post-canvass.pdf,A Juab County Clerk,,https://juabcounty.gov/wp-content/uploads/2024/11/24G-Post-Canvass-Rpt.pdf,282356,61a534adec99c5556e527e2352a3173ba90c442e86e143d96e8e2c895d49c063,2026-07-20,official canvass PDF (raw retention + reconciliation)
raw/ltgov/2024-general-G24_Canvass_Juab.pdf,B Lt. Governor canvass cert,,https://vote.utah.gov/wp-content/uploads/2024/11/G24_Canvass_Juab.pdf,3065755,81a0a7943bb01a7abf3b6941089e6e0e455d48e22e171d4d35eaa06b79aeec77,2026-07-20,official canvass PDF (raw retention + reconciliation)
raw/ltgov/2024-primary-P24_Juab.pdf,B Lt. Governor canvass cert,,https://vote.utah.gov/wp-content/uploads/2024/08/P24_Juab.pdf,2339619,dac9ad301104f60b6ab1a7f84c35e9a27685135e55cbab88ac8f8bab48a259e0,2026-07-20,official canvass PDF (raw retention + reconciliation)
raw/ltgov/2025-general-G25_Canvass_Juab.pdf,B Lt. Governor canvass cert,,https://vote.utah.gov/wp-content/uploads/2025/11/G25_Canvass_Juab.pdf,669792,1f6a6322e9c26c56fc6484410e3420264282977334c9c5c09ad77481ca695bcb,2026-07-20,official canvass PDF (raw retention + reconciliation)
raw/ltgov/2025-primary-P25_Canvass_Juab.pdf,B Lt. Governor canvass cert,,https://vote.utah.gov/wp-content/uploads/2025/08/P25_Canvass_Juab.pdf,643905,18087edda7a6ec00c78a41247b192d3660993a72cfa2f5badc420952603e8205,2026-07-20,official canvass PDF (raw retention + reconciliation)
raw/ev/ev-juab-2023-Nov-General-ballot-items.json,C Enhanced Voting API,2023 municipal general,https://electionresults.utah.gov/results/public/api/elections/juab-county-ut/2023-Nov-General/ballot-items,16491,16e422203a102b965fdd68f575940ac15ab92097e39d1cc924f12a6394db34a1,2026-07-20,ballot-items list
raw/ev/ev-juab-2023-Nov-General-item-4cbad459-5fd8-47b4-8297-f76b6ca57301.json,C Enhanced Voting API,2023 municipal general,https://electionresults.utah.gov/results/public/api/elections/juab-county-ut/2023-Nov-General/ballot-items/4cbad459-5fd8-47b4-8297-f76b6ca57301,2402,d82a86c5b6aa2aa1d51128284592da1e9e38957ac2c3782149cdee4a878d30f3,2026-07-20,per-contest precinct breakdown
