application_id,app_key,body_id,name,rep_title
1,RDA|s|pmn_backfill/text/RDA_2598_457993.txt|1,3,,HOLD A SPECIAL SESSION ON TUESDAY DECEMBER 18 TO GET THE INFORMATION AND MAKE A VOTE THAT NIGHT
2,RDA|s|pmn_backfill/text/RDA_2598_457993.txt|2,3,,ADJOURN THE MEETING AT 9:51 PM
3,RDA|s|pmn_backfill/text/RDA_2598_457997.txt|1,3,,"APPROVE THE YARD REIMBURSEMENT REQUEST WITH MR. MCHARGUE’S RECOMMENDATION OF $500,000 UPFRONT WITH $220,00 ANNUALLY FOR YEARS 1 TO 5 AND $85,000 ANNUALLY FOR YEARS 6 TO 10, WITH A STIIPULATION THAT THEY WORK OUT NEW NUMBERS, WITH A CONTINGENCY THAT THERE BE A DISCUSSION IN THE NEXT TWO WEEKS WHET..."
4,RDA|s|pmn_backfill/text/RDA_2598_457997.txt|2,3,,ADJOURN THE MEETING AT 7:10 PM
5,RDA|s|pmn_backfill/text/RDA_2598_467843.txt|2,3,,"APPROVE THE REIMBURSEMENT AGREEMENT OPTION 1 WITH THE FOLLOWING STIPULATIONS: 1. THE GOLF FACILITY WILL HAVE LUXURY GOLF HITTING AND LOUNGE BAYS, FULL SERVICE DINING FACILITIES, FULL SERVICE BAR, CORPORATE EVENT SPACE, PRIVATE PARTY SPACE, AND CONCERT VENUE SPACE. 2. AN ANNUAL CAP OF $275,000 3...."
6,RDA|s|pmn_backfill/text/RDA_2598_467843.txt|3,3,,ADJOURN THE MEETING AT 8:21 PM
7,RDA|s|pmn_backfill/text/RDA_2598_477027.txt|2,3,,ADJOURN THE MEETING AT 8:16 PM
8,RDA|s|pmn_backfill/text/RDA_2598_493373.txt|2,3,,"AMEND THE CAMU REIMBURSEMENT TO INCLUDE THE ADDITIONAL $30,000 WITH A TOTAL AMOUNT OF $6,274,651, WITH THE TOTAL BUDGET REMAINING AT ITS ORIGINAL AMOUNT"
9,RDA|s|pmn_backfill/text/RDA_2598_493373.txt|3,3,,ADJOURN THE MEETING AT 6:40 PM
10,RDA|s|pmn_backfill/text/RDA_2598_497277.txt|1,3,,APPROVE CONSENT ITEM 2.1
11,RDA|s|pmn_backfill/text/RDA_2598_497277.txt|3,3,,ADJOURN THE MEETING AT 8:06 PM
12,RDA|s|pmn_backfill/text/RDA_2598_508227.txt|1,3,,APPROVE CONSENT ITEM 2.1
13,RDA|s|pmn_backfill/text/RDA_2598_508227.txt|2,3,,OPEN THE PUBLIC HEARING AT 6:58 PM
14,RDA|s|pmn_backfill/text/RDA_2598_508227.txt|3,3,,CLOSE THE PUBLIC HEARING AT 7:00 PM
15,RDA|s|pmn_backfill/text/RDA_2598_508227.txt|4,3,,ADJOURN THE MEETING AT 7:03 PM
16,RDA|s|pmn_backfill/text/RDA_2598_521049.txt|2,3,,"AUTHORIZE THE CHAIR TO SIGN THE RDA TAX INCREMENT PARTICIPATION AGREEMENT WITH FIFTY MILL LLC WITH THE AMENDED CHANGES TO SECTION 2A, THAT THEY STRIKE THE SENTENCE “THE APPROVED PLANS AND SPECIFICATIONS MAY BE MODIFIED BY THE COMPANY FROM TIME TO TIME TO ADDRESS CHANGES THAT DO NOT DIMINISH THE O..."
17,RDA|s|pmn_backfill/text/RDA_2598_521049.txt|3,3,,ADJOURN THE MEETING AT 8:14 PM
18,RDA|s|pmn_backfill/text/RDA_2598_531029.txt|1,3,,APPROVE CONSENT ITEM 2.1
19,RDA|s|pmn_backfill/text/RDA_2598_531029.txt|2,3,,ACCEPT THE SITE PLAN THAT HAD BEEN APPROVED BY PLANNING COMMISSION FOR THE FORMALIZED FINANCING AGREEMENT ON THIS PROJECT. There was a discussion about the sign. Amended motion: BOARDMEMBER JUDD MOVED TO ACCEPT THE SITE PLAN THAT HAD BEEN APPROVED BY PLANNING COMMISSION FOR THE FORMALIZED FINANCI...
20,RDA|s|pmn_backfill/text/RDA_2598_531029.txt|3,3,,ADJOURN THE MEETING AT 10:12 PM
21,RDA|s|pmn_backfill/text/RDA_2598_563695.txt|1,3,,APPROVE THE CONSENT ITEMS AS PRESENTED
22,RDA|s|pmn_backfill/text/RDA_2598_563695.txt|2,3,,APPROVE THE CONTRACT WITH THE STATE OF UTAH DEPARTMENT OF TRANSPORTATION AND ALLOW STAFF TO SIGN IT FOR THE RAIL SPUR
23,RDA|s|pmn_backfill/text/RDA_2598_563695.txt|3,3,,ADJOURN THE MEETING AT 7:40 PM
24,RDA|s|pmn_backfill/text/RDA_2598_600575.txt|1,3,,APPROVE THE CONSENT ITEM 2.1
25,RDA|s|pmn_backfill/text/RDA_2598_600575.txt|2,3,,APPROVE THE 1750 NORTH REIMBURSEMENT AGREEMENT AND ALLOW STAFF TO SIGN THE AGREEMENT
26,RDA|s|pmn_backfill/text/RDA_2598_600575.txt|3,3,,ADJOURN THE BOARD MEETING AT 6:23 PM
27,Council|s|meeting_minutes/minutes/2020/2020-03-09/2020-03-11_city-council-meeting-regular.md|2,1,,"ADOPT THE MUNICIPAL PARK CODE AMENDMENT, ORDINANCE 2020-01"
28,Council|s|meeting_minutes/minutes/2020/2020-03-09/2020-03-11_city-council-meeting-regular.md|3,1,,CONTINUE BUSINESS ITEM 8.2 FINAL PLAT APPROVAL OF THE 1600 NORTH ROAD DEDICATION TO THE NEXT MEETING
29,Council|s|meeting_minutes/minutes/2020/2020-03-30/2020-04-01_city-council-meeting-special-joint-session.md|6,1,,APPROVE THE YARD PLAT C SUBDIVISION PRELIMINARY AND FINAL PLAT WITH THE CONDITIONS AS RECOMMEND BY PLANNING COMMISSION
30,Council|s|meeting_minutes/minutes/2020/2020-03-30/2020-04-01_city-council-meeting-special-joint-session.md|7,1,,"APPROVE BUSINESS ITEM 4.4, 1600 NORTH EXTENSION ROAD DEDICATION FINAL PLAT, ALONG WITH NOTED REQUIREMENTS BY STAFF. CONDITIONS: 1. THE APPLICANT PAYS ANY OUTSTANDING FEES. 2. THE APPLICANT MAKES ANY REDLINE CORRECTIONS PRIOR TO THE RECORDATION OF THE PLAT"
31,Council|s|meeting_minutes/minutes/2020/2020-05-11/2020-05-13_city-council-meeting-regular.md|4,1,,WITHDRAW THE REZONING APPLICATION
32,RDA|s|pmn_backfill/text/RDA_2598_614941.txt|2,3,,APPROVE THE ANDERSON GENEVA MASTER DEVELOPMENT AGREEMENT AS DISCUSSED AND ALLOW THE CHAIR TO SIGN THE CONTRACT
33,RDA|s|pmn_backfill/text/RDA_2598_614941.txt|3,3,,OPEN THE PUBLIC HEARING AT 8:04 PM
34,RDA|s|pmn_backfill/text/RDA_2598_614941.txt|4,3,,CLOSE THE PUBLIC HEARING AT 8:05 PM
35,RDA|s|pmn_backfill/text/RDA_2598_614941.txt|6,3,,ADJOURN THE MEETING AT 8:07 PM
36,RDA|s|pmn_backfill/text/RDA_2598_667587.txt|1,3,,APPROVE THE CONSENT ITEMS
37,RDA|s|pmn_backfill/text/RDA_2598_667587.txt|3,3,,OPEN THE PUBLIC HEARING AT 8:33 PM
