role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,2,2020-06-03,2021-08-18,45
2,2,2,2020-04-01,2023-11-15,226
3,3,2,2023-11-15,2026-05-06,57
4,4,2,2020-02-05,2024-12-18,279
5,5,2,2024-04-17,2025-12-03,35
6,6,1,2024-01-10,2025-10-22,265
7,6,3,2024-03-13,2025-06-25,38
8,7,2,2022-01-19,2025-03-19,134
9,8,1,2024-11-20,2025-10-22,162
10,8,3,2024-12-11,2025-06-25,18
11,9,2,2022-10-19,2023-07-19,72
12,10,2,2026-05-06,2026-05-06,2
13,11,2,2025-02-05,2026-05-06,37
14,12,1,2020-01-08,2021-12-30,298
15,12,3,2018-12-12,2021-10-13,84
16,13,1,2020-01-08,2023-12-27,719
17,13,3,2018-12-12,2023-12-27,180
18,14,1,2020-01-08,2025-10-22,973
19,14,3,2018-12-12,2025-06-25,217
20,15,2,2023-02-01,2026-05-06,100
21,16,1,2024-01-10,2026-06-09,315
22,16,3,2024-03-13,2025-06-25,35
23,17,2,2020-02-05,2022-05-18,84
24,18,2,2020-02-05,2021-12-01,42
25,19,2,2026-03-04,2026-03-04,6
26,20,1,2020-01-08,2021-12-30,298
27,20,3,2018-12-12,2021-10-13,84
28,21,1,2026-01-14,2026-06-09,52
29,22,2,2022-01-19,2022-01-19,3
30,23,2,2026-03-04,2026-05-06,8
31,24,1,2026-01-14,2026-06-09,50
32,25,1,2026-01-14,2026-06-09,52
33,26,2,2024-11-06,2025-11-05,26
34,27,2,2024-03-06,2026-05-06,66
35,28,1,2022-01-12,2024-09-25,522
36,28,3,2022-01-12,2024-08-28,116
37,29,2,2020-04-01,2021-08-18,57
38,30,1,2022-01-12,2025-10-22,685
39,30,3,2022-01-12,2025-06-25,134
40,31,2,2020-07-15,2022-08-17,19
41,32,2,2022-10-26,2022-11-16,4
42,33,1,2026-02-03,2026-02-03,2
43,34,2,2020-06-03,2024-03-06,164
44,35,2,2020-02-05,2022-12-07,117
45,36,1,2020-01-08,2023-12-27,720
46,36,3,2020-01-08,2023-12-27,152
47,37,1,2026-01-14,2026-06-09,52
