ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,instrument_type,canonical_no,dup_raw,source_last_modified,linkage_note
2017-01-02,2017-01-01,2017-01-01,AN ORDINANCE RATIFYING THE LETTER SENT TO THE UTAH STATE TAX COMMISSION PRIOR TO INCORPORATION ACCEPTING THE ONE-PERCENT LOCAL SALES AND USE TAX AND DIRECTING THE PROCEEDS FROM THE TAX BE REMITTED TO THE GREATER SALT LAKE MUNICIPAL SERVICES DISTRICT.,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/magna/ordinances/documents/Ordinance%2017-01-02.pdf,2026-07-13,scanned,ocr_tesseract,raw/Ordinance_17-01-02.pdf,no,,,,none,ordinance,2017-01-02,,2018-07-06,"date=YYYY-MM from instrument number, day placeholder 01 (exact adoption date not in doc)"
2017-01-03,2017-01-01,2017-01-01,"AN ORDINANCE ACCEPTING AND ADOPTING THE MAGNA GENERAL PLAN, MAGNA LAND USE PLAN, AND CODE OF ORDINANCE AS PRESENTED BY SALT LAKE COUNTY PLANNING AND DEVELOPMENT SERVICES AND DISTRICT ATTORNEY.",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/magna/ordinances/documents/Ordinance%2017-01-03.pdf,2026-07-13,text,pdftotext_layout,raw/Ordinance_17-01-03.pdf,yes,,,,none,ordinance,2017-01-03,,2018-07-07,"date=YYYY-MM from instrument number, day placeholder 01 (exact adoption date not in doc)"
2017-01-04,2017-01-01,2017-01-01,"AN ORDINANCE RATIFYING ACTION OF SENDING A LETTER TO THE GREATER SALT LAKE MUNICIPAL SERVICES DISTRICT, PRIOR TO INCORPORATION, ALLOWING GSLMSD TO COLLECT ALL FINES, FEES, CHARGES, LEVIES, AND OTHER PAYMENTS IMPOSED BY THE MAGNA METRO TOWNSHIP.",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/magna/ordinances/documents/Ordinance%2017-01-04.pdf,2026-07-13,text,pdftotext_layout,raw/Ordinance_17-01-04.pdf,no,,,,none,ordinance,2017-01-04,,2018-07-07,"date=YYYY-MM from instrument number, day placeholder 01 (exact adoption date not in doc)"
2017-01-01,2017-01-11,2017-01-11,"AN ORDINANCE RATIFYING WORK PERFORMED, PRIOR TO INCORPORATION, FOR THE FORMAL CREATION OF THE MAGNA METRO TOWNSHIP.",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/magna/ordinances/documents/Ordinance%2017-01-01.pdf,2026-07-13,scanned,ocr_tesseract,raw/Ordinance_17-01-01.pdf,no,,,,none,ordinance,2017-01-01,,2018-07-06,
2017-03-01,2017-03-01,2017-03-01,"AN ORDINANCE AMENDING SECTIONS 5.02.140 AND 5.20.120 OF THE MAGNA METRO TOWNSHIP CODE OF ORDINANCES 2017, RELATED TO BUSINESS LICENSING APPLICATION REQUIREMENTS AND GROUNDS FOR DENIAL, IN ORDER TO BE CONSISTENT WITH PRIOR PRACTICES AND OTHER ORDINANCES, AND MAKING OTHER RELATED CHANGES.",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/magna/ordinances/documents/Ordinance%2017-03-01.pdf,2026-07-13,text,pdftotext_layout,raw/Ordinance_17-03-01.pdf,no,,,,none,ordinance,2017-03-01,,2018-07-07,"date=YYYY-MM from instrument number, day placeholder 01 (exact adoption date not in doc)"
2017-04-01,2017-04-01,2017-04-01,A RESOLUTION APPROVING AND ADOPTING THE FY2017 MAGNA METRO TOWNSHIP BUDGET,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/magna/resolutions/documents/1687814846_Resolution%2017-04-01.pdf,2026-07-13,scanned,ocr_tesseract,raw/Resolution_17-04-01.pdf,no,,,,none,resolution,2017-04-01,,2023-06-26,"date=YYYY-MM from instrument number, day placeholder 01 (exact adoption date not in doc)"
2017-05-01,2017-05-01,2017-05-01,"AN ORDINANCE AMENDING TITLE 19, ENTITLED ""ZONING"", OF THE MAGNA METRO TOWNSHIP CODE OF ORDINANCES, 2017, BY RECLASSIFYING CERTAIN PROPERTY LOCATED IN MAGNA METRO TOWNSHIP FROM THE C-2 (COMMUNITY COMMERCIAL) ZONE TO THE C-3 ZIC (REGIONAL COMMERCIAL) ZONE.",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/magna/ordinances/documents/Ordinance%2017-05-01.pdf,2026-07-13,text,pdftotext_layout,raw/Ordinance_17-05-01.pdf,yes,,,,none,ordinance,2017-05-01,,2018-07-07,"date=YYYY-MM from instrument number, day placeholder 01 (exact adoption date not in doc)"
2017-05-02,2017-05-01,2017-05-01,"AN ORDINANCE AMENDING TITLE 19, ENTITLED ""ZONING"", OF THE MAGNA METRO TOWNSHIP CODE OF ORDINANCES, 2017, BY RECLASSIFYING CERTAIN PROPERTY LOCATED IN MAGNA METRO TOWNSHIP FROM THE R- 1-6 ZIC (SINGLE-FAMILY RESIDENTIAL - INCLUSIVE OF ZONING CONDITIONS) ZONE TO THE R-1-6 (RESIDENTIAL SINGLE-FAMILY) ZO",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/magna/ordinances/documents/Ordinance%2017-05-02.pdf,2026-07-13,text,pdftotext_layout,raw/Ordinance_17-05-02.pdf,yes,,,,none,ordinance,2017-05-02,,2018-07-07,"date=YYYY-MM from instrument number, day placeholder 01 (exact adoption date not in doc)"
2017-06-01,2017-06-01,2017-06-01,"AN ORDINANCE UPDATING AND CREATING A NEW CHAPTER 19.05 - PLANNING COMMISSION AS A PART OF THE MAGNA MUNICIPAL CODE FOR THE OPERATION OF THE PLANNING COMMISSION PURSUANT TO UTAH CODE ANNOTATED 10-9A-3 - PLANNING COM1v1ISSION,ET AL",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/magna/ordinances/documents/Ordinance%2017-06-01.pdf,2026-07-13,text,pdftotext_layout,raw/Ordinance_17-06-01.pdf,yes,,,,none,ordinance,2017-06-01,,2018-07-08,"date=YYYY-MM from instrument number, day placeholder 01 (exact adoption date not in doc)"
2017-06-02,2017-06-01,2017-06-01,AN ORDINANCE CREATING CHAPTER 2.56 -COMMUNITY COUNCILS AS A PART OF THE MAGNA MUNICIPAL CODE FOR THE PURPOSE OF PROMOTING VOLUNTEER SERVICE AND IMPROVED GOVERNANCE FOR MAGNA,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/magna/ordinances/documents/Ordinance%2017-06-02.pdf,2026-07-13,text,pdftotext_layout,raw/Ordinance_17-06-02.pdf,no,,,,none,ordinance,2017-06-02,,2018-07-08,"date=YYYY-MM from instrument number, day placeholder 01 (exact adoption date not in doc)"
