date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2025-01-21,2025,City Council Meeting,Council,1,"A motion was made by Aaron Dekeyzer, seconded by Ryan Mecham to approve the Consent Calendar",Procedural/Administrative,Unanimous (voice),Aaron Dekeyzer,Ryan Mecham,,,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,2,"A motion was made by Cyndi Sharkey, seconded by Ryan Mecham to adopt Ordinance 25-04, an ordinance annexing territory located at 2182 E Creek Road in Salt Lake County, comprising approxmately 1.13 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Cyndi Sharkey,Ryan Mecham,Alison Stroud,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,2,"A motion was made by Cyndi Sharkey, seconded by Ryan Mecham to adopt Ordinance 25-04, an ordinance annexing territory located at 2182 E Creek Road in Salt Lake County, comprising approxmately 1.13 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Cyndi Sharkey,Ryan Mecham,Zach Robinson,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,2,"A motion was made by Cyndi Sharkey, seconded by Ryan Mecham to adopt Ordinance 25-04, an ordinance annexing territory located at 2182 E Creek Road in Salt Lake County, comprising approxmately 1.13 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Cyndi Sharkey,Ryan Mecham,Marci Houseman,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,2,"A motion was made by Cyndi Sharkey, seconded by Ryan Mecham to adopt Ordinance 25-04, an ordinance annexing territory located at 2182 E Creek Road in Salt Lake County, comprising approxmately 1.13 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Cyndi Sharkey,Ryan Mecham,Cyndi Sharkey,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,2,"A motion was made by Cyndi Sharkey, seconded by Ryan Mecham to adopt Ordinance 25-04, an ordinance annexing territory located at 2182 E Creek Road in Salt Lake County, comprising approxmately 1.13 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Cyndi Sharkey,Ryan Mecham,Ryan Mecham,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,2,"A motion was made by Cyndi Sharkey, seconded by Ryan Mecham to adopt Ordinance 25-04, an ordinance annexing territory located at 2182 E Creek Road in Salt Lake County, comprising approxmately 1.13 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Cyndi Sharkey,Ryan Mecham,Brooke D'Sousa,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,2,"A motion was made by Cyndi Sharkey, seconded by Ryan Mecham to adopt Ordinance 25-04, an ordinance annexing territory located at 2182 E Creek Road in Salt Lake County, comprising approxmately 1.13 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Cyndi Sharkey,Ryan Mecham,Aaron Dekeyzer,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,3,"A motion was made by Marci Houseman, seconded by Ryan Mecham to adopt Ordinance 25-03, an ordinance annexing territory located at 10191 S Dimple Dell Road in Salt Lake County, comprising approximately 0.61 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Marci Houseman,Ryan Mecham,Alison Stroud,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,3,"A motion was made by Marci Houseman, seconded by Ryan Mecham to adopt Ordinance 25-03, an ordinance annexing territory located at 10191 S Dimple Dell Road in Salt Lake County, comprising approximately 0.61 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Marci Houseman,Ryan Mecham,Zach Robinson,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,3,"A motion was made by Marci Houseman, seconded by Ryan Mecham to adopt Ordinance 25-03, an ordinance annexing territory located at 10191 S Dimple Dell Road in Salt Lake County, comprising approximately 0.61 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Marci Houseman,Ryan Mecham,Marci Houseman,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,3,"A motion was made by Marci Houseman, seconded by Ryan Mecham to adopt Ordinance 25-03, an ordinance annexing territory located at 10191 S Dimple Dell Road in Salt Lake County, comprising approximately 0.61 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Marci Houseman,Ryan Mecham,Cyndi Sharkey,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
