doc_class,title,adopted_date,jurisdiction,path,text_path,format,source_url,retrieved_date,notes
rtp,Regional Transportation Plan 2023-2050 (Adopted),2023-05,,raw/adopted_rtp_2023_2050.pdf,text/adopted_rtp_2023_2050.txt,pdf,https://wfrc.utah.gov/VisionPlans/RegionalTransportationPlan/2023_2050Plan/2023RTP.pdf,2026-07-20,"Adopted long-range RTP narrative (159 pp). Appendices A-M are linked separately on the adopted-RTP page (App H is a Google Sheet); WFRC publishes no standalone RTP amendments log - per-amendment conformity is in the AQ memo series."
conformity,RTP 2023-2050 Air Quality Conformity Memo #42 (Amendment 1),2023,,raw/rtp_air_quality_conformity_memo42_2023.pdf,text/rtp_air_quality_conformity_memo42_2023.txt,pdf,https://wfrc.utah.gov/Programs/AirQuality/AirQualityMemoArchive/AQ%20memo42_RTP_2023-2050_A1_FINAL.pdf,2026-07-20,"Transportation air-quality conformity determination for the adopted RTP (Amendment 1)."
vision,Wasatch Choice 2050 Consortium Program Brochure,2016,,raw/wasatch_choice_2050_program_brochure_2016.pdf,text/wasatch_choice_2050_program_brochure_2016.txt,pdf,https://wfrc.utah.gov/VisionPlans/WC2050/Consortium/2016Summer/WC2050ProgramR4-web.pdf,2026-07-20,"WFRC-hosted Wasatch Choice vision-program brochure. The current Vision is delivered as an interactive map and embedded in the adopted RTP - no standalone recent vision PDF exists (honest gap, see SOURCES.md)."
tip,Transportation Improvement Program 2026-2031 - Project Table Listing (Adopted),2026,,raw/tip_2026_2031_project_tables.pdf,text/tip_2026_2031_project_tables.txt,pdf,https://wfrc.utah.gov/Programs/TransportationImprovementProgram/2026_2031TIP/TIPProjectTableListing2026-2031.pdf,2026-07-20,"Current adopted TIP project tables (214 pp). Supersedes the draft tables PDF."
conformity,TIP 2026-2031 Air Quality Conformity Memo #42B,2026,,raw/tip_air_quality_conformity_memo42b_2026.pdf,text/tip_air_quality_conformity_memo42b_2026.txt,pdf,https://wfrc.utah.gov/Programs/TransportationImprovementProgram/2026_2031TIP/AirQualityMemo42B.pdf,2026-07-20,"Transportation air-quality conformity determination for the current TIP."
tip,2024 Federal Obligation Report (Annual Listing of Obligated Projects),2024,,raw/federal_obligation_report_2024.pdf,text/federal_obligation_report_2024.txt,pdf,https://wfrc.utah.gov/Programs/TransportationImprovementProgram/FederalObligationReports/2024FederalObligationReport.pdf,2026-07-20,"Annual Listing of Obligated Projects, most recent year."
tip,2023 Federal Obligation Report (Annual Listing of Obligated Projects),2023,,raw/federal_obligation_report_2023.pdf,text/federal_obligation_report_2023.txt,pdf,https://wfrc.utah.gov/Programs/TransportationImprovementProgram/FederalObligationReports/2023FederalObligationReport.pdf,2026-07-20,"Annual Listing of Obligated Projects, prior year."
ceds,Comprehensive Economic Development Strategy 2023-2028,2023,,,text/ceds_2023_2028.txt,pdf,https://wfrc.utah.gov/VisionPlans/CEDS/CEDS%202023-2028%20Final.pdf,2026-07-20,"Current adopted CEDS for the Wasatch Front Economic Development District (WFRC is the region's EDD). Raw PDF 64MB - link-only per >50MB rule; text extracted (46 pp)."
ceds,Comprehensive Economic Development Strategy 2018-2023,2019-06-28,,raw/ceds_2018_2023.pdf,text/ceds_2018_2023.txt,pdf,https://wfrc.utah.gov/Programs/WasatchFrontEconomicDevelopmentDistrict/ComprehensiveEconomicDevelopmentStrategy/CEDS_2018_2023_FINAL_20190628.pdf,2026-07-20,"Prior CEDS cycle (75 pp)."
program_report,Housing and Opportunity Assessment (Wasatch Choice Toolbox),2019,,raw/housing_and_opportunity_assessment_2019.pdf,text/housing_and_opportunity_assessment_2019.txt,pdf,https://wfrc.utah.gov/VisionPlans/WC2050/Toolbox/HousingAssessment/Housing%20Assessment.pdf,2026-07-20,"Regional housing/opportunity assessment tied to the Access-to-Opportunity work; the closest published equity report. No standalone Equity Focus Areas report PDF exists - that layer is GIS/open-data only (honest gap)."
