referral_id,confidence,match_method,primary_body,related_body,gap_days,related_application_id,related_date,related_title,primary_application_id,primary_date,primary_title,shared_address,subject_score,note
54,medium,subject,Council,PlanningCommission,19,442,2025-03-13,"recommend APPROVAL of amending Section 18.90.010, Table of Commercial Uses, with amendments as described herein: 1. Recommend that “Building Trades, Sales and Services, including Electricians, HVAC, Plumbers” be amended to read “Building Trades, Sales and Services, including (without limitation) Electricians, HVAC, Plumbers.” 2. Make all Building Trades a Conditional Use in the C-PO Zone. 3. Landscaping Services be allowed as a Conditional Use in the C-D, C-G, and C-PO Zones. Commissioner Knudsen",108,2025-04-01,adopt Ordinance No. 25-08 – Amending Section 18.90.010 (Table of Commercial Users) clarifying allowed commercial uses. Councilmember Buroker,,0.151,
21,medium,subject,Council,PlanningCommission,12,248,2021-09-23,"to APPROVE the Zone Text Change amending Section 18.150.120, allowing for incorporation of a monument sign in masonry fencing, as shown on the attached documents. Commissioner Breinholt",50,2021-10-05,that the Riverton City Council adopt Ordinance No. 21-27 – Amending Section 18.150.120(8) allowing signage incorporated into certain types of fencing to qualify as monument signs. Councilmember Buroker,,0.243,
36,medium,subject,Council,PlanningCommission,5,330,2023-01-12,"recommend APPROVAL of the amended Moderate-Income Housing Element of the Riverton City General Plan updating the language of the selected strategies to correspond with the State of Utah guidelines, as described. The motion was",75,2023-01-17,"that the Riverton City Council adopt Ordinance No. 23-02 – Amendment to the Moderate Income Housing Element of Riverton City General Plan, Updating the Moderate Income Housing Element Language Consistent with Utah State Page | 8 Minutes – City Council Meeting January 17, 2023 Code 10-9a-403(2)(b)(iii). Councilmember McCay",,0.329,
19,medium,subject,Council,PlanningCommission,26,236,2021-08-12,"to recommend APPROVAL of the proposed amendment to the Development Agreement to the “Development Agreement for Mountain View Place at Riverton” amending Sections 5.4, 1.1, and 2.2.2 of Exhibit B. Commissioner Lefgren",48,2021-09-07,"that the Riverton City Council adopt Ordinance No. 21- 25 – First Amendment to the Development Agreement for Mountain View Place at Riverton, Amending Sections 5.4 and 2.2.2 of Exhibit B of that document as shown in Exhibit A. Councilmember Buroker",,0.456,
14,medium,subject,Council,PlanningCommission,194,481,2025-11-20,"recommend APPROVAL of the Development Agreement for the Newman Construction Commercial Project located at 1450 West 12600 South, subject to the following: Conditions: 1. The Pedestrian Oriented Overlay (PO-OV) shall be applied to the privately owned acreage, with the resulting zoning as C-G/PO-OV. 2. Access to 12600 South shall be as permitted by UDOT, with no access to 1450 West or the adjacent City property to the south. 3. Minimum setbacks for structures and parking areas/drive aisles shall be as shown on the included Site Plan. 4. Buildings shall be limited to a single story, with architec",42,2026-06-02,adopt Ordinance No. 26-10 – Proposed Rezone of 1.47 Acres Located at Approximately 1393 West 12600 South from RR-22 to C-G/PO-OV (Commercial Gateway with Pedestrian Oriented Overlay). Councilmember Smith,,0.524,
9,medium,subject,Council,PlanningCommission,341,138,2020-03-12,"to recommend approval of PLZ-20-5003 amending Sections 18.70.070, 18.85.070 and 18.100.070 of the Zoning Ordinance be amended as shown in the attached exhibit. The motion was",32,2021-02-16,"adopt Ordinance No. 21-06, amending Section 18.100.040(2) and 18.100.070(3), amending setbacks in the PCC Zone adjacent to non-compatible uses to a consistent 40 feet, as shown on the attached exhibit. Councilmember Stewart",,0.54,
40,medium,subject,Council,PlanningCommission,68,354,2023-05-11,"recommend APPROVAL of the proposed amendments to Sections 18 (20, 25, 30, 35, 40).050.9, amending the maximum lot coverage in single-family zones from 30% to 40%, and amending section 18.05.030, excluding pools from the calculation of building coverage on a property, as described herein. Commissioner Cluff",83,2023-07-18,"adopt Ordinance No. 23-13 -Text Amendment, Amendment to the Riverton City Code Section 18. (20,25,30,35,40).050.9, Amending the total allowed lot coverage in single-family residential zones, and amending Section 18.05.030 Definitions, excluding pools from coverage calculations. Councilmember Buroker",,0.569,
3,medium,subject,Council,PlanningCommission,33,131,2020-02-13,to approve Application PLZ-20-4001 rezoning properties located near 1500 West 12800 South as shown on the attached Proposed Zoning Map from Public Utility to P-OS (Parks and Open Space). The motion was,7,2020-03-17,"approve Ordinance No. 20-07 – Rezone of Properties within the Main City Park located near 15000 West 12800 South, from Public Utility to Parks/ Open Space, proposed by Riverton City. Council Member Buroker",,0.589,
39,medium,subject,Council,PlanningCommission,26,346,2023-03-23,"recommend APPROVAL of the PLZ-23-5003, amending Title 18 by removing language addressing Commercial Uses in each zone (18.65, 18.70, 18.75, 18.80, 18.85, and 18.100) and defer to the Table of Commercial Uses, as presented, with the caveat that Staff examine the amendments to verify that temporary uses such as fireworks and Christmas tree sales have been properly allocated with the Code section that addresses such uses. Chair Gilchrist",81,2023-04-18,"that the Riverton City Council adopt Ordinance No. 23- 08 – Commercial Uses Amendment, Amending Section 18.65, 18.70, 18.75, 18.80, and 18.100, Removing Commercial Uses Language in Deference to the Adopted Table of Commercial Uses, Amendment Proposed by Riverton City. Councilmember Buroker",,0.595,
17,medium,subject,Council,PlanningCommission,26,235,2021-08-12,to recommend APPROVAL of the Zone Text Change amending Section 18.25.110 Regulating Residential Chickens. Commissioner Cluff,46,2021-09-07,"that the Riverton City Council adopt Ordinance No. 21- 23 – Text Amendment, Proposing Changes to Section 18.25.110, Farm Animals, Regarding Residential Chickens in the RR-22 Zone. Councilmember Buroker",,0.609,
