ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,land_use_category,n_motion_events,linkage_note,minutes_source
2020-01,2020-03-11,2020-03-11,"ADOPT THE MUNICIPAL PARK CODE AMENDMENT, ORDINANCE 2020-01",meeting_minutes/minutes/2020/2020-03-09/2020-03-11_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2020-03-11,2,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2020/2020-03-09/2020-03-11_city-council-meeting-regular.md
2020-02,2020-04-08,2020-04-08,"APPROVE THE PROPOSED TOWN CENTER SPECIAL ZONING DISTRICT 3 TEXT AND DISTRICT MAP AMENDMENTS, ORDINANCE 2020-02, WITH THE FOLLOWING CONDITIONS: 1. THE DEVELOPER WILL WORK WITH CITY STAFF TO DEFINE ALLOWABLE TREE TYPES AND PLANTINGS PERMITTED IN EACH PARK STRIP TYPE. 2. INSERT THE FOLLOWING TEXT IN...",meeting_minutes/minutes/2020/2020-04-06/2020-04-08_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,yes,Carried unanimously,2020-04-08,1,within_source,zone_change,2,"derived from council/PC motion text only; no independent archive retrieved. cited in motions on multiple dates: 2020-03-11 #4 (Council, Carried unanimously); 2020-04-08 #1 (Council, Carried unanimously)",meeting_minutes/minutes/2020/2020-04-06/2020-04-08_city-council-meeting-regular.md
2020-03,2020-05-13,2020-05-13,"APPROVE THE ZONING CODE TEXT AMENDMENT, ORDINANCE 2020-03",meeting_minutes/minutes/2020/2020-05-11/2020-05-13_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,yes,Carried with one absent,2020-05-13,7,within_source,zoning_text_amendment,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2020/2020-05-11/2020-05-13_city-council-meeting-regular.md
2020-04,2020-05-13,2020-05-13,RECOMMEND APPROVAL OF THE PROPOSED ZONING ORDINANCE TEXT AMENDMENT: ORDINANCE 2020-04,meeting_minutes/minutes/2020/2020-05-11/2020-05-13_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,yes,Carried with one absent,2020-05-13,16,within_source,zoning_text_amendment,2,"derived from council/PC motion text only; no independent archive retrieved. cited in motions on multiple dates: 2020-05-13 #16 (Council, Carried with one absent); 2020-06-03 #11 (PlanningCommission, Positive recommendation 5:0)",meeting_minutes/minutes/2020/2020-05-11/2020-05-13_city-council-meeting-regular.md
2020-05,2020-07-22,2020-07-22,ADOPT ORDINANCE 2020-05 FOR THE NEIGHBORHOOD COMMERCIAL TEXT AND ZONING MAP AMENDMENT,meeting_minutes/minutes/2020/2020-07-20/2020-07-22_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,yes,Carried unanimously,2020-07-22,3,within_source,zone_change,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2020/2020-07-20/2020-07-22_city-council-meeting-regular.md
2020-06,2020-06-24,2020-06-24,"RECOMMEND APPROVAL OF THE PROPOSED ZONING ORDINANCE TEXT AMENDMENT: ORDINANCE 2020-06, WITH THE CONDITION THAT THE REQUIREMENT FOR THE LOT SIZE BE CHANGED TO ¾ OF AN ACRE, AND THAT THE DEFINITION OF THE AREA IS BASED ON THE LOT SIZE AND NOT THE AREA SPECIFIC TO THE KEEPING OF THE ANIMALS",meeting_minutes/minutes/2020/2020-06-22/2020-06-24_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,yes,Carried unanimously,2020-06-24,8,within_source,zoning_text_amendment,2,"derived from council/PC motion text only; no independent archive retrieved. cited in motions on multiple dates: 2020-06-03 #14 (PlanningCommission, Positive recommendation 5:0); 2020-06-24 #8 (Council, Carried unanimously)",meeting_minutes/minutes/2020/2020-06-22/2020-06-24_city-council-meeting-regular.md
2020-07,2020-07-08,2020-07-08,"RECOMMEND APPROVAL OF THE PROPOSED ZONING ORDINANCE TEXT AMENDMENTS AND ZONING MAP: ORDINANCE 2020-07, WITH THE CONDITION THAT PRIVATE CLUB AND NIGHTCLUB USES BE REMOVED",meeting_minutes/minutes/2020/2020-07-06/2020-07-08_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,yes,Carried with one absent,2020-07-08,4,within_source,zone_change,2,"derived from council/PC motion text only; no independent archive retrieved. cited in motions on multiple dates: 2020-06-03 #8 (PlanningCommission, Positive recommendation 5:0); 2020-07-08 #4 (Council, Carried with one absent)",meeting_minutes/minutes/2020/2020-07-06/2020-07-08_city-council-meeting-regular.md
2020-08,2020-07-08,2020-07-08,ADOPT ORDINANCE 2020-08 AND RESOLUTION 2020-11,meeting_minutes/minutes/2020/2020-07-06/2020-07-08_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried with one absent,2020-07-08,7,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2020/2020-07-06/2020-07-08_city-council-meeting-regular.md
2020-09,2020-07-22,2020-07-22,"ADOPT ORDINANCE 2020-09 AMENDING SECTION 15.34.060 ACCESSORY DWELLING UNITS PROVISIONS WITH A CONDITION THAT CURRENT APPLICANTS WITH ACTIVE BUILDING PERMITS, AS OF JULY 22, 2020, INTENDED TO ESTABLISH AN ACCESSORY DWELLING UNIT, WILL BE GOVERNED UNDER THE ACCESSORY DWELLING UNIT CODE IN PLACE PRI...",meeting_minutes/minutes/2020/2020-07-20/2020-07-22_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2020-07-22,6,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2020/2020-07-20/2020-07-22_city-council-meeting-regular.md
2020-10,2020-08-26,2020-08-26,"ADOPT ORDINANCE 2020-10, AMENDING THE MUNICIPAL CODE TITLE 3.08 ELECTRONIC MEETINGS, AS PRESENTED",meeting_minutes/minutes/2020/2020-08-24/2020-08-26_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2020-08-26,3,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2020/2020-08-24/2020-08-26_city-council-meeting-regular.md
