date,body_id,kind,reason,verified_date
2024-08-14,5555,duplicate,PMN posted the 2024-08-14 TnT special twice (notices 929679 + 932411) byte-identical sha256 98823bda; repo holds one — suppress count_mismatch,2026-07-13
2020-04-21,5555,other,count_mismatch benign: prior-meeting minutes 'CC 4.7 Minutes.pdf' (file593711) attached to the 2020-04-21 notice for adoption; repo holds both 2020-04-07 and 2020-04-21 — count inflated by adjacent-adoption posting,2026-07-17
2020-12-08,5555,mislabel,count_mismatch benign: 'MEETING RECAP 12.8.pdf' (file675023) categorized (Meeting Minutes) alongside the real 'CC 12.08 Minutes.pdf'; repo holds the one authoritative minutes doc,2026-07-17
2024-07-11,383,duplicate,count_mismatch benign: 'PC Approved Meeting Minutes 071124.pdf' posted twice (file1172111 + file1176879); repo holds one,2026-07-17
2024-10-24,383,duplicate,count_mismatch benign: same PC meeting minutes posted under two filenames — 'DC PC Approved Mtg Minutes 102424.pdf' (file1196693) + 'PC 10.24 Minutes.pdf' (file1224775); repo holds one,2026-07-17
2024-11-21,383,not_minutes,"count_mismatch benign + ENGINE substring FP: the 2nd 'minutes' file is 'PC 11.21 13081 S. Minuteman Project.pdf' (file1192341, a staff-report handout) matched by the RE_MINUTES_FNAME 'minut' regex catching 'Minuteman'; repo holds the 1 real approved minutes",2026-07-17
2025-02-13,383,duplicate,count_mismatch benign: 'DC PC Meeting Minutes 021325 - Approved.pdf' posted 3x (file1253531/1253495/1253451); repo holds one,2026-07-17
2025-08-19,5555,mislabel,count_mismatch benign: Agenda/Packet/Recap files (file1310327/1310329/1313175) each categorized (Meeting Minutes) alongside the real '8-19-2025 Approved Minutes.pdf'; repo holds the 1 authoritative minutes,2026-07-17
2025-09-02,5555,mislabel,count_mismatch benign: Agenda/Packet/Recap files (file1316531/1316533/1318027) each categorized (Meeting Minutes) alongside the real '9-2-25 Minutes.pdf'; repo holds the 1 authoritative minutes,2026-07-17
2025-12-11,383,mislabel,"count_mismatch benign: 'PC 12.11 Butler Zoning Map Amendment Request.pdf' (file1357193, a staff report) categorized (Meeting Minutes) alongside the real 'Draper PC 121125.pdf'; repo holds the 1 authoritative minutes",2026-07-17
2026-02-17,5555,draft,count_mismatch benign: '2026-02-17 DRAFT City Council Meeting Minutes.pdf' (file1406499) matched by filename alongside the approved '2026-02-17_CityCouncil_Minutes.pdf'; repo holds the approved,2026-07-17
2026-03-12,383,mislabel,"count_mismatch benign: 'PC 3.12 Kimballs Junction Development Agreement Amendment Request.pdf' (file1397547, a staff report) categorized (Meeting Minutes) alongside the real 'Draper PC Mtg 031226.pdf'; repo holds the 1 authoritative minutes",2026-07-17
2020-03-12,383,other,notice list-title 'Planning Commission Meeting - POSTPONED' (COVID era); meeting postponed — no minutes. Engine RE_CANCEL missed title 'POSTPONED',2026-07-17
2021-06-15,383,wrong_date,"PMN event date 2021-06-15 wrong; notice states the public hearing before the Planning Commission is held Thursday 2021-06-24, which repo holds (PC 2021-06-24)",2026-07-17
2021-07-08,5555,other,"Notice of Public Hearing 'before the Planning Commission on July 8, 2021' posted under council body 5555; repo holds PC 2021-07-08 — foreign-body cross-filing",2026-07-17
2022-02-24,5555,other,"Notice of Public Hearing 'before the Planning Commission on February 24, 2022' posted under council body 5555; repo holds PC 2022-02-24 — foreign-body cross-filing",2026-07-17
2025-02-10,5555,other,Notice of Public Hearing (one-time mayor incentive pay) with event date 2025-02-10 (a Monday — not a Draper council meeting day = the posting date); hearing held at a regular council meeting the repo holds (Feb 2025: 02-04/02-18) — no meeting on 02-10,2026-07-17
2020-09-01,5555,other,"agenda_only_gap resolved: PMN notice 624057 'Public Hearing: Bulk Text Amendment' (event date 2020-09-01, 7:00 PM) is a public-hearing NOTICE, not a meeting record; only attachment 'CC 9.1 Bulk Text Amendments.pdf' (label Other). The 2020 Q3 Bulk Text Amendment was heard as a fresh public hearing and adopted as Ordinance #1454 at the 2020-11-10 Council meeting the repo holds (minutes item 5.0 + motion). Granicus ViewPublisher lists no 2020-09-01 Council meeting/minutes (live-verified 2026-07-19); no separate 09-01 meeting occurred — same pattern as the 2025-02-10 exception.",2026-07-19
