date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,text_path,notice_id,duplicate_file_ids,chars,orig_fname,notes
2022-06-22,2022,Board of Adjustment,board-of-adjustment,boa,raw/boa_2022-06-22_982633.pdf,pmn,https://www.utah.gov/pmn/files/982633.pdf,https://www.utah.gov/pmn/sitemap/notice/761699.html,,982633,2026-07-05,text,pdftotext-layout,text/boa_2022-06-22_982633.txt,761699,,11592,06.22.2022 BOA minutes.pdf,
2023-05-24,2023,Board of Adjustment,board-of-adjustment,boa,raw/boa_2023-05-24_1057017.docx,pmn,https://www.utah.gov/pmn/files/1057017.docx,https://www.utah.gov/pmn/sitemap/notice/831979.html,,1057017,2026-07-05,text,docx-xml,text/boa_2023-05-24_1057017.txt,831979,,15630,05.24.2023 Minutes.boa.docx,
2023-12-13,2023,Board of Adjustment,board-of-adjustment,boa,raw/boa_2023-12-13_1110807.docx,pmn,https://www.utah.gov/pmn/files/1110807.docx,https://www.utah.gov/pmn/sitemap/notice/876589.html,,1110807,2026-07-05,text,docx-xml,text/boa_2023-12-13_1110807.txt,876589,,10943,12-13-23boa-DRAFT.docx,
2020-03-10,2020,City Council Meeting,city-council,council,raw/council_2020-03-10_588535.pdf,pmn,https://www.utah.gov/pmn/files/588535.pdf,https://www.utah.gov/pmn/sitemap/notice/593033.html,,588535,2026-07-05,text,pdftotext-layout,text/council_2020-03-10_588535.txt,593033,,14610,03.10.2020.ccmin.pdf,
2020-06-30,2020,City Council Meeting,city-council,council,raw/council_2020-06-30_620257.pdf,pmn,https://www.utah.gov/pmn/files/620257.pdf,https://www.utah.gov/pmn/sitemap/notice/614075.html,,620257,2026-07-05,text,pdftotext-layout,text/council_2020-06-30_620257.txt,614075,,48671,06.30.2020.ccmin.pdf,
2020-09-29,2020,City Council Meeting,city-council,council,raw/council_2020-09-29_647947.pdf,pmn,https://www.utah.gov/pmn/files/647947.pdf,https://www.utah.gov/pmn/sitemap/notice/631049.html,,647947,2026-07-05,text,pdftotext-layout,text/council_2020-09-29_647947.txt,631049,,55931,09.29.2020.ccmin.pdf,
2021-01-12,2021,City Council Meeting,city-council,council,raw/council_2021-01-12_679927.pdf,pmn,https://www.utah.gov/pmn/files/679927.pdf,https://www.utah.gov/pmn/sitemap/notice/649795.html,,679927,2026-07-05,text,pdftotext-layout,text/council_2021-01-12_679927.txt,649795,,32490,01.12.2021 ccmin.pdf,
2021-04-13,2021,City Council Meeting,city-council,council,raw/council_2021-04-13_711995.pdf,pmn,https://www.utah.gov/pmn/files/711995.pdf,https://www.utah.gov/pmn/sitemap/notice/668737.html,,711995,2026-07-05,text,pdftotext-layout,text/council_2021-04-13_711995.txt,668737,,35615,04.13.2021 ccmin.pdf,
2021-04-27,2021,City Council Meeting,city-council,council,raw/council_2021-04-27_775057.pdf,pmn,https://www.utah.gov/pmn/files/775057.pdf,https://www.utah.gov/pmn/sitemap/notice/672179.html,,775057,2026-07-05,text,pdftotext-layout,text/council_2021-04-27_775057.txt,672179,,33704,04.27.2021_ccmin.pdf,
2021-05-11,2021,City Council Meeting,city-council,council,raw/council_2021-05-11_726003.pdf,pmn,https://www.utah.gov/pmn/files/726003.pdf,https://www.utah.gov/pmn/sitemap/notice/675403.html,,726003,2026-07-05,text,pdftotext-layout,text/council_2021-05-11_726003.txt,675403,,39866,05.11.2021 ccmin.pdf,
