year,election_type,contest,jurisdiction_slug,office,district,seats,candidate,party,votes,rank_in_contest,n_precincts,suppressed,source_file,rcv,rcv_final_winner,official_total
2016,general,COUNTY COMM C,utah_county,County Commission,Seat C,,R. Nathan Ivie,REP,154370,1,0,false,2016_General_Results_Summary_997e775ff5.pdf,false,,false
2016,general,COUNTY COMM C,utah_county,County Commission,Seat C,,Jeanne Bowen,DEM,35649,2,0,false,2016_General_Results_Summary_997e775ff5.pdf,false,,false
2016,general,COUNTY COMM C,utah_county,County Commission,Seat C,,Write-in Votes,,427,3,0,false,2016_General_Results_Summary_997e775ff5.pdf,false,,false
2016,regular primary,REP COUNTY COMM C REP,utah_county,County Commission,Seat C,,R. Nathan Ivie,REP,20524,1,0,false,2016_Primary_Results_Summary_f171493cc7.pdf,false,,false
2016,regular primary,REP COUNTY COMM C REP,utah_county,County Commission,Seat C,,Casey Voeks,REP,14366,2,0,false,2016_Primary_Results_Summary_f171493cc7.pdf,false,,false
2017,municipal general,Alpine City Council,,Council,,2,Steve Cosper,,1776,1,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,American Fork City Council,,Council,,2,Barbara Christiansen,,3228,1,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Cedar Hills City Council,,Council,,2,Denise Andersen,,1322,1,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Eagle Mountain City Council,,Council,,2,Donna Burnham,,1741,1,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Elk Ridge City Council - 2 year term,,Council,,1,Paul Crook,,331,1,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Elk Ridge City Council - 4 year term,,Council,,2,Jared Peterson,,571,1,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Genola City Council,,Council,,2,Travis Pyne,,236,1,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Highland City Council,,Council,,2,Kurt Ostler,,2319,1,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Lindon City Council - 2 year term,,Council,,1,Daril Magleby,,1459,1,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Lindon City Council - 4 year term,,Council,,2,Jake Hoyt,,1424,1,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Mapleton City Council,,Council,,2,Reid Carlson,,1860,1,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Payson City Council,,Council,,2,Brett Christensen,,1666,1,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Pleasant Grove City Council,,Council,,2,Dianna N. Andersen,,4737,1,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Salem City Council,,Council,,2,Sterling M. Rees,,1408,1,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Santaquin City Council,,Council,,2,Betsy Montoya,,767,1,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Saratoga Springs City Council,,Council,,2,Stephen Willden,,1658,1,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Spanish Fork City Council,,Council,,2,Mike Mendenhall,,4166,1,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Springville City Council,,Council,,2,Michael Snelson,,3191,1,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Alpine City Council,,Council,,2,Carla Merrill,,1662,2,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,American Fork City Council,,Council,,2,Staci Carroll,,2661,2,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Cedar Hills City Council,,Council,,2,Ben Ellsworth,,1139,2,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Eagle Mountain City Council,,Council,,2,Melissa Clark,,1578,2,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Elk Ridge City Council - 2 year term,,Council,,1,JT Webster,,298,2,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Elk Ridge City Council - 4 year term,,Council,,2,David Jean II,,58,2,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Genola City Council,,Council,,2,Stanford Judd,,235,2,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Highland City Council,,Council,,2,Scott L. Smith,,1771,2,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Lindon City Council - 2 year term,,Council,,1,Dustin Sweeten,,665,2,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Lindon City Council - 4 year term,,Council,,2,Van Broderick,,1364,2,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Mapleton City Council,,Council,,2,Jim F. Lundberg,,1791,2,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Payson City Council,,Council,,2,Taresa Hiatt,,1574,2,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Pleasant Grove City Council,,Council,,2,Todd Williams,,4052,2,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Salem City Council,,Council,,2,Howard Chuntz,,769,2,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Santaquin City Council,,Council,,2,Nick Miller,,742,2,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Saratoga Springs City Council,,Council,,2,Michael D. S. McOmber,,1349,2,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Spanish Fork City Council,,Council,,2,Keir A. Scoubes,,3644,2,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Springville City Council,,Council,,2,Craig L. Jensen,,3091,2,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Alpine City Council,,Council,,2,Judi Pickell,,1566,3,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,American Fork City Council,,Council,,2,Kyle Barratt,,1905,3,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Eagle Mountain City Council,,Council,,2,Jared Gray,,1405,3,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Genola City Council,,Council,,2,Quentin L. Francom,,86,3,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
2017,municipal general,Highland City Council,,Council,,2,Dennis LeBaron,,1454,3,0,false,2017_General_Election_Summary_0e2231c9e1.pdf,false,,false
