year,election,filename,doc_type,grain,used,url,bytes,sha256,retrieved,notes
2016,general,2016_General_Results_Summary_997e775ff5.pdf,official canvass summary (GEMS),countywide,parsed,https://vote.utahcounty.gov/cms/uploads/2016_General_Results_Summary_997e775ff5.pdf,63444,a3e0c38fee1895c5b901b522c9ffd9e5e2dc02ff9e9941edb691571c6ffb05d2,2026-07-20,"Official Canvass Results, 6pp two-column GEMS report. The ONLY 2016 general source (no SOVC published)."
2016,regular primary,2016_Primary_Results_Summary_f171493cc7.pdf,official canvass summary (GEMS),countywide,parsed,https://vote.utahcounty.gov/cms/uploads/2016_Primary_Results_Summary_f171493cc7.pdf,22325,3a9b24ac567e3d9337a77dbee8b6738483b69f05e515dc355cf38e0a5983e59a,2026-07-20,Only 2016 primary source (no SOVC published).
2016,special,Fairfield_Special_Bond_Election_bd9e59f86f.pdf,special bond election result,countywide,catalog-only,https://vote.utahcounty.gov/cms/uploads/Fairfield_Special_Bond_Election_bd9e59f86f.pdf,49689,03377d92c3221a161b0c181074baef34a99fd6c3bcbffb1fe0b676408237d0df,2026-07-20,1-page scan (no text layer). Fairfield special bond — outside the council/mayor/county-office scope.
2017,municipal general,2017_General_Election_Summary_0e2231c9e1.pdf,official summary (EVS),countywide,parsed,https://vote.utahcounty.gov/cms/uploads/2017_General_Election_Summary_0e2231c9e1.pdf,270585,a8e3bef8b15b0f16aaa1dc571652382b267743b6613eebe946554f1369763999,2026-07-20,"OFFICIAL RESULTS, 49pp, per-contest incl. certified write-ins + Congressional District 3 special (Curtis). Only 2017 general source."
2017,municipal primary,2017_Primary_Lehi_Summary_97c19ea2ea.pdf,official summary (EVS),countywide,parsed,https://vote.utahcounty.gov/cms/uploads/2017_Primary_Lehi_Summary_97c19ea2ea.pdf,141991,3af686f8210383abc5bc919684238df8c2cf2c033b2802c25894fc22a5771499,2026-07-20,Lehi-only 2017 municipal primary (the county ran no other primary).
2018,general,18_G_SOVC_By_Precinct_G_2018_Suppressed_f8b6c0ead9.xlsx,SOVC precinct workbook,precinct,parsed,https://vote.utahcounty.gov/cms/uploads/18_G_SOVC_By_Precinct_G_2018_Suppressed_f8b6c0ead9.xlsx,880258,81c7e4f847112c17975e9c569205936895dfb7bd79020355dedd4f9adb2d0ec2,2026-07-20,"61 sheets, one contest/sheet; '-' small-count suppression; County - Total rollup row used as official totals."
2018,general,2018_General_Results_PDF_f84a6d041b.pdf,official canvass summary (EVS),countywide,reconciliation,https://vote.utahcounty.gov/cms/uploads/2018_General_Results_PDF_f84a6d041b.pdf,246103,284e4b24d41af9acbddf69bbf1a59473ec95df90926042e753cbc3338de13107,2026-07-20,Canvass Results; reconciles 130/130 vs parsed SOVC.
2018,regular primary,18_P_SOVC_By_Precinct_P_2018_Suppressed_d4d32a6067.xlsx,SOVC precinct workbook,precinct,parsed,https://vote.utahcounty.gov/cms/uploads/18_P_SOVC_By_Precinct_P_2018_Suppressed_d4d32a6067.xlsx,496240,eb35e7f23b98659f19f0257079508e644029f32cc8ba19c425cd90583398178f,2026-07-20,12 sheets; precinct list repeats per district grouping — County block parsed only.
2018,regular primary,2018_Primary_PDF_fbadf156d7.pdf,official canvass summary (EVS),countywide,reconciliation,https://vote.utahcounty.gov/cms/uploads/2018_Primary_PDF_fbadf156d7.pdf,159066,b3a4c911efd0698919da08cce9be2592080b64c07a4f0c869a53b1ca5bb5584f,2026-07-20,OFFICIAL CANVASS RESULTS; reconciles 26/26.
2019,municipal general,19_G_Countywide_Precinct_Official_Suppressed_c07b072cdf.pdf,SOVC precinct report (scanned),precinct,parsed (OCR),https://vote.utahcounty.gov/cms/uploads/19_G_Countywide_Precinct_Official_Suppressed_c07b072cdf.pdf,22540240,e1d8a1d5183530494859de14f61025441d2055145c5f61c775552bc4c0b38e90,2026-07-20,256 of the report's 261 pages (report pages 17/34/137/213/214 absent; 4 born-digital replacement pages). OCR (tesseract 300dpi psm4) + per-candidate reconciliation vs the certified summary; one visually-verified patch (PR33/SHIPLEY 58).
2019,municipal general,2019_General_Results_PDF_a69d246ddc.pdf,official summary (Electionware),countywide,parsed + reconciliation,https://vote.utahcounty.gov/cms/uploads/2019_General_Results_PDF_a69d246ddc.pdf,120780,13c24303bd4d7f1616b11aaf63d3ec572593ca577f37e7db93c51463af0cb5a4,2026-07-20,Certified totals; authoritative per-candidate totals for the by-contest layer (OCR precinct grain is geography).
2019,municipal primary,19_P_19_Primary_SOVC_suppressed_93de48c7ac.CSV,SOVC wide-matrix CSV,precinct,parsed,https://vote.utahcounty.gov/cms/uploads/19_P_19_Primary_SOVC_suppressed_93de48c7ac.CSV,37268,7013d54bc53996a9f3ff03e1ad289834251e2b6a620d2cb327c562d77bfd4fcb,2026-07-20,2-header-row matrix; '-' suppression; COUNTY TOTALS rollup.
2019,municipal primary,2019_Primary_Results_PDF_dba3744ad0.pdf,official summary (Electionware),countywide,reconciliation,https://vote.utahcounty.gov/cms/uploads/2019_Primary_Results_PDF_dba3744ad0.pdf,80611,8768a0ed1c446e40cf0743969fe3a7bf97a8dc915a60a8a2fc7d23201ba5d746,2026-07-20,Reconciles 90/90 vs the primary SOVC CSV.
2020,general,2020_General_PDF_3be636af10.pdf,official summary (Electionware),countywide,reconciliation,https://vote.utahcounty.gov/cms/uploads/2020_General_PDF_3be636af10.pdf,181650,9edb96fae7524ced860b772e76b13f1895aca126fb66a8a34eb36458061348ac,2026-07-20,Reconciles 143/143 (its per-name certified write-in itemization has no SOVC counterpart).
2020,general,20_G_2020_General_SOVC_SUPPRESSED_2677d8223a.csv,SOVC wide-matrix CSV,precinct,parsed,https://vote.utahcounty.gov/cms/uploads/20_G_2020_General_SOVC_SUPPRESSED_2677d8223a.csv,142487,73c53178332a0264762f5a54fa5dba3fa329b982dc477a698a674455ef2e8042,2026-07-20,
