matter_id,motion_id,gap_type,detail,title
10222,2325,no_signed_ordinance_pdf,PDF attachments present but none matched ordinance language: Staff Report,"Informational Briefing for an Upcoming Comprehensive Update and Revisions to Salt Lake County Code of Ordinances, Chapte"
10372,2368,no_signed_ordinance_pdf,PDF attachments present but none matched ordinance language: Staff Report,"Legislative Intent Directing Council Staff, County Administration and District Attorney to Prioritize Updating the Contr"
10383,2387,no_signed_ordinance_pdf,PDF attachments present but none matched ordinance language: June 2024 Budget Resolution 6.18.24; Staff Report,Resolution of the Salt Lake County Council Adopting Adjustments to the Fiscal Year 2024 Budgets for Salt Lake County Off
10930,2583,no_signed_ordinance_pdf,PDF attachments present but none matched ordinance language: Final 2025 Budget Resolution; Staff Report,Consideration of a Resolution of the Salt Lake County Council Adopting a Final Budget for Fiscal Year 2025 for Salt Lake
11451,2741,no_signed_ordinance_pdf,PDF attachments present but none matched ordinance language: Constable Appointment Resolution(RAFL); Staff Report,Consideration of a Resolution of the Salt Lake County Council Initiating the Appointment of County Constables Pursuant t
4700,18,no_pdf_attachment,attachments present but none are PDF,Notice of Public Hearing at 6:00 PM in the Auditorium of the Copper Mountain Middle School Located at 12106 South Anthem
4707,37,no_attachments,matter has zero attachments,"Public Hearing to receive public comments regarding the Olympia Hills Planned Development Community, including: 1) amend"
4709,110,no_attachments,matter has zero attachments,"Public Hearing to Receive Public Comments Regarding the Olympia Hills Planned Development Community, including: 1) Amend"
5221,265,no_signed_ordinance_pdf,PDF attachments present but none matched ordinance language: FINAL Mid-year 2020 Resolution with Exhibits; June 2020 Budget Resolution 6.11.20,A Resolution of the Salt Lake County Council Approving and Adopting Proposed Ad Valorem Tax Rates on the Taxable Propert
5763,469,no_signed_ordinance_pdf,PDF attachments present but none matched ordinance language: 2021 Budget Resolution Approved as to Form; Attachment A; Addendum to Attachment A; Attachment B; Staff Report,"A Resolution of the Salt Lake County Council Adopting a Final Budget for Fiscal Year 2021 for Salt Lake County Offices, "
5918,518,no_signed_ordinance_pdf,PDF attachments present but none matched ordinance language: ACCT Support of Legislative Intent; Cardiff Owners Association Letter; MPD Map; Staff Report,Adoption of Legislative Intent Requesting that the Utah Legislature Approve Legislation Concerning the Following Matters
6521,748,no_signed_ordinance_pdf,PDF attachments present but none matched ordinance language: June 2021 Budget Resolution 6.16.21 v2,A Resolution of the Salt Lake County Council Adopting Adjustments to the Fiscal Year 2021 Budgets for Salt Lake County O
7007,930,no_signed_ordinance_pdf,PDF attachments present but none matched ordinance language: Staff Report,Legislative Intent Regarding Ordinance Revision
