ordinance_no,title,adoption_date,land_use_type,matter_id,motion_id,match_confidence,path,text_path,format,source_url,notes
,"An Ordinance Amending Chapter 3.26.020, Entitled “Apprenticeship Utilization” of the Salt Lake County Code of Ordinances, 2001, Clarifying the Definitions, Making Similar Clarifying Changes in the Ordinance, and Adding a Section Regarding Third Parties",2020-01-07,non_land_use,4646,3,medium,raw/4646_apprenticeship_utilization_amendment_1_aatf.pdf,text/4646_apprenticeship_utilization_amendment_1_aatf.txt,pdf,https://slco.legistar1.com/slco/attachments/d428d4a9-2f97-40b5-be3d-ca695dc488d7.pdf,early-2020 substantive ordinance voted to adopt under Discussion Items; predates the 'Formal Adoption' title convention
,"Formal Adoption of an Ordinance Approving the Rezone of Property Located at 8700 South 700 West.  Re-zone from A-2 (Agricultural) to M-2 (Manufacturing).  The Rezone is for a 7.01 Acre-Southern Portion of the 25.51 Acre Parcel   The Public Hearing was held on January 7,2020 - File No. 19-1478",2020-01-07,land_use,4659,1,medium,raw/4659_p_z_31038_ordinance_neff.pdf,text/4659_p_z_31038_ordinance_neff.txt,pdf,https://slco.legistar1.com/slco/attachments/fd472abd-6ed9-4a1e-a1e2-289cb9f9116c.pdf,"2 adoption motions on this matter (dates: 2020-01-07,2020-01-14); linked earliest"
,"An Ordinance Amending Section 3.070.060 of the Salt Lake County Code of Ordinances, 2001, Entitled “Determination of Operating Expenses”",2020-01-28,non_land_use,4682,22,medium,raw/4682_ordinance_tier_ii_board_final.pdf,text/4682_ordinance_tier_ii_board_final.txt,pdf,https://slco.legistar1.com/slco/attachments/1f2dafc4-1c0e-4d27-bb5a-c8e350572f40.pdf,early-2020 substantive ordinance voted to adopt under Discussion Items; predates the 'Formal Adoption' title convention
,"Final Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Chapter Section 2.97.050 of the Salt Lake County Code of Ordinances, 2001, Entitled “Debt Review Committee” Redefining Principal Amount Outstanding to Include Unamortized Premium",2020-02-25,non_land_use,4816,75,high,raw/4816_amendment_1_30_20.pdf,text/4816_amendment_1_30_20.txt,pdf,https://slco.legistar1.com/slco/attachments/f1806299-a623-46de-9499-20b7901cbbdd.pdf,
,"Final Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Adopting Wasatch Canyons General Plan Update",2020-06-16,land_use,5229,236,high,raw/5229_ordinance_approving_general_plan_amendment.pdf,text/5229_ordinance_approving_general_plan_amendment.txt,pdf,https://slco.legistar1.com/slco/attachments/d1786925-3418-4b17-9a7a-38a2581c1acb.pdf,
,Formal Adoption of an Amendment to the Planning Commission Ordinance to Increase the Number of Commission Members and Outline Residence Requirements for Same,2020-08-11,non_land_use,5377,306,high,raw/5377_salt_lake_county_amendement_of_planning_commi.pdf,text/5377_salt_lake_county_amendement_of_planning_commi.txt,pdf,https://slco.legistar1.com/slco/attachments/62f6697e-0733-4331-ba62-35e5d01047d5.pdf,
,"Formal Adoption of an Ordinance Amending Chapter 14.17, Entitled ""Excavation Permits for Monuments"" of the Salt Lake County Code of Ordinances, 2001",2020-08-18,non_land_use,5396,316,high,raw/5396_excavation_permits_for_monuments.pdf,text/5396_excavation_permits_for_monuments.txt,pdf,https://slco.legistar1.com/slco/attachments/29058cae-e807-4bc6-9b9b-1b4b334d4dcb.pdf,ordinance body follows a Surveyor cover letter + staff report within the same PDF
,"Formal Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 2.04.075 of the Salt Lake County Code of Ordinances, 2001, Entitled “Work Meetings” to Establish the Name of the Salt Lake County Council’s Weekly Work Meeting as the ‘Council Work Session,’ and Updating Other Sections of County Ordinance to Reference the Same",2021-03-16,non_land_use,6129,574,high,raw/6129_council_work_session_ordinance_draft_aatf.pdf,text/6129_council_work_session_ordinance_draft_aatf.txt,pdf,https://slco.legistar1.com/slco/attachments/55239630-4526-4161-a054-971119a28ca6.pdf,
,"Formal Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Title 8 of The Salt Lake County Code of Ordinances, 2001, Relating to the Authority and Procedures of the Animal Services Division; Making Changes to Reflect Current Practices and Desired Changes to Standards, Rules, and Practices of the Division; Including Added Definitions; Including Regulation of Commercial Dog Walkers; Including New Enforcement, Penalties, and Appeals Process",2021-04-27,land_use,6275,619,high,raw/6275_2021_04_05_as_ordinances_letter_2021_pdf.pdf,text/6275_2021_04_05_as_ordinances_letter_2021_pdf.txt,pdf,https://slco.legistar1.com/slco/attachments/ded87431-dc8c-4e5e-9952-d87bfb3b51af.pdf,
,"Formal Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 2.06A.020 of the Salt Lake County Code of Ordinances, 2001, Entitled “Deputy Mayors, Associate Deputy Mayors and Department Directors” to Allow Delegations of Authority by the Salt Lake County Mayor to Deputy Mayors, Associate Deputy Mayors, and Department Directors in a Manner Consistent with Salt Lake County Ordinance",2021-05-04,non_land_use,6315,653,high,raw/6315_deputy_mayor_ordinance_draft_aatf.pdf,text/6315_deputy_mayor_ordinance_draft_aatf.txt,pdf,https://slco.legistar1.com/slco/attachments/778da3ce-a2d4-4a5c-8160-a63cb501d413.pdf,
,"Formal Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 2.07.201 of the Salt Lake County Code of Ordinances, 2001, Entitled “County Ethics Code -  Conflict of Interest” to Require the Annual Disclosure of Clients and Potential Conflicts of Interest by Contractual Representatives of the County",2021-05-25,non_land_use,6385,688,high,raw/6385_lobbying_disclosure_ordinance_aatf.pdf,text/6385_lobbying_disclosure_ordinance_aatf.txt,pdf,https://slco.legistar1.com/slco/attachments/9ae0cdf0-3caf-4cc8-9727-fe275c166324.pdf,
,"Formal Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 2.86.050 of the Salt Lake County Code of Ordinances, 2001, Entitled “Emergency Response and Recovery - Powers of the Mayor,” Section 3.16.110 of the Salt Lake County Code of Ordinances, 2001, Entitled “Purchasing Agent - Conflict of Interest Prohibited,” and Section 3.20.040 of the Salt Lake County Code of Ordinances, 2001, Entitled “Purchasing Procedures - Emergency Procurements” Establishing Limitations on the Length of a Contract Entered Into for an Emergency Procurement and Prohibiting Emergency Procurements Benefiting County Elected and Appointed Officials or Their Household and/or Immediate Family Members",2021-06-08,non_land_use,6467,701,high,raw/6467_emergency_procurement_ordinance_draft_5_18_21.pdf,text/6467_emergency_procurement_ordinance_draft_5_18_21.txt,pdf,https://slco.legistar1.com/slco/attachments/a943432e-4a2f-44d7-8cb7-02b1dd1ad131.pdf,
,"Formal Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Chapter 2.26 of the Salt Lake County Code of Ordinances, Entitled “Hazardous Chemical Local Planning Committee",2021-06-22,non_land_use,6517,731,high,raw/6517_lepc_revised_ordinance_2_26_6_2_21.pdf,text/6517_lepc_revised_ordinance_2_26_6_2_21.txt,pdf,https://slco.legistar1.com/slco/attachments/05f23fd4-e075-48ac-8195-cf95a17f7d68.pdf,
,"Formal Adoption of an Ordinance, Amending Title 19, Entitled “Zoning” of the Salt Lake County Code of Ordinances, 2001, by Reclassifying Certain Property Located in Salt Lake County From the A-2 Zone (Agriculture) to the M-2 Zone (Manufacturing)",2021-06-29,land_use,6539,741,high,raw/6539_rez2021_293_cc_ordinance_hardle.pdf,text/6539_rez2021_293_cc_ordinance_hardle.txt,pdf,https://slco.legistar1.com/slco/attachments/934ae5d7-8f38-48c2-955f-4ebc76c7bf41.pdf,
,"Formal Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 1.06.020 of the Salt Lake County Code of Ordinances, 2001, Entitled “Holidays” Establishing the Nineteenth Day of June, Juneteenth Independence Day, as a Legal Holiday of Salt Lake County",2021-07-13,non_land_use,6561,750,high,raw/6561_juneteenth_holiday_ordinance.pdf,text/6561_juneteenth_holiday_ordinance.txt,pdf,https://slco.legistar1.com/slco/attachments/afcb1b5a-0b39-485f-8793-289d25743d1e.pdf,
