ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence
2020-3,2020-02-18,2020-02-18,An Ordinance 2020-03 amending Provo City Code to allow restaurants with ancillary microbrewing as a permitted use in certain zones. (PLOTA20190378) (0:29:59),provo_city_council/meeting_minutes/minutes/2020/2020-02-17/2020-02-18_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-02-18,7,within_source
2020-5,2020-03-10,2020-03-10,Ordinance 2020-5 amending Provo City Code Section 15.08.060 (Impact Fee Calculations). Citywide application. (PLOTA20200042) (0:42:52),provo_city_council/meeting_minutes/minutes/2020/2020-03-09/2020-03-10_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-03-10,6,within_source
2020-6,2020-03-10,2020-03-10,Ordinance 2020-6 amending Provo City Code relating to Section 18.03.040 and the Drainage Manual. Citywide Application. (20-050) (0:45:45),provo_city_council/meeting_minutes/minutes/2020/2020-03-09/2020-03-10_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-03-10,8,within_source
2020-7,2020-03-10,2020-03-10,Ordinance 2020-7 of Provo City Adopting the Community Reinvestment Project Area Plan for The Mix Community Reinvestment Project Area. (20-052) (0:53:24),provo_city_council/meeting_minutes/minutes/2020/2020-03-09/2020-03-10_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-03-10,9,within_source
2020-9,2020-03-31,2020-03-31,Ordinance 2020-09 amending Provo City Code to allow for permeable driveways and parking lot surfaces. Citywide application. (PLOTA20190411) (1:57:15),provo_city_council/meeting_minutes/minutes/2020/2020-03-30/2020-03-31_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-03-31,3,within_source
2020-10,2020-04-14,2020-04-14,"Ordinance 2020-10 amending the zone map classification of approximately 0.34 acres of real property, generally located at 164 S 400 W, from Residential Conservation (RC) to Low Density Residential (LDR). Franklin Neighborhood. (PLRZ20200041)",provo_city_council/meeting_minutes/minutes/2020/2020-04-13/2020-04-14_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-04-14,1,within_source
2020-11,2020-04-14,2020-04-14,Ordinance 2020-11 amending the Provo City General Plan relating to The Transportation Master Plan. Citywide application. (PLGPA20200038),provo_city_council/meeting_minutes/minutes/2020/2020-04-13/2020-04-14_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-04-14,3,within_source
2020-12,2020-04-14,2020-04-14,Ordinance 2020-12 amending Provo City Code regarding beer licenses and regulations to streamline it and bring it into alignment with state regulations. (20- 076),provo_city_council/meeting_minutes/minutes/2020/2020-04-13/2020-04-14_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-04-14,4,within_source
2020-13,2020-04-14,2020-04-14,"Ordinance 2020-13 amending Provo City Code regarding beer licenses and regulations to create a Class ""F"" beer license for restaurants with ancillary breweries. (20-057)",provo_city_council/meeting_minutes/minutes/2020/2020-04-13/2020-04-14_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-04-14,5,within_source
2020-14,2020-05-05,2020-05-05,Ordinance 2020-14 amending Provo City Code relating to parking lot landscaping. Citywide application. (PLOTA20190433),provo_city_council/meeting_minutes/minutes/2020/2020-05-04/2020-05-05_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-05-05,1,within_source
2020-15,2020-05-05,2020-05-05,Ordinance 2020-15 amending Provo City Code updating the development requirements of lands located within the Special Flood Hazard Area. Citywide application. (PLOTA20190328),provo_city_council/meeting_minutes/minutes/2020/2020-05-04/2020-05-05_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-05-05,2,within_source
2020-16,2020-05-19,2020-05-19,"Ordinance 2020-16 granting Qwest Corporation d/b/a CenturyLink QC a nonexclusive franchise to operate a telecommunications network in Provo City, Utah. (20-091) (0:22:35)",provo_city_council/meeting_minutes/minutes/2020/2020-05-18/2020-05-19_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-05-19,2,within_source
2020-17,2020-05-19,2020-05-19,"Ordinance 2020-17 amending the zone map classification of approximately 0.52 acres of real property, generally located at 852 North 500 West, from One Family Residential (R1.6A) to General Commercial (CG). North Park Neighborhood. (PLRZ20200109) (0:32:10)",provo_city_council/meeting_minutes/minutes/2020/2020-05-18/2020-05-19_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-05-19,4,within_source
2020-18,2020-06-02,2020-06-02,Ordinance 2020-18 amending Provo City Code to enact the Very Low Density Residential (VLDR) Zone as Chapter 14.14F. Citywide Application (PLOTA20200120) (0:20:23),provo_city_council/meeting_minutes/minutes/2020/2020-06-01/2020-06-02_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-06-02,1,within_source
2020-19,2020-06-16,2020-06-16,"Ordinance 2020-19 adopting a budget for Provo City Corporation for the fiscal year beginning July 1, 2020 and ending June 30, 2021 in the amount of $292,355,876 and amending the Consolidated Fee Schedule. (20-008) (0:41:28)",provo_city_council/meeting_minutes/minutes/2020/2020-06-15/2020-06-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-06-16,1,within_source
2020-20,2020-06-16,2020-06-16,"Ordinance 2020-20 amending Provo City Code to adopt additional regulations for the Class ""F"" Beer License for restaurants with ancillary breweries. (20-098) (1:43:48)",provo_city_council/meeting_minutes/minutes/2020/2020-06-15/2020-06-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-06-16,7,within_source
2020-21,2020-06-16,2020-06-16,Ordinance 2020-21 amending Provo City Code relating to permitted uses and yard requirements of the M1 Light Manufacturing Zone. Citywide application. (PLOTA20200117) (1:50:49),provo_city_council/meeting_minutes/minutes/2020/2020-06-15/2020-06-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-06-16,8,within_source
2020-22,2020-06-16,2020-06-16,Ordinance 2020-22 amending Provo City Code to establish a Critical Hillside Overlay (CH) Zone. Citywide application. (PLOTA20200077) (3:07:42),provo_city_council/meeting_minutes/minutes/2020/2020-06-15/2020-06-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-06-16,10,within_source
2020-23,2020-06-16,2020-06-16,Ordinance 2020-23 amending the Zone Map classification of multiple east bench properties to include them in the Critical Hillside Overlay (CH) Zone. Citywide application. (PLRZ20200078) (3:52:28),provo_city_council/meeting_minutes/minutes/2020/2020-06-15/2020-06-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-06-16,11,within_source
2020-24,2020-06-16,2020-06-16,Ordinance 2020-24 amending the zone map classification of approx 18.5 ac of real property generally located at 901 W 1560 S from Residential Agricultural (RA) and Agricultural (A1.5) to One-Family Residential (R1.7). Lakewood Neighborhood. (PLRZ20200079) (4:00:24),provo_city_council/meeting_minutes/minutes/2020/2020-06-15/2020-06-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-06-16,13,within_source
2020-25,2020-07-07,2020-07-07,Ordinance 2020-25 amending Provo City Code Section 14.33a.100 regarding terracing requirements (Critical Hillside Zone Only). (20-099) (0:29:46),provo_city_council/meeting_minutes/minutes/2020/2020-07-06/2020-07-07_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-07-07,2,within_source
2020-26,2020-07-07,2020-07-07,Ordinance 2020-26 Provo City Code to amend the list of Permitted Uses in the Community Shopping Center (SC2) Zone. Citywide application. (PLOTA20200137) (0:33:57),provo_city_council/meeting_minutes/minutes/2020/2020-07-06/2020-07-07_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2020-07-07,3,within_source
