video_id,title,upload_date,duration_sec,category,captions_available,video_url
wRTPZBthmGc,'Annie' Crosswalk Musical,2026-05-04,65,promotional,unverified,https://www.youtube.com/watch?v=wRTPZBthmGc
Rh38b5QYxzM,Taylorsville Dayzz Birthday Bash,2026-04-09,152,promotional,unverified,https://www.youtube.com/watch?v=Rh38b5QYxzM
t3eP1VFv8ws,Year in Review 2025,2026-02-04,2372,promotional,unverified,https://www.youtube.com/watch?v=t3eP1VFv8ws
L3pr3f32tJU,Wreaths Across America 2025 Livestream,2025-12-19,2560,event_livestream,unverified,https://www.youtube.com/watch?v=L3pr3f32tJU
8FBPvcNcKKY,Speed Kleen Holiday Donation,2025-12-08,77,promotional,unverified,https://www.youtube.com/watch?v=8FBPvcNcKKY
t8za_BAnubE,2025-26 Art Walk,2025-11-14,787,promotional,unverified,https://www.youtube.com/watch?v=t8za_BAnubE
7_t7St_nBmk,Tombstone Tales-Mary Ellen Normington Cook,2025-10-16,362,promotional,unverified,https://www.youtube.com/watch?v=7_t7St_nBmk
_zIy83hUVMc,Tombstone Tales-James and Mabel Parker,2025-10-16,504,promotional,unverified,https://www.youtube.com/watch?v=_zIy83hUVMc
KCmwDvYw56I,Tombstone Tales-Owen Webster Frame,2025-10-16,657,promotional,unverified,https://www.youtube.com/watch?v=KCmwDvYw56I
cln8PpJcjNA,Tombstone Tales-Gaylan and Debra Luke,2025-10-16,441,promotional,unverified,https://www.youtube.com/watch?v=cln8PpJcjNA
N8WtZ4lxa0A,Tombstone Tales-Harold Reid and Anna Matern,2025-10-16,413,promotional,unverified,https://www.youtube.com/watch?v=N8WtZ4lxa0A
XMo2pKiQlG0,Tombstone Tales-Mavis Steadman,2025-10-16,384,promotional,unverified,https://www.youtube.com/watch?v=XMo2pKiQlG0
hEQQM_7O4IM,Tombstone Tales-Trailer,2025-10-16,102,promotional,unverified,https://www.youtube.com/watch?v=hEQQM_7O4IM
QOUa26ZUqfo,Tombstone Tales-Sexton,2025-10-16,371,promotional,unverified,https://www.youtube.com/watch?v=QOUa26ZUqfo
GXGkExw0ls0,Taylorsville Dayzz 2025,2025-08-18,306,promotional,unverified,https://www.youtube.com/watch?v=GXGkExw0ls0
0OBmyEkPgCA,Starry Nights @ the Plaza,2025-07-28,282,promotional,unverified,https://www.youtube.com/watch?v=0OBmyEkPgCA
