body,member,n_vote_rows,first_date,last_date,aye,nay,abstain,absent,recuse
PlanningCommission,Anderson,339,2020-04-22,2026-06-24,331,7,0,1,0
PlanningCommission,Snow,294,2020-04-22,2026-05-13,286,7,0,1,0
PlanningCommission,Erickson,267,2020-05-13,2026-06-10,266,1,0,0,0
PlanningCommission,Liedtke,209,2022-02-09,2026-06-24,208,1,0,0,0
PlanningCommission,Tippetts,173,2020-04-22,2026-06-24,171,1,0,1,0
PlanningCommission,Costello,158,2020-04-22,2022-01-26,157,1,0,0,0
PlanningCommission,Benson,107,2020-05-13,2023-11-08,106,1,0,0,0
PlanningCommission,Kasparian,66,2022-04-27,2026-01-14,65,1,0,0,0
PlanningCommission,Smallwood,49,2020-05-13,2022-01-26,49,0,0,0,0
PlanningCommission,Edwards,47,2024-06-12,2026-06-24,46,0,1,0,0
PlanningCommission,Erikson,13,2022-08-10,2022-09-28,12,1,0,0,0
PlanningCommission,Brauchie,6,2026-03-11,2026-06-24,6,0,0,0,0
