date,title,body,video_url,video_id,caption_type,source_url,retrieved_date,format,extraction_method,path,upload_date,stored_locally
2026-05-22,SoJo Summerfest 2026 - It's Where Summer Begins,,,adV2DImTTwY,asr,https://www.youtube.com/watch?v=adV2DImTTwY,2026-07-06,caption,"index-only (caption track exists, not retrieved — sample-only policy)",,2026-05-22,no
2026-01-15,South Jordan's Annual State of the City 2026,,,2dZRJdmvyPk,none,https://www.youtube.com/watch?v=2dZRJdmvyPk,2026-07-06,video,index-only (no caption track published),,2026-01-15,no
2026-01-09,Mayor and City Council Oath of Office 2026,,,3m0lut68V7U,asr,https://www.youtube.com/watch?v=3m0lut68V7U,2026-07-06,caption,yt-dlp --write-auto-sub (ASR); vtt cleaned to text/,raw/2026-01-09__3m0lut68V7U.vtt,2026-01-09,yes
2025-11-24,Light the Night 2025 - South Jordan City's Most Magical Night,,,Vba64DK4yHQ,none,https://www.youtube.com/watch?v=Vba64DK4yHQ,2026-07-06,video,index-only (no caption track published),,2025-11-24,no
2025-10-06,City Jobs | Episode 9 - Mulligans,,,y919kPasoxE,manual,https://www.youtube.com/watch?v=y919kPasoxE,2026-07-06,caption,"index-only (caption track exists, not retrieved — sample-only policy)",,2025-10-06,no
2025-08-22,South Jordan Police PSA: E-bike Safety,,,z0qNPfixEPY,asr,https://www.youtube.com/watch?v=z0qNPfixEPY,2026-07-06,caption,"index-only (caption track exists, not retrieved — sample-only policy)",,2025-08-22,no
2025-05-22,SoJo Summerfest 2025,,,bbuZcJpMK2E,asr,https://www.youtube.com/watch?v=bbuZcJpMK2E,2026-07-06,caption,"index-only (caption track exists, not retrieved — sample-only policy)",,2025-05-22,no
2025-05-06,City Jobs | Episode 8 - Parks Division,,,QpOuLx8xVd8,manual,https://www.youtube.com/watch?v=QpOuLx8xVd8,2026-07-06,caption,"index-only (caption track exists, not retrieved — sample-only policy)",,2025-05-06,no
2025-04-26,Memorial Service for Firefighter Corban Summers,,,T_2nGN5wBug,none,https://www.youtube.com/watch?v=T_2nGN5wBug,2026-07-06,video,index-only (no caption track published),,2025-04-26,no
2025-01-16,State of the City 2025,,,s-gdxzwjSBo,manual,https://www.youtube.com/watch?v=s-gdxzwjSBo,2026-07-06,caption,"index-only (caption track exists, not retrieved — sample-only policy)",,2025-01-16,no
2024-07-30,Building a Safer Future: South Jordan’s Commitment to Public Safety Amidst Growth,,,DEXf_HgBkWQ,manual,https://www.youtube.com/watch?v=DEXf_HgBkWQ,2026-07-06,caption,"index-only (caption track exists, not retrieved — sample-only policy)",,2024-07-30,no
