date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,status
2020-01-17,2020,City Council Strategic Planning Meeting,council-strategic-planning-meeting,CC,raw/wvc_cc_2020-01-17_strategic-planning_572015.txt,pmn,https://www.utah.gov/pmn/files/572015.pdf,https://www.utah.gov/pmn/sitemap/notice/580839.html,,572015,2026-07-06,text,pdftotext -layout,recovered
2021-01-15,2021,City Council Strategic Planning Meeting,council-strategic-planning-meeting,CC,raw/wvc_cc_2021-01-15_strategic-planning_692321.txt,pmn,https://www.utah.gov/pmn/files/692321.pdf,https://www.utah.gov/pmn/sitemap/notice/651159.html,,692321,2026-07-06,text,pdftotext -layout,recovered
2023-08-29,2023,City Council Special Study Meeting,council-special-study-meeting,CC,raw/wvc_cc_2023-08-29_special_1020793.txt,pmn,https://www.utah.gov/pmn/files/1020793.pdf,https://www.utah.gov/pmn/sitemap/notice/854239.html,,1020793,2026-07-06,text,pdftotext -layout,recovered
2024-05-14,2024,Redevelopment Agency Regular Meeting,redevelopment-agency-meeting,RDA,raw/wvc_rda_2024-05-14_special_1131349.txt,pmn,https://www.utah.gov/pmn/files/1131349.pdf,https://www.utah.gov/pmn/sitemap/notice/912415.html,,1131349,2026-07-06,text,pdftotext -layout,recovered
2025-02-21,2025,City Council Strategic Planning/Budget Retreat Meeting,council-budget-retreat-meeting,CC,raw/wvc_cc_2025-02-21_budget-retreat_1244507.txt,pmn,https://www.utah.gov/pmn/files/1244507.pdf,https://www.utah.gov/pmn/sitemap/notice/975711.html,,1244507,2026-07-06,text,pdftotext -layout,recovered
2026-01-13,2026,Municipal Building Authority Annual Meeting,municipal-building-authority-meeting,MBA,raw/wvc_mba_2026-01-13_annual_1419025.txt,pmn,https://www.utah.gov/pmn/files/1419025.pdf,https://www.utah.gov/pmn/sitemap/notice/1050287.html,,1419025,2026-07-06,text,pdftotext -layout,recovered
2026-01-27,2026,Redevelopment Agency Special Meeting,redevelopment-agency-special-meeting,RDA,raw/wvc_rda_2026-01-27_special_1419023.txt,pmn,https://www.utah.gov/pmn/files/1419023.pdf,https://www.utah.gov/pmn/sitemap/notice/1054051.html,,1419023,2026-07-06,text,pdftotext -layout,recovered
2026-02-19,2026,City Council Annual Budget Retreat (Day 1),council-annual-budget-retreat-day1,CC,raw/wvc_cc_2026-02-19_budget-retreat-day1_1403347.txt,pmn,https://www.utah.gov/pmn/files/1403347.pdf,https://www.utah.gov/pmn/sitemap/notice/1059397.html,,1403347,2026-07-06,text,pdftotext -layout,recovered
2026-02-20,2026,City Council Annual Budget Retreat (Day 2),council-annual-budget-retreat-day2,CC,raw/wvc_cc_2026-02-20_budget-retreat-day2_1403345.txt,pmn,https://www.utah.gov/pmn/files/1403345.pdf,https://www.utah.gov/pmn/sitemap/notice/1059403.html,,1403345,2026-07-06,text,pdftotext -layout,recovered
2026-06-09,2026,City Council Regular Meeting,council-regular-meeting,CC,raw/wvc_cc_2026-06-09_regular_1454087.txt,pmn,https://www.utah.gov/pmn/files/1454087.pdf,https://www.utah.gov/pmn/sitemap/notice/1085861.html,,1454087,2026-07-06,text,pdftotext -layout,recovered
2026-06-09,2026,City Council Study Meeting,council-study-meeting,CC,raw/wvc_cc_2026-06-09_study_1454085.txt,pmn,https://www.utah.gov/pmn/files/1454085.pdf,https://www.utah.gov/pmn/sitemap/notice/1085857.html,,1454085,2026-07-06,text,pdftotext -layout,recovered
2021-09-28,2021,City Council Study Meeting,council-study-meeting,CC,raw/wvc_cc_2021-09-28_study_767025.txt,pmn,https://www.utah.gov/pmn/files/767025.pdf,https://www.utah.gov/pmn/sitemap/notice/704753.html,,767025,2026-07-17,text,pdftotext -layout,promoted
2022-01-28,2022,City Council Strategic Planning Meeting (verbatim transcript),council-strategic-planning-transcript,CC,raw/wvc_cc_2022-01-28_strategic-planning-transcript_826291.txt,pmn,https://www.utah.gov/pmn/files/826291.pdf,https://www.utah.gov/pmn/sitemap/notice/731773.html,,826291,2026-07-17,text,pdftotext -layout,recovered-not-promoted
