clip_id,motion_no,member,vote_value
232,6,Roger Armstrong,Aye
232,6,Malena Stevens,Aye
232,6,Tonja B Hanson,Aye
232,6,Canice Harte,Aye
232,6,Christopher Robinson,Nay
264,10,Malena Stevens,Aye
264,10,Christopher Robinson,Aye
264,10,Canice Harte,Aye
264,10,Tonja B Hanson,Nay
284,19,Roger Armstrong,Aye
284,19,Malena Stevens,Aye
284,19,Tonja B Hanson,Aye
284,19,Christopher Robinson,Aye
284,19,Canice Harte,Nay
291,10,Roger Armstrong,Aye
291,10,Malena Stevens,Aye
291,10,Tonja B Hanson,Aye
291,10,Canice Harte,Nay
291,11,Roger Armstrong,Aye
291,11,Malena Stevens,Aye
291,11,Tonja B Hanson,Aye
291,11,Canice Harte,Nay
303,7,Roger Armstrong,Aye
303,7,Tonja B Hanson,Aye
303,7,Christopher Robinson,Aye
303,7,Canice Harte,Aye
303,7,Malena Stevens,Nay
303,9,Roger Armstrong,Aye
303,9,Malena Stevens,Aye
303,9,Tonja B Hanson,Aye
303,9,Christopher Robinson,Aye
303,9,Canice Harte,Nay
347,5,Roger Armstrong,Aye
347,5,Malena Stevens,Aye
347,5,Christopher Robinson,Aye
347,5,Canice Harte,Aye
347,5,Tonja B Hanson,Nay
378,13,Roger Armstrong,Aye
378,13,Malena Stevens,Aye
378,13,Canice Harte,Aye
378,13,Tonja B Hanson,Nay
439,9,Malena Stevens,Aye
439,9,Tonja B Hanson,Aye
439,9,Christopher Robinson,Aye
439,9,Roger Armstrong,Nay
479,11,Roger Armstrong,Aye
479,11,Malena Stevens,Aye
479,11,Tonja B Hanson,Aye
479,11,Christopher Robinson,Nay
479,11,Canice Harte,Nay
703,10,Christopher Robinson,Aye
703,10,Malena Stevens,Aye
703,10,Canice Harte,Aye
703,10,Tonja B Hanson,Nay
752,3,Malena Stevens,Aye
752,3,Tonja Hanson,Aye
752,3,Canice Harte,Aye
752,3,Christopher Robinson,Aye
752,3,Roger Armstrong,Nay
915,9,Christopher Robinson,Aye
915,9,Tonja B Hanson,Aye
915,9,Canice Harte,Aye
915,9,Megan McKenna,Aye
915,9,Roger Armstrong,Nay
915,10,Christopher Robinson,Aye
915,10,Tonja B Hanson,Aye
915,10,Canice Harte,Aye
915,10,Megan McKenna,Aye
915,10,Roger Armstrong,Nay
951,18,Tonja B Hanson,Aye
951,18,Christopher Robinson,Aye
951,18,Canice Harte,Aye
951,18,Megan McKenna,Aye
951,18,Roger Armstrong,Nay
993,7,Roger Armstrong,Aye
993,7,Christopher Robinson,Aye
993,7,Tonja B Hanson,Aye
993,7,Canice Harte,Aye
993,7,Megan McKenna,Nay
1090,13,Christopher Robinson,Aye
1090,13,Tonja B Hanson,Aye
1090,13,Megan McKenna,Aye
1090,13,Roger Armstrong,Nay
1090,13,Canice Harte,Nay
1124,20,Roger Armstrong,Aye
1124,20,Christopher Robinson,Aye
1124,20,Tonja B Hanson,Aye
1124,20,Megan McKenna,Aye
1124,20,Canice Harte,Nay
1124,21,Roger Armstrong,Aye
1124,21,Christopher Robinson,Aye
1124,21,Tonja B Hanson,Aye
1124,21,Megan McKenna,Aye
1124,21,Canice Harte,Nay
1131,11,Roger Armstrong,Aye
1131,11,Christopher Robinson,Aye
1131,11,Tonja B Hanson,Aye
1131,11,Megan McKenna,Aye
1131,11,Canice Harte,Nay
1140,10,Roger Armstrong,Aye
1140,10,Christopher Robinson,Aye
1140,10,Canice Harte,Aye
1140,10,Megan McKenna,Aye
1140,10,Tonja B Hanson,Nay
1185,21,Roger Armstrong,Aye
1185,21,Canice Harte,Aye
1185,21,Megan McKenna,Aye
1185,21,Christopher Robinson,Nay
1185,21,Tonja B Hanson,Nay
